token,community
〇,0
一,0
一一,1
一下子,2
一不小心,3
一举,4
一举一动,5
一事无成,6
一些,1
一代,7
一会儿,8
一体,9
一共,10
一再,4
一切,1
一刹那,2
一动不动,11
一半,1
一卡通,12
一口气,13
一句话,14
一同,15
一向,16
一味,17
一块儿,15
一塌糊涂,18
一声不吭,11
一大早,19
一天到晚,20
一头,21
一如既往,16
一定,22
一家人,23
一帆风顺,24
一带,25
一干二净,18
一年到头,20
一应俱全,26
一度,4
一律,1
一心,27
一心一意,27
一成不变,28
一手,21
一技之长,29
一把手,30
一揽子,5
一方面,31
一旁,25
一无所有,6
一无所知,6
一旦,32
一早,19
一时,2
一晃,33
一样,34
一概,1
一概而论,35
一模一样,34
一次性,36
一毛不拔,37
一流,38
一点儿,1
一生,39
一番,8
一目了然,40
一直,16
一眼,41
一瞬间,2
一筹莫展,42
一系列,1
一线,25
一经,43
一致,34
一般,1
一般来说,31
一行,44
一言一行,5
一言不发,11
一贯,16
一起,15
一路,45
一路上,46
一路平安,45
一路顺风,45
一身,47
一辈子,48
一边,25
一连,4
一连串,1
一道,15
一部分,1
一锅粥,49
一长一短,50
一阵,51
一面,52
一鼓作气,53
一齐,15
丁,54
七,0
七嘴八舌,13
万,0
万一,32
万万,0
万分,55
万古长青,56
万无一失,57
万能,58
丈夫,23
三,0
三明治,59
三番五次,4
三维,60
三角,61
上,25
上下,25
上个月,62
上任,63
上升,64
上午,19
上去,65
上台,66
上司,23
上周,62
上场,67
上头,25
上学,68
上岗,63
上市,69
上帝,56
上当,70
上报,71
上方,25
上旬,62
上映,72
上期,62
上来,65
上楼,65
上次,62
上流,73
上涨,64
上游,74
上演,75
上火,49
上班,19
上班族,73
上瘾,29
上空,76
上级,77
上网,78
上衣,47
上诉,79
上课,68
上调,64
上车,65
上边,25
上述,25
上门,51
上限,80
上面,25
下,25
下一代,7
下个月,62
下乡,65
下令,81
下决心,48
下功夫,82
下午,19
下去,65
下台,63
下场,67
下坠,83
下属,77
下山,65
下岗,63
下意识,2
下手,15
下旬,62
下期,62
下来,65
下棋,84
下楼,65
下次,85
下海,65
下游,74
下班,19
下级,77
下落,83
下课,68
下调,64
下跌,64
下车,65
下载,86
下边,25
下降,64
下雨,87
下雪,87
下面,25
不,88
不一会儿,89
不一定,22
不为人知,90
不久,62
不了了之,65
不予,91
不亚于,92
不亦乐乎,93
不仅,16
不仅仅,16
不以为然,94
不但,16
不便,95
不值,96
不假思索,2
不停,20
不像话,18
不光,16
不免,2
不再,97
不准,98
不利,99
不利于,99
不可思议,94
不可避免,2
不同,34
不同寻常,34
不在乎,100
不堪,96
不够,101
不大,55
不好意思,96
不如,92
不如说,32
不妨,97
不安,42
不定,42
不宜,97
不容,88
不对,18
不少,1
不屑,100
不已,45
不平,96
不幸,96
不得不,43
不得了,18
不得已,43
