token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,3
一体,10
一共,11
一再,12
一切,8
一刹那,13
一动不动,3
一半,14
一卡通,15
一口气,5
一句话,16
一同,17
一向,18
一味,19
一块儿,20
一塌糊涂,21
一声不吭,22
一大早,23
一天到晚,24
一头,25
一如既往,18
一定,26
一家人,27
一帆风顺,28
一带,29
一干二净,21
一年到头,24
一应俱全,30
一度,12
一律,31
一心,32
一心一意,33
一成不变,34
一手,35
一技之长,36
一把手,37
一揽子,38
一方面,39
一旁,40
一无所有,7
一无所知,7
一旦,41
一早,23
一时,13
一晃,3
一样,42
一概,43
一概而论,44
一模一样,42
一次性,45
一毛不拔,46
一流,47
一点儿,20
一生,48
一番,49
一目了然,50
一直,18
一眼,3
一瞬间,13
一筹莫展,7
一系列,8
一线,51
一经,43
一致,52
一般,31
一般来说,39
一行,53
一言一行,6
一言不发,3
一贯,18
一起,17
一路,28
一路上,54
一路平安,55
一路顺风,28
一身,56
一辈子,32
一边,40
一连,57
一连串,8
一道,58
一部分,31
一锅粥,21
一长一短,59
一阵,60
一面,61
一鼓作气,5
一齐,3
丁,62
七,1
七嘴八舌,3
万,63
万一,41
万万,63
万分,64
万古长青,65
万无一失,66
万能,67
丈夫,27
三,1
三明治,68
三番五次,12
三维,69
三角,70
上,40
上下,71
上个月,72
上任,73
上升,74
上午,23
上去,75
上台,76
上司,27
上周,72
上场,77
上头,40
上学,78
上岗,79
上市,80
上帝,81
上当,82
上报,83
上方,84
上旬,72
上映,85
上期,86
上来,75
上楼,87
上次,88
上流,89
上涨,74
上游,90
上演,91
上火,68
上班,92
上班族,93
上瘾,94
上空,95
上级,96
上网,97
上衣,56
上诉,98
上课,78
上调,74
上车,99
上边,40
上述,100
上门,101
上限,102
上面,40
下,103
下一代,104
下个月,72
下乡,101
下令,105
下决心,106
下功夫,107
下午,23
下去,75
下台,73
下场,77
下坠,108
下属,109
下山,101
下岗,93
下意识,3
下手,107
下旬,72
下期,86
下来,75
下棋,92
下楼,92
下次,110
下海,101
下游,90
下班,92
下级,96
下落,111
下课,92
下调,74
下跌,74
下车,99
下载,112
下边,40
下降,74
下雨,113
下雪,113
下面,40
不,114
不一会儿,3
不一定,115
不为人知,116
不久,117
不了了之,7
不予,2
不亚于,118
不亦乐乎,119
不仅,115
不仅仅,115
不以为然,22
不但,115
不便,120
不值,120
不假思索,3
不停,3
不像话,20
不光,115
不免,121
不再,114
不准,114
不利,122
不利于,123
不可思议,124
不可避免,121
不同,42
不同寻常,124
不在乎,125
不堪,126
不够,64
不大,64
不好意思,22
不如,114
不如说,115
不妨,114
不安,22
不定,127
