token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,3
一体,10
一共,11
一再,12
一切,2
一刹那,13
一动不动,14
一半,15
一卡通,16
一口气,5
一句话,17
一同,18
一向,19
一味,20
一块儿,21
一塌糊涂,22
一声不吭,14
一大早,23
一天到晚,24
一头,25
一如既往,19
一定,26
一家人,27
一帆风顺,28
一带,29
一干二净,30
一年到头,24
一应俱全,31
一度,12
一律,2
一心,32
一心一意,33
一成不变,34
一手,35
一技之长,36
一把手,37
一揽子,38
一方面,39
一旁,21
一无所有,7
一无所知,7
一旦,40
一早,23
一时,13
一晃,41
一样,42
一概,2
一概而论,43
一模一样,42
一次性,44
一毛不拔,45
一流,46
一点儿,47
一生,48
一番,49
一目了然,30
一直,19
一眼,41
一瞬间,13
一筹莫展,7
一系列,8
一线,50
一经,51
一致,52
一般,53
一般来说,39
一行,54
一言一行,6
一言不发,14
一贯,19
一起,18
一路,28
一路上,55
一路平安,56
一路顺风,28
一身,10
一辈子,57
一边,21
一连,5
一连串,8
一道,18
一部分,8
一锅粥,22
一长一短,58
一阵,59
一面,60
一鼓作气,5
一齐,3
丁,61
七,1
七嘴八舌,62
万,63
万一,40
万万,63
万分,64
万古长青,56
万无一失,65
万能,66
丈夫,27
三,1
三明治,67
三番五次,12
三维,68
三角,69
上,21
上下,70
上个月,71
上任,72
上升,73
上午,23
上去,74
上台,75
上司,27
上周,71
上场,76
上头,21
上学,77
上岗,78
上市,79
上帝,80
上当,81
上报,82
上方,83
上旬,71
上映,84
上期,85
上来,74
上楼,86
上次,87
上流,88
上涨,73
上游,89
上演,90
上火,67
上班,86
上班族,91
上瘾,92
上空,93
上级,94
上网,95
上衣,96
上诉,97
上课,77
上调,73
上车,98
上边,21
上述,99
上门,78
上限,100
上面,21
下,101
下一代,102
下个月,71
下乡,103
下令,104
下决心,32
下功夫,105
下午,23
下去,74
下台,72
下场,106
下坠,107
下属,108
下山,103
下岗,109
下意识,3
下手,105
下旬,71
下期,85
下来,74
下棋,86
下楼,86
下次,110
下海,103
下游,89
下班,86
下级,94
下落,111
下课,86
下调,73
下跌,73
下车,98
下载,112
下边,21
下降,73
下雨,113
下雪,113
下面,21
不,114
不一会儿,3
不一定,115
不为人知,116
不久,117
不了了之,118
不予,119
不亚于,120
不亦乐乎,62
不仅,115
不仅仅,115
不以为然,14
不但,115
不便,121
不值,47
不假思索,3
不停,24
不像话,47
不光,115
不免,24
不再,114
不准,114
不利,122
不利于,123
不可思议,124
不可避免,125
不同,42
不同寻常,124
不在乎,126
不堪,34
不够,64
不大,127
不好意思,14
不如,114
不如说,115
不妨,114
不安,14
不定,128
