token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,15
一动不动,16
一半,17
一卡通,18
一口气,19
一句话,20
一同,21
一向,22
一味,23
一块儿,24
一塌糊涂,25
一声不吭,26
一大早,27
一天到晚,28
一头,29
一如既往,30
一定,31
一家人,32
一帆风顺,33
一带,34
一干二净,35
一年到头,36
一应俱全,37
一度,38
一律,39
一心,40
一心一意,41
一成不变,42
一手,43
一技之长,44
一把手,45
一揽子,46
一方面,47
一旁,48
一无所有,49
一无所知,50
一旦,51
一早,27
一时,52
一晃,53
一样,54
一概,55
一概而论,56
一模一样,57
一次性,58
一毛不拔,59
一流,60
一点儿,61
一生,62
一番,63
一目了然,64
一直,65
一眼,66
一瞬间,15
一筹莫展,67
一系列,68
一线,69
一经,70
一致,71
一般,72
一般来说,73
一行,74
一言一行,75
一言不发,26
一贯,76
一起,77
一路,78
一路上,79
一路平安,80
一路顺风,80
一身,81
一辈子,82
一边,83
一连,84
一连串,85
一道,86
一部分,87
一锅粥,88
一长一短,89
一阵,90
一面,91
一鼓作气,92
一齐,93
丁,94
七,95
七嘴八舌,96
万,97
万一,98
万万,99
万分,100
万古长青,101
万无一失,102
万能,103
丈夫,104
三,95
三明治,105
三番五次,106
三维,107
三角,108
上,109
上下,110
上个月,111
上任,112
上升,113
上午,27
上去,114
上台,115
上司,116
上周,111
上场,117
上头,118
上学,119
上岗,120
上市,121
上帝,122
上当,123
上报,124
上方,125
上旬,126
上映,127
上期,128
上来,114
上楼,129
上次,130
上流,131
上涨,132
上游,133
上演,134
上火,135
上班,136
上班族,137
上瘾,138
上空,139
上级,140
上网,141
上衣,142
上诉,143
上课,144
上调,132
上车,145
上边,146
上述,147
上门,148
上限,149
上面,146
下,150
下一代,151
下个月,152
下乡,153
下令,154
下决心,155
下功夫,156
下午,27
下去,157
下台,158
下场,159
下坠,160
下属,161
下山,162
下岗,163
下意识,164
下手,165
下旬,126
下期,166
下来,157
下棋,167
下楼,129
下次,168
下海,169
下游,170
下班,136
下级,171
下落,172
下课,173
下调,132
下跌,132
下车,145
下载,174
下边,146
下降,113
下雨,175
下雪,175
下面,146
不,176
不一会儿,177
不一定,178
不为人知,179
不久,180
不了了之,181
不予,182
不亚于,183
不亦乐乎,184
不仅,185
不仅仅,186
不以为然,187
不但,188
不便,189
不值,190
不假思索,191
不停,192
不像话,193
不光,186
不免,194
不再,195
不准,196
不利,197
不利于,198
不可思议,199
不可避免,200
不同,201
不同寻常,202
不在乎,203
不堪,204
不够,205
不大,206
不好意思,207
不如,208
不如说,209
不妨,210
不安,211
不定,212
