token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,15
一动不动,16
一半,17
一卡通,18
一口气,19
一句话,20
一同,21
一向,22
一味,23
一块儿,24
一塌糊涂,25
一声不吭,26
一大早,27
一天到晚,28
一头,29
一如既往,30
一定,31
一家人,32
一帆风顺,33
一带,34
一干二净,35
一年到头,36
一应俱全,37
一度,38
一律,39
一心,40
一心一意,41
一成不变,42
一手,43
一技之长,44
一把手,45
一揽子,46
一方面,47
一旁,48
一无所有,49
一无所知,50
一旦,51
一早,52
一时,53
一晃,54
一样,55
一概,56
一概而论,57
一模一样,58
一次性,59
一毛不拔,60
一流,61
一点儿,62
一生,63
一番,64
一目了然,65
一直,66
一眼,67
一瞬间,15
一筹莫展,68
一系列,69
一线,70
一经,71
一致,72
一般,73
一般来说,74
一行,75
一言一行,76
一言不发,26
一贯,77
一起,78
一路,79
一路上,80
一路平安,81
一路顺风,81
一身,82
一辈子,83
一边,84
一连,85
一连串,86
一道,87
一部分,88
一锅粥,89
一长一短,90
一阵,91
一面,92
一鼓作气,93
一齐,94
丁,95
七,96
七嘴八舌,97
万,98
万一,99
万万,100
万分,101
万古长青,102
万无一失,103
万能,104
丈夫,105
三,96
三明治,106
三番五次,107
三维,108
三角,109
上,110
上下,111
上个月,112
上任,113
上升,114
上午,52
上去,115
上台,116
上司,117
上周,112
上场,118
上头,119
上学,120
上岗,121
上市,122
上帝,123
上当,124
上报,125
上方,126
上旬,127
上映,128
上期,129
上来,115
上楼,130
上次,131
上流,132
上涨,133
上游,134
上演,135
上火,136
上班,137
上班族,138
上瘾,139
上空,140
上级,141
上网,142
上衣,143
上诉,144
上课,145
上调,133
上车,146
上边,147
上述,148
上门,149
上限,150
上面,147
下,151
下一代,152
下个月,153
下乡,154
下令,155
下决心,156
下功夫,157
下午,27
下去,158
下台,159
下场,160
下坠,161
下属,162
下山,163
下岗,164
下意识,165
下手,166
下旬,127
下期,167
下来,158
下棋,168
下楼,169
下次,170
下海,171
下游,172
下班,137
下级,173
下落,174
下课,175
下调,133
下跌,133
下车,146
下载,176
下边,147
下降,114
下雨,177
下雪,177
下面,147
不,178
不一会儿,179
不一定,180
不为人知,181
不久,182
不了了之,183
不予,184
不亚于,185
不亦乐乎,186
不仅,187
不仅仅,188
不以为然,189
不但,190
不便,191
不值,192
不假思索,193
不停,194
不像话,195
不光,188
不免,196
不再,197
不准,198
不利,199
不利于,200
不可思议,201
不可避免,202
不同,203
不同寻常,204
不在乎,205
不堪,206
不够,207
不大,208
不好意思,209
不如,210
不如说,211
不妨,212
不安,213
不定,214
