token,community
〇,0
一,0
一一,0
一下子,1
一不小心,1
一举,1
一举一动,2
一事无成,3
一些,0
一代,4
一会儿,1
一体,5
一共,6
一再,1
一切,0
一刹那,1
一动不动,2
一半,0
一卡通,7
一口气,1
一句话,8
一同,5
一向,9
一味,10
一块儿,5
一塌糊涂,11
一声不吭,2
一大早,12
一天到晚,13
一头,14
一如既往,10
一定,9
一家人,4
一帆风顺,15
一带,16
一干二净,11
一年到头,13
一应俱全,0
一度,1
一律,17
一心,10
一心一意,10
一成不变,18
一手,14
一技之长,19
一把手,20
一揽子,21
一方面,9
一旁,22
一无所有,3
一无所知,3
一旦,9
一早,12
一时,1
一晃,1
一样,5
一概,0
一概而论,23
一模一样,5
一次性,7
一毛不拔,24
一流,25
一点儿,11
一生,13
一番,0
一目了然,23
一直,9
一眼,2
一瞬间,1
一筹莫展,3
一系列,0
一线,26
一经,1
一致,5
一般,9
一般来说,9
一行,27
一言一行,28
一言不发,2
一贯,10
一起,5
一路,29
一路上,29
一路平安,30
一路顺风,30
一身,31
一辈子,13
一边,22
一连,1
一连串,0
一道,5
一部分,0
一锅粥,32
一长一短,31
一阵,33
一面,22
一鼓作气,1
一齐,1
丁,32
七,0
七嘴八舌,2
万,34
万一,9
万万,9
万分,3
万古长青,30
万无一失,23
万能,35
丈夫,4
三,0
三明治,32
三番五次,1
三维,36
三角,37
上,22
上下,22
上个月,38
上任,20
上升,39
上午,12
上去,40
上台,20
上司,4
上周,38
上场,41
上头,22
上学,42
上岗,43
上市,44
上帝,45
上当,46
上报,43
上方,22
上旬,38
上映,47
上期,38
上来,40
上楼,40
上次,38
上流,25
上涨,39
上游,44
上演,48
上火,32
上班,12
上班族,49
上瘾,50
上空,26
上级,20
上网,36
上衣,31
上诉,51
上课,42
上调,39
上车,29
上边,22
上述,0
上门,40
上限,52
上面,22
下,22
下一代,4
下个月,38
下乡,40
下令,53
下决心,10
下功夫,10
下午,12
下去,40
下台,20
下场,54
下坠,33
下属,20
下山,40
下岗,20
下意识,1
下手,55
下旬,38
下期,38
下来,40
下棋,56
下楼,40
下次,38
下海,40
下游,44
下班,12
下级,20
下落,33
下课,12
下调,39
下跌,39
下车,29
下载,57
下边,22
下降,39
下雨,58
下雪,58
下面,22
不,17
不一会儿,1
不一定,9
不为人知,59
不久,38
不了了之,11
不予,17
不亚于,60
不亦乐乎,2
不仅,9
不仅仅,9
不以为然,3
不但,9
不便,17
不值,3
不假思索,1
不停,13
不像话,11
不光,9
不免,17
不再,17
不准,17
不利,61
不利于,61
不可思议,59
不可避免,17
不同,5
不同寻常,59
不在乎,62
不堪,3
不够,63
不大,63
不好意思,11
不如,60
不如说,9
不妨,17
不安,3
不定,13
不宜,17
不容,17
不对,11
不少,0
不屑,3
不已,3
不平,3
不幸,54
不得不,1
不得了,11
不得已,1
