token,community
〇,0
一,0
一一,1
一下子,1
一不小心,1
一举,1
一举一动,2
一事无成,3
一些,0
一代,4
一会儿,1
一体,5
一共,6
一再,1
一切,0
一刹那,1
一动不动,2
一半,0
一卡通,7
一口气,1
一句话,8
一同,5
一向,9
一味,10
一块儿,5
一塌糊涂,11
一声不吭,2
一大早,12
一天到晚,12
一头,13
一如既往,10
一定,9
一家人,14
一帆风顺,15
一带,16
一干二净,11
一年到头,12
一应俱全,0
一度,1
一律,17
一心,10
一心一意,10
一成不变,18
一手,13
一技之长,19
一把手,20
一揽子,21
一方面,9
一旁,22
一无所有,3
一无所知,3
一旦,9
一早,12
一时,1
一晃,1
一样,5
一概,9
一概而论,5
一模一样,5
一次性,23
一毛不拔,24
一流,25
一点儿,11
一生,26
一番,0
一目了然,27
一直,9
一眼,2
一瞬间,1
一筹莫展,3
一系列,0
一线,25
一经,1
一致,5
一般,9
一般来说,9
一行,28
一言一行,29
一言不发,2
一贯,10
一起,5
一路,30
一路上,30
一路平安,31
一路顺风,15
一身,32
一辈子,26
一边,22
一连,1
一连串,0
一道,5
一部分,0
一锅粥,33
一长一短,34
一阵,2
一面,22
一鼓作气,1
一齐,1
丁,33
七,0
七嘴八舌,2
万,35
万一,9
万万,9
万分,3
万古长青,31
万无一失,27
万能,18
丈夫,14
三,0
三明治,33
三番五次,1
三维,36
三角,34
上,22
上下,22
上个月,37
上任,20
上升,38
上午,12
上去,39
上台,20
上司,14
上周,37
上场,40
上头,22
上学,41
上岗,20
上市,42
上帝,26
上当,43
上报,7
上方,22
上旬,37
上映,44
上期,37
上来,39
上楼,39
上次,37
上流,45
上涨,38
上游,46
上演,47
上火,33
上班,12
上班族,45
上瘾,48
上空,49
上级,20
上网,36
上衣,32
上诉,50
上课,41
上调,38
上车,30
上边,22
上述,0
上门,39
上限,51
上面,22
下,22
下一代,4
下个月,37
下乡,39
下令,52
下决心,10
下功夫,10
下午,12
下去,39
下台,20
下场,53
下坠,54
下属,20
下山,39
下岗,20
下意识,1
下手,10
下旬,37
下期,37
下来,39
下棋,55
下楼,39
下次,37
下海,39
下游,46
下班,12
下级,20
下落,56
下课,12
下调,38
下跌,38
下车,30
下载,7
下边,22
下降,38
下雨,57
下雪,57
下面,22
不,17
不一会儿,1
不一定,9
不为人知,58
不久,37
不了了之,11
不予,17
不亚于,51
不亦乐乎,15
不仅,9
不仅仅,9
不以为然,3
不但,9
不便,17
不值,3
不假思索,1
不停,1
不像话,11
不光,9
不免,1
不再,17
不准,17
不利,59
不利于,60
不可思议,58
不可避免,9
不同,5
不同寻常,58
不在乎,61
不堪,3
不够,62
不大,62
不好意思,11
不如,51
不如说,9
不妨,17
不安,3
不定,3
不宜,17
不容,17
不对,11
不少,0
不屑,3
不已,3
不平,3
不幸,63
不得不,1
不得了,11
不得已,1
