token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,15
一动不动,16
一半,17
一卡通,18
一口气,19
一句话,20
一同,21
一向,22
一味,23
一块儿,24
一塌糊涂,25
一声不吭,26
一大早,27
一天到晚,28
一头,29
一如既往,30
一定,31
一家人,32
一帆风顺,33
一带,34
一干二净,35
一年到头,36
一应俱全,37
一度,38
一律,39
一心,40
一心一意,40
一成不变,41
一手,42
一技之长,43
一把手,44
一揽子,45
一方面,46
一旁,47
一无所有,48
一无所知,49
一旦,50
一早,27
一时,51
一晃,52
一样,53
一概,54
一概而论,55
一模一样,56
一次性,57
一毛不拔,58
一流,59
一点儿,60
一生,61
一番,62
一目了然,63
一直,64
一眼,65
一瞬间,15
一筹莫展,66
一系列,67
一线,68
一经,69
一致,70
一般,71
一般来说,72
一行,73
一言一行,74
一言不发,26
一贯,75
一起,76
一路,77
一路上,78
一路平安,79
一路顺风,79
一身,80
一辈子,81
一边,82
一连,83
一连串,84
一道,85
一部分,86
一锅粥,87
一长一短,88
一阵,89
一面,90
一鼓作气,91
一齐,92
丁,93
七,94
七嘴八舌,95
万,96
万一,97
万万,98
万分,99
万古长青,100
万无一失,101
万能,102
丈夫,103
三,94
三明治,104
三番五次,105
三维,106
三角,107
上,108
上下,109
上个月,110
上任,111
上升,112
上午,27
上去,113
上台,114
上司,115
上周,110
上场,116
上头,117
上学,118
上岗,119
上市,120
上帝,121
上当,122
上报,123
上方,124
上旬,125
上映,126
上期,127
上来,113
上楼,128
上次,129
上流,130
上涨,131
上游,132
上演,133
上火,134
上班,135
上班族,136
上瘾,137
上空,138
上级,139
上网,140
上衣,141
上诉,142
上课,143
上调,144
上车,145
上边,146
上述,147
上门,148
上限,149
上面,146
下,150
下一代,151
下个月,152
下乡,153
下令,154
下决心,155
下功夫,156
下午,27
下去,157
下台,158
下场,159
下坠,160
下属,161
下山,162
下岗,163
下意识,164
下手,165
下旬,125
下期,166
下来,157
下棋,167
下楼,128
下次,168
下海,169
下游,132
下班,135
下级,139
下落,170
下课,135
下调,144
下跌,131
下车,145
下载,171
下边,146
下降,112
下雨,172
下雪,172
下面,146
不,173
不一会儿,174
不一定,175
不为人知,176
不久,177
不了了之,178
不予,179
不亚于,180
不亦乐乎,181
不仅,182
不仅仅,46
不以为然,183
不但,182
不便,184
不值,185
不假思索,186
不停,187
不像话,188
不光,46
不免,189
不再,190
不准,191
不利,192
不利于,193
不可思议,194
不可避免,195
不同,56
不同寻常,196
不在乎,197
不堪,198
不够,199
不大,200
不好意思,201
不如,202
不如说,203
不妨,204
不安,205
不定,206
