token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,3
一动不动,15
一半,16
一卡通,17
一口气,18
一句话,19
一同,20
一向,21
一味,22
一块儿,20
一塌糊涂,23
一声不吭,15
一大早,24
一天到晚,25
一头,26
一如既往,27
一定,28
一家人,29
一帆风顺,30
一带,31
一干二净,32
一年到头,33
一应俱全,34
一度,35
一律,2
一心,36
一心一意,36
一成不变,37
一手,38
一技之长,39
一把手,40
一揽子,41
一方面,42
一旁,43
一无所有,7
一无所知,32
一旦,44
一早,24
一时,45
一晃,46
一样,47
一概,2
一概而论,48
一模一样,47
一次性,49
一毛不拔,50
一流,51
一点儿,52
一生,53
一番,54
一目了然,32
一直,55
一眼,56
一瞬间,3
一筹莫展,57
一系列,58
一线,59
一经,2
一致,60
一般,61
一般来说,61
一行,62
一言一行,6
一言不发,15
一贯,21
一起,20
一路,31
一路上,63
一路平安,30
一路顺风,30
一身,64
一辈子,53
一边,43
一连,65
一连串,58
一道,20
一部分,66
一锅粥,67
一长一短,68
一阵,10
一面,43
一鼓作气,5
一齐,20
丁,69
七,70
七嘴八舌,71
万,72
万一,73
万万,74
万分,75
万古长青,76
万无一失,77
万能,78
丈夫,79
三,70
三明治,80
三番五次,13
三维,81
三角,82
上,83
上下,84
上个月,85
上任,86
上升,87
上午,24
上去,88
上台,89
上司,90
上周,85
上场,91
上头,92
上学,93
上岗,94
上市,95
上帝,96
上当,97
上报,98
上方,99
上旬,100
上映,101
上期,102
上来,88
上楼,103
上次,85
上流,104
上涨,87
上游,105
上演,106
上火,107
上班,108
上班族,109
上瘾,110
上空,111
上级,90
上网,112
上衣,113
上诉,114
上课,115
上调,87
上车,116
上边,92
上述,117
上门,103
上限,118
上面,92
下,119
下一代,9
下个月,120
下乡,121
下令,122
下决心,123
下功夫,124
下午,24
下去,88
下台,89
下场,91
下坠,125
下属,90
下山,126
下岗,127
下意识,128
下手,129
下旬,100
下期,120
下来,88
下棋,130
下楼,103
下次,120
下海,126
下游,105
下班,108
下级,90
下落,125
下课,131
下调,87
下跌,87
下车,116
下载,132
下边,92
下降,87
下雨,133
下雪,133
下面,92
不,134
不一会儿,10
不一定,28
不为人知,135
不久,136
不了了之,137
不予,138
不亚于,139
不亦乐乎,140
不仅,141
不仅仅,141
不以为然,142
不但,141
不便,143
不值,144
不假思索,145
不停,146
不像话,23
不光,141
不免,147
不再,37
不准,148
不利,149
不利于,150
不可思议,151
不可避免,152
不同,47
不同寻常,153
不在乎,154
不堪,155
不够,156
不大,157
不好意思,158
不如,159
不如说,160
不妨,161
不安,162
不定,163
