token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,3
一动不动,15
一半,16
一卡通,17
一口气,18
一句话,19
一同,20
一向,21
一味,22
一块儿,20
一塌糊涂,23
一声不吭,15
一大早,24
一天到晚,25
一头,26
一如既往,27
一定,28
一家人,29
一帆风顺,30
一带,31
一干二净,23
一年到头,32
一应俱全,33
一度,34
一律,2
一心,35
一心一意,35
一成不变,36
一手,37
一技之长,38
一把手,39
一揽子,40
一方面,41
一旁,42
一无所有,7
一无所知,7
一旦,43
一早,24
一时,44
一晃,45
一样,46
一概,2
一概而论,47
一模一样,48
一次性,49
一毛不拔,50
一流,51
一点儿,52
一生,53
一番,54
一目了然,55
一直,56
一眼,57
一瞬间,3
一筹莫展,58
一系列,8
一线,59
一经,2
一致,60
一般,61
一般来说,62
一行,63
一言一行,6
一言不发,15
一贯,21
一起,20
一路,31
一路上,64
一路平安,30
一路顺风,30
一身,65
一辈子,53
一边,42
一连,66
一连串,54
一道,20
一部分,16
一锅粥,67
一长一短,68
一阵,54
一面,42
一鼓作气,18
一齐,20
丁,69
七,70
七嘴八舌,71
万,72
万一,73
万万,74
万分,75
万古长青,76
万无一失,77
万能,78
丈夫,79
三,70
三明治,80
三番五次,13
三维,81
三角,81
上,82
上下,83
上个月,84
上任,85
上升,86
上午,24
上去,87
上台,88
上司,89
上周,90
上场,91
上头,92
上学,93
上岗,94
上市,95
上帝,96
上当,97
上报,98
上方,99
上旬,84
上映,100
上期,101
上来,87
上楼,102
上次,90
上流,103
上涨,86
上游,104
上演,105
上火,106
上班,107
上班族,108
上瘾,109
上空,110
上级,89
上网,111
上衣,112
上诉,113
上课,114
上调,86
上车,115
上边,92
上述,116
上门,102
上限,117
上面,92
下,83
下一代,9
下个月,118
下乡,119
下令,120
下决心,121
下功夫,122
下午,24
下去,87
下台,88
下场,123
下坠,124
下属,125
下山,126
下岗,127
下意识,128
下手,129
下旬,84
下期,101
下来,87
下棋,130
下楼,102
下次,118
下海,126
下游,104
下班,107
下级,89
下落,124
下课,131
下调,86
下跌,86
下车,115
下载,132
下边,92
下降,86
下雨,133
下雪,133
下面,92
不,134
不一会儿,10
不一定,28
不为人知,135
不久,136
不了了之,137
不予,138
不亚于,139
不亦乐乎,140
不仅,141
不仅仅,141
不以为然,142
不但,143
不便,144
不值,145
不假思索,146
不停,25
不像话,147
不光,141
不免,148
不再,141
不准,149
不利,150
不利于,150
不可思议,151
不可避免,148
不同,48
不同寻常,152
不在乎,153
不堪,154
不够,134
不大,155
不好意思,156
不如,157
不如说,158
不妨,159
不安,160
不定,161
