token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,2
一刹那,14
一动不动,15
一半,16
一卡通,17
一口气,18
一句话,19
一同,20
一向,21
一味,22
一块儿,23
一塌糊涂,24
一声不吭,15
一大早,25
一天到晚,26
一头,27
一如既往,28
一定,29
一家人,30
一帆风顺,31
一带,32
一干二净,33
一年到头,26
一应俱全,34
一度,35
一律,2
一心,36
一心一意,37
一成不变,38
一手,39
一技之长,40
一把手,41
一揽子,42
一方面,43
一旁,44
一无所有,7
一无所知,7
一旦,45
一早,25
一时,46
一晃,47
一样,48
一概,2
一概而论,49
一模一样,50
一次性,51
一毛不拔,52
一流,53
一点儿,54
一生,55
一番,56
一目了然,57
一直,21
一眼,58
一瞬间,14
一筹莫展,59
一系列,8
一线,60
一经,61
一致,62
一般,63
一般来说,64
一行,65
一言一行,6
一言不发,15
一贯,21
一起,20
一路,66
一路上,67
一路平安,68
一路顺风,68
一身,69
一辈子,70
一边,71
一连,72
一连串,8
一道,20
一部分,16
一锅粥,73
一长一短,74
一阵,75
一面,71
一鼓作气,76
一齐,77
丁,78
七,1
七嘴八舌,79
万,80
万一,4
万万,81
万分,82
万古长青,83
万无一失,84
万能,85
丈夫,86
三,1
三明治,87
三番五次,88
三维,89
三角,90
上,91
上下,92
上个月,93
上任,94
上升,95
上午,25
上去,96
上台,97
上司,98
上周,93
上场,99
上头,100
上学,101
上岗,102
上市,103
上帝,104
上当,105
上报,106
上方,60
上旬,107
上映,108
上期,109
上来,96
上楼,110
上次,111
上流,112
上涨,95
上游,113
上演,114
上火,115
上班,116
上班族,117
上瘾,118
上空,119
上级,120
上网,121
上衣,122
上诉,123
上课,124
上调,95
上车,125
上边,126
上述,127
上门,128
上限,129
上面,126
下,130
下一代,9
下个月,107
下乡,131
下令,132
下决心,133
下功夫,134
下午,25
下去,96
下台,97
下场,135
下坠,136
下属,137
下山,110
下岗,138
下意识,139
下手,140
下旬,107
下期,141
下来,96
下棋,142
下楼,110
下次,143
下海,131
下游,113
下班,116
下级,120
下落,144
下课,116
下调,95
下跌,95
下车,125
下载,145
下边,126
下降,95
下雨,146
下雪,146
下面,126
不,147
不一会儿,10
不一定,29
不为人知,148
不久,149
不了了之,150
不予,151
不亚于,152
不亦乐乎,153
不仅,43
不仅仅,43
不以为然,154
不但,155
不便,156
不值,157
不假思索,139
不停,158
不像话,24
不光,43
不免,159
不再,147
不准,160
不利,161
不利于,162
不可思议,163
不可避免,164
不同,50
不同寻常,165
不在乎,166
不堪,167
不够,168
不大,169
不好意思,170
不如,171
不如说,172
不妨,173
不安,174
不定,175
