token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,2
一刹那,14
一动不动,15
一半,16
一卡通,17
一口气,18
一句话,19
一同,20
一向,21
一味,22
一块儿,23
一塌糊涂,24
一声不吭,15
一大早,25
一天到晚,26
一头,27
一如既往,28
一定,29
一家人,30
一帆风顺,31
一带,32
一干二净,33
一年到头,26
一应俱全,34
一度,35
一律,2
一心,36
一心一意,36
一成不变,37
一手,38
一技之长,39
一把手,40
一揽子,41
一方面,42
一旁,43
一无所有,7
一无所知,7
一旦,44
一早,25
一时,45
一晃,46
一样,47
一概,2
一概而论,48
一模一样,49
一次性,50
一毛不拔,51
一流,52
一点儿,53
一生,54
一番,55
一目了然,56
一直,57
一眼,58
一瞬间,14
一筹莫展,59
一系列,8
一线,60
一经,61
一致,62
一般,63
一般来说,64
一行,65
一言一行,6
一言不发,15
一贯,21
一起,20
一路,66
一路上,67
一路平安,68
一路顺风,68
一身,69
一辈子,70
一边,71
一连,72
一连串,8
一道,20
一部分,63
一锅粥,73
一长一短,74
一阵,75
一面,76
一鼓作气,77
一齐,78
丁,79
七,1
七嘴八舌,80
万,81
万一,4
万万,82
万分,83
万古长青,84
万无一失,85
万能,86
丈夫,87
三,1
三明治,88
三番五次,89
三维,90
三角,91
上,92
上下,93
上个月,94
上任,95
上升,96
上午,25
上去,97
上台,98
上司,99
上周,94
上场,100
上头,101
上学,102
上岗,103
上市,104
上帝,105
上当,106
上报,107
上方,60
上旬,108
上映,109
上期,110
上来,97
上楼,111
上次,112
上流,113
上涨,96
上游,114
上演,115
上火,116
上班,117
上班族,118
上瘾,119
上空,120
上级,121
上网,122
上衣,123
上诉,124
上课,125
上调,96
上车,126
上边,127
上述,128
上门,129
上限,130
上面,127
下,131
下一代,9
下个月,108
下乡,132
下令,133
下决心,134
下功夫,135
下午,25
下去,97
下台,98
下场,136
下坠,137
下属,138
下山,111
下岗,139
下意识,140
下手,141
下旬,108
下期,142
下来,97
下棋,143
下楼,111
下次,144
下海,145
下游,114
下班,117
下级,121
下落,146
下课,117
下调,96
下跌,96
下车,126
下载,147
下边,127
下降,96
下雨,148
下雪,148
下面,127
不,149
不一会儿,10
不一定,29
不为人知,150
不久,151
不了了之,152
不予,153
不亚于,154
不亦乐乎,155
不仅,42
不仅仅,42
不以为然,156
不但,42
不便,157
不值,158
不假思索,140
不停,159
不像话,24
不光,42
不免,160
不再,161
不准,162
不利,163
不利于,164
不可思议,165
不可避免,166
不同,49
不同寻常,167
不在乎,168
不堪,169
不够,170
不大,171
不好意思,172
不如,173
不如说,174
不妨,175
不安,176
不定,177
