token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,2
一刹那,10
一动不动,14
一半,8
一卡通,15
一口气,5
一句话,16
一同,17
一向,18
一味,19
一块儿,17
一塌糊涂,20
一声不吭,14
一大早,21
一天到晚,22
一头,23
一如既往,18
一定,24
一家人,25
一帆风顺,26
一带,27
一干二净,20
一年到头,22
一应俱全,28
一度,13
一律,2
一心,29
一心一意,30
一成不变,31
一手,32
一技之长,33
一把手,34
一揽子,35
一方面,36
一旁,37
一无所有,7
一无所知,7
一旦,38
一早,21
一时,39
一晃,10
一样,40
一概,2
一概而论,41
一模一样,42
一次性,43
一毛不拔,44
一流,45
一点儿,46
一生,47
一番,48
一目了然,49
一直,18
一眼,50
一瞬间,10
一筹莫展,51
一系列,52
一线,32
一经,53
一致,54
一般,8
一般来说,36
一行,55
一言一行,6
一言不发,14
一贯,18
一起,17
一路,26
一路上,56
一路平安,26
一路顺风,26
一身,11
一辈子,57
一边,37
一连,5
一连串,52
一道,58
一部分,8
一锅粥,20
一长一短,59
一阵,60
一面,61
一鼓作气,5
一齐,3
丁,62
七,1
七嘴八舌,63
万,64
万一,4
万万,64
万分,65
万古长青,66
万无一失,67
万能,68
丈夫,25
三,1
三明治,69
三番五次,13
三维,70
三角,71
上,72
上下,73
上个月,74
上任,75
上升,76
上午,21
上去,77
上台,75
上司,78
上周,74
上场,79
上头,37
上学,80
上岗,81
上市,82
上帝,83
上当,84
上报,85
上方,86
上旬,74
上映,87
上期,88
上来,77
上楼,77
上次,89
上流,90
上涨,76
上游,91
上演,92
上火,93
上班,21
上班族,94
上瘾,95
上空,96
上级,78
上网,97
上衣,98
上诉,99
上课,80
上调,76
上车,100
上边,37
上述,101
上门,102
上限,103
上面,37
下,104
下一代,9
下个月,74
下乡,105
下令,106
下决心,106
下功夫,107
下午,21
下去,77
下台,75
下场,108
下坠,109
下属,78
下山,77
下岗,81
下意识,3
下手,110
下旬,74
下期,88
下来,77
下棋,111
下楼,21
下次,77
下海,112
下游,113
下班,21
下级,78
下落,114
下课,21
下调,76
下跌,76
下车,100
下载,115
下边,37
下降,76
下雨,116
下雪,116
下面,37
不,117
不一会儿,10
不一定,38
不为人知,118
不久,119
不了了之,120
不予,121
不亚于,122
不亦乐乎,123
不仅,38
不仅仅,38
不以为然,14
不但,38
不便,124
不值,125
不假思索,3
不停,22
不像话,126
不光,38
不免,3
不再,117
不准,117
不利,125
不利于,127
不可思议,128
不可避免,129
不同,42
不同寻常,128
不在乎,130
不堪,131
不够,132
不大,132
不好意思,14
不如,122
不如说,38
不妨,129
不安,14
不定,133
