token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,3
一动不动,15
一半,16
一卡通,17
一口气,5
一句话,18
一同,19
一向,20
一味,21
一块儿,19
一塌糊涂,22
一声不吭,15
一大早,23
一天到晚,24
一头,25
一如既往,26
一定,27
一家人,28
一帆风顺,29
一带,30
一干二净,22
一年到头,24
一应俱全,31
一度,32
一律,14
一心,33
一心一意,34
一成不变,35
一手,36
一技之长,37
一把手,38
一揽子,39
一方面,40
一旁,15
一无所有,7
一无所知,41
一旦,42
一早,23
一时,43
一晃,44
一样,45
一概,14
一概而论,46
一模一样,47
一次性,48
一毛不拔,49
一流,50
一点儿,51
一生,52
一番,53
一目了然,54
一直,55
一眼,56
一瞬间,3
一筹莫展,57
一系列,58
一线,59
一经,60
一致,61
一般,62
一般来说,62
一行,63
一言一行,6
一言不发,15
一贯,20
一起,19
一路,30
一路上,64
一路平安,65
一路顺风,29
一身,66
一辈子,52
一边,67
一连,68
一连串,58
一道,69
一部分,70
一锅粥,71
一长一短,72
一阵,73
一面,67
一鼓作气,5
一齐,19
丁,74
七,75
七嘴八舌,76
万,77
万一,78
万万,79
万分,80
万古长青,81
万无一失,82
万能,83
丈夫,84
三,75
三明治,85
三番五次,13
三维,86
三角,87
上,88
上下,89
上个月,90
上任,91
上升,92
上午,23
上去,93
上台,94
上司,95
上周,96
上场,97
上头,98
上学,99
上岗,100
上市,101
上帝,98
上当,102
上报,103
上方,104
上旬,90
上映,105
上期,106
上来,93
上楼,107
上次,96
上流,108
上涨,92
上游,109
上演,110
上火,111
上班,107
上班族,112
上瘾,113
上空,114
上级,95
上网,115
上衣,116
上诉,117
上课,118
上调,119
上车,107
上边,120
上述,121
上门,122
上限,123
上面,120
下,124
下一代,9
下个月,90
下乡,125
下令,126
下决心,127
下功夫,128
下午,23
下去,93
下台,94
下场,129
下坠,130
下属,131
下山,132
下岗,133
下意识,134
下手,135
下旬,90
下期,106
下来,93
下棋,136
下楼,107
下次,137
下海,138
下游,109
下班,107
下级,95
下落,130
下课,139
下调,119
下跌,92
下车,140
下载,141
下边,120
下降,92
下雨,142
下雪,142
下面,120
不,143
不一会儿,144
不一定,27
不为人知,145
不久,146
不了了之,147
不予,148
不亚于,149
不亦乐乎,150
不仅,151
不仅仅,151
不以为然,152
不但,151
不便,153
不值,154
不假思索,155
不停,156
不像话,157
不光,151
不免,158
不再,159
不准,160
不利,161
不利于,161
不可思议,162
不可避免,163
不同,47
不同寻常,164
不在乎,165
不堪,166
不够,143
不大,167
不好意思,168
不如,169
不如说,169
不妨,169
不安,170
不定,171
