token,community
〇,0
一,0
一一,0
一下子,0
一不小心,0
一举,0
一举一动,0
一事无成,0
一些,0
一代,0
一会儿,0
一体,0
一共,0
一再,0
一切,0
一刹那,0
一动不动,0
一半,0
一卡通,0
一口气,0
一句话,0
一同,0
一向,0
一味,0
一块儿,0
一塌糊涂,0
一声不吭,0
一大早,0
一天到晚,0
一头,0
一如既往,0
一定,0
一家人,0
一帆风顺,0
一带,0
一干二净,0
一年到头,0
一应俱全,0
一度,0
一律,0
一心,0
一心一意,0
一成不变,0
一手,0
一技之长,0
一把手,0
一揽子,0
一方面,0
一旁,0
一无所有,0
一无所知,0
一旦,0
一早,0
一时,0
一晃,0
一样,0
一概,0
一概而论,0
一模一样,0
一次性,0
一毛不拔,0
一流,0
一点儿,0
一生,0
一番,0
一目了然,0
一直,0
一眼,0
一瞬间,0
一筹莫展,0
一系列,0
一线,0
一经,0
一致,0
一般,0
一般来说,0
一行,0
一言一行,0
一言不发,0
一贯,0
一起,0
一路,0
一路上,0
一路平安,0
一路顺风,0
一身,0
一辈子,0
一边,0
一连,0
一连串,0
一道,0
一部分,0
一锅粥,0
一长一短,0
一阵,0
一面,0
一鼓作气,0
一齐,0
丁,0
七,0
七嘴八舌,0
万,0
万一,0
万万,0
万分,0
万古长青,0
万无一失,0
万能,0
丈夫,0
三,0
三明治,0
三番五次,0
三维,0
三角,0
上,0
上下,0
上个月,0
上任,0
上升,0
上午,0
上去,0
上台,0
上司,0
上周,0
上场,0
上头,0
上学,0
上岗,0
上市,0
上帝,0
上当,0
上报,0
上方,0
上旬,0
上映,0
上期,0
上来,0
上楼,0
上次,0
上流,0
上涨,0
上游,0
上演,0
上火,0
上班,0
上班族,0
上瘾,0
上空,0
上级,0
上网,0
上衣,0
上诉,0
上课,0
上调,0
上车,0
上边,0
上述,0
上门,0
上限,0
上面,0
下,0
下一代,0
下个月,0
下乡,0
下令,0
下决心,0
下功夫,0
下午,0
下去,0
下台,0
下场,0
下坠,0
下属,0
下山,0
下岗,0
下意识,0
下手,0
下旬,0
下期,0
下来,0
下棋,0
下楼,0
下次,0
下海,0
下游,0
下班,0
下级,0
下落,0
下课,0
下调,0
下跌,0
下车,0
下载,0
下边,0
下降,0
下雨,0
下雪,0
下面,0
不,0
不一会儿,0
不一定,0
不为人知,0
不久,0
不了了之,0
不予,0
不亚于,0
不亦乐乎,0
不仅,0
不仅仅,0
不以为然,0
不但,0
不便,0
不值,0
不假思索,0
不停,0
不像话,0
不光,0
不免,0
不再,0
不准,0
不利,0
不利于,0
不可思议,0
不可避免,0
不同,0
不同寻常,0
不在乎,0
不堪,0
不够,0
不大,0
不好意思,0
不如,0
不如说,0
不妨,0
不安,0
不定,0
不宜,0
不容,0
不对,0
不少,0
不屑,0
不已,0
不平,0
不幸,0
不得不,0
不得了,0
不得已,0
