token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,2
一刹那,14
一动不动,10
一半,15
一卡通,16
一口气,5
一句话,17
一同,18
一向,19
一味,20
一块儿,18
一塌糊涂,21
一声不吭,10
一大早,22
一天到晚,23
一头,24
一如既往,19
一定,25
一家人,26
一帆风顺,27
一带,28
一干二净,21
一年到头,23
一应俱全,29
一度,13
一律,2
一心,30
一心一意,31
一成不变,32
一手,33
一技之长,34
一把手,35
一揽子,36
一方面,37
一旁,38
一无所有,7
一无所知,7
一旦,39
一早,22
一时,14
一晃,40
一样,41
一概,2
一概而论,42
一模一样,41
一次性,43
一毛不拔,44
一流,45
一点儿,46
一生,47
一番,48
一目了然,49
一直,19
一眼,10
一瞬间,14
一筹莫展,7
一系列,8
一线,50
一经,51
一致,52
一般,53
一般来说,54
一行,55
一言一行,6
一言不发,10
一贯,19
一起,18
一路,27
一路上,56
一路平安,27
一路顺风,27
一身,11
一辈子,30
一边,38
一连,57
一连串,8
一道,18
一部分,58
一锅粥,21
一长一短,59
一阵,60
一面,61
一鼓作气,5
一齐,62
丁,63
七,1
七嘴八舌,62
万,64
万一,65
万万,65
万分,65
万古长青,66
万无一失,67
万能,68
丈夫,26
三,1
三明治,69
三番五次,13
三维,70
三角,71
上,72
上下,73
上个月,74
上任,75
上升,76
上午,22
上去,77
上台,78
上司,79
上周,74
上场,80
上头,38
上学,81
上岗,82
上市,83
上帝,84
上当,85
上报,86
上方,87
上旬,74
上映,88
上期,89
上来,77
上楼,90
上次,91
上流,92
上涨,76
上游,93
上演,94
上火,95
上班,96
上班族,97
上瘾,98
上空,99
上级,79
上网,100
上衣,101
上诉,102
上课,96
上调,76
上车,103
上边,38
上述,104
上门,105
上限,106
上面,38
下,107
下一代,9
下个月,74
下乡,108
下令,109
下决心,110
下功夫,111
下午,22
下去,77
下台,75
下场,80
下坠,112
下属,79
下山,108
下岗,82
下意识,10
下手,111
下旬,74
下期,113
下来,77
下棋,114
下楼,96
下次,115
下海,108
下游,93
下班,96
下级,79
下落,116
下课,96
下调,76
下跌,76
下车,103
下载,117
下边,38
下降,76
下雨,118
下雪,118
下面,38
不,119
不一会儿,14
不一定,120
不为人知,121
不久,122
不了了之,123
不予,124
不亚于,125
不亦乐乎,126
不仅,127
不仅仅,128
不以为然,129
不但,127
不便,130
不值,131
不假思索,132
不停,133
不像话,46
不光,134
不免,132
不再,119
不准,135
不利,136
不利于,136
不可思议,137
不可避免,138
不同,41
不同寻常,41
不在乎,139
不堪,140
不够,141
不大,142
不好意思,46
不如,143
不如说,134
不妨,144
不安,129
不定,145
