token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,2
一刹那,14
一动不动,15
一半,16
一卡通,17
一口气,5
一句话,18
一同,19
一向,20
一味,21
一块儿,22
一塌糊涂,23
一声不吭,3
一大早,24
一天到晚,25
一头,26
一如既往,20
一定,27
一家人,28
一帆风顺,29
一带,30
一干二净,23
一年到头,25
一应俱全,31
一度,13
一律,2
一心,32
一心一意,32
一成不变,33
一手,34
一技之长,35
一把手,36
一揽子,37
一方面,38
一旁,39
一无所有,7
一无所知,7
一旦,40
一早,24
一时,14
一晃,4
一样,41
一概,2
一概而论,42
一模一样,41
一次性,43
一毛不拔,44
一流,45
一点儿,46
一生,47
一番,48
一目了然,49
一直,20
一眼,10
一瞬间,14
一筹莫展,50
一系列,8
一线,51
一经,52
一致,53
一般,54
一般来说,55
一行,56
一言一行,6
一言不发,10
一贯,20
一起,19
一路,29
一路上,57
一路平安,58
一路顺风,58
一身,11
一辈子,32
一边,39
一连,59
一连串,8
一道,22
一部分,54
一锅粥,23
一长一短,60
一阵,61
一面,62
一鼓作气,5
一齐,63
丁,64
七,1
七嘴八舌,65
万,66
万一,40
万万,67
万分,67
万古长青,68
万无一失,69
万能,70
丈夫,28
三,1
三明治,71
三番五次,13
三维,72
三角,73
上,74
上下,75
上个月,76
上任,77
上升,78
上午,24
上去,79
上台,80
上司,81
上周,76
上场,82
上头,39
上学,83
上岗,84
上市,85
上帝,86
上当,87
上报,88
上方,89
上旬,76
上映,90
上期,91
上来,79
上楼,92
上次,93
上流,94
上涨,78
上游,95
上演,96
上火,97
上班,98
上班族,99
上瘾,100
上空,101
上级,81
上网,102
上衣,103
上诉,104
上课,83
上调,78
上车,105
上边,39
上述,106
上门,107
上限,108
上面,39
下,109
下一代,9
下个月,76
下乡,110
下令,111
下决心,112
下功夫,113
下午,24
下去,79
下台,77
下场,114
下坠,115
下属,81
下山,110
下岗,84
下意识,3
下手,116
下旬,76
下期,91
下来,79
下棋,98
下楼,98
下次,117
下海,110
下游,95
下班,98
下级,81
下落,118
下课,119
下调,78
下跌,78
下车,105
下载,120
下边,39
下降,78
下雨,121
下雪,121
下面,39
不,122
不一会儿,3
不一定,123
不为人知,124
不久,125
不了了之,126
不予,127
不亚于,128
不亦乐乎,65
不仅,129
不仅仅,130
不以为然,131
不但,129
不便,132
不值,133
不假思索,3
不停,25
不像话,46
不光,134
不免,135
不再,122
不准,136
不利,137
不利于,138
不可思议,139
不可避免,140
不同,41
不同寻常,41
不在乎,141
不堪,142
不够,143
不大,144
不好意思,46
不如,145
不如说,134
不妨,146
不安,131
不定,147
