token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,2
一刹那,14
一动不动,15
一半,16
一卡通,17
一口气,18
一句话,19
一同,20
一向,21
一味,22
一块儿,20
一塌糊涂,23
一声不吭,24
一大早,25
一天到晚,26
一头,27
一如既往,28
一定,29
一家人,30
一帆风顺,31
一带,32
一干二净,33
一年到头,26
一应俱全,34
一度,5
一律,2
一心,35
一心一意,36
一成不变,37
一手,38
一技之长,39
一把手,40
一揽子,41
一方面,42
一旁,43
一无所有,7
一无所知,7
一旦,44
一早,25
一时,45
一晃,14
一样,46
一概,2
一概而论,47
一模一样,46
一次性,48
一毛不拔,49
一流,50
一点儿,51
一生,52
一番,53
一目了然,54
一直,55
一眼,24
一瞬间,14
一筹莫展,56
一系列,57
一线,58
一经,59
一致,60
一般,61
一般来说,62
一行,63
一言一行,6
一言不发,24
一贯,21
一起,20
一路,32
一路上,64
一路平安,65
一路顺风,65
一身,11
一辈子,52
一边,42
一连,66
一连串,57
一道,67
一部分,16
一锅粥,68
一长一短,69
一阵,70
一面,42
一鼓作气,71
一齐,20
丁,72
七,1
七嘴八舌,73
万,74
万一,4
万万,75
万分,76
万古长青,77
万无一失,78
万能,79
丈夫,30
三,1
三明治,80
三番五次,13
三维,81
三角,82
上,83
上下,84
上个月,85
上任,86
上升,87
上午,25
上去,88
上台,89
上司,90
上周,91
上场,92
上头,83
上学,93
上岗,94
上市,95
上帝,96
上当,97
上报,98
上方,99
上旬,85
上映,100
上期,101
上来,88
上楼,102
上次,103
上流,104
上涨,87
上游,105
上演,106
上火,107
上班,102
上班族,108
上瘾,109
上空,110
上级,90
上网,111
上衣,112
上诉,113
上课,114
上调,115
上车,116
上边,43
上述,117
上门,118
上限,119
上面,43
下,120
下一代,9
下个月,121
下乡,122
下令,123
下决心,124
下功夫,125
下午,25
下去,88
下台,126
下场,92
下坠,127
下属,90
下山,128
下岗,129
下意识,3
下手,130
下旬,85
下期,101
下来,88
下棋,102
下楼,102
下次,121
下海,128
下游,105
下班,25
下级,90
下落,131
下课,132
下调,115
下跌,87
下车,116
下载,133
下边,43
下降,87
下雨,134
下雪,134
下面,43
不,135
不一会儿,136
不一定,135
不为人知,137
不久,136
不了了之,138
不予,139
不亚于,140
不亦乐乎,141
不仅,142
不仅仅,143
不以为然,144
不但,142
不便,145
不值,146
不假思索,147
不停,26
不像话,23
不光,142
不免,148
不再,149
不准,150
不利,151
不利于,152
不可思议,153
不可避免,148
不同,46
不同寻常,46
不在乎,154
不堪,155
不够,156
不大,157
不好意思,158
不如,140
不如说,159
不妨,160
不安,161
不定,162
