token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,2
一刹那,3
一动不动,14
一半,15
一卡通,16
一口气,17
一句话,18
一同,19
一向,20
一味,21
一块儿,19
一塌糊涂,22
一声不吭,14
一大早,23
一天到晚,24
一头,25
一如既往,26
一定,27
一家人,28
一帆风顺,29
一带,30
一干二净,31
一年到头,24
一应俱全,32
一度,5
一律,33
一心,34
一心一意,34
一成不变,35
一手,36
一技之长,37
一把手,38
一揽子,39
一方面,40
一旁,41
一无所有,7
一无所知,7
一旦,4
一早,23
一时,42
一晃,3
一样,43
一概,2
一概而论,44
一模一样,45
一次性,46
一毛不拔,47
一流,48
一点儿,49
一生,50
一番,51
一目了然,52
一直,53
一眼,14
一瞬间,3
一筹莫展,54
一系列,8
一线,55
一经,2
一致,56
一般,57
一般来说,58
一行,59
一言一行,6
一言不发,14
一贯,20
一起,19
一路,29
一路上,29
一路平安,29
一路顺风,29
一身,11
一辈子,50
一边,40
一连,60
一连串,8
一道,61
一部分,15
一锅粥,62
一长一短,63
一阵,64
一面,40
一鼓作气,65
一齐,66
丁,67
七,1
七嘴八舌,68
万,69
万一,4
万万,70
万分,71
万古长青,72
万无一失,73
万能,74
丈夫,28
三,1
三明治,75
三番五次,13
三维,76
三角,77
上,78
上下,79
上个月,80
上任,81
上升,82
上午,23
上去,83
上台,84
上司,85
上周,80
上场,86
上头,41
上学,87
上岗,88
上市,89
上帝,90
上当,91
上报,92
上方,93
上旬,80
上映,94
上期,95
上来,83
上楼,83
上次,96
上流,97
上涨,82
上游,98
上演,99
上火,100
上班,101
上班族,102
上瘾,103
上空,104
上级,85
上网,105
上衣,106
上诉,107
上课,108
上调,109
上车,110
上边,41
上述,111
上门,112
上限,113
上面,41
下,114
下一代,9
下个月,115
下乡,116
下令,117
下决心,118
下功夫,119
下午,23
下去,83
下台,120
下场,121
下坠,122
下属,85
下山,123
下岗,124
下意识,125
下手,126
下旬,80
下期,95
下来,83
下棋,127
下楼,127
下次,115
下海,123
下游,98
下班,23
下级,85
下落,128
下课,108
下调,109
下跌,82
下车,110
下载,129
下边,41
下降,82
下雨,130
下雪,130
下面,41
不,131
不一会儿,3
不一定,131
不为人知,132
不久,133
不了了之,134
不予,135
不亚于,136
不亦乐乎,137
不仅,138
不仅仅,139
不以为然,140
不但,138
不便,141
不值,142
不假思索,143
不停,24
不像话,22
不光,139
不免,144
不再,145
不准,146
不利,147
不利于,148
不可思议,149
不可避免,150
不同,45
不同寻常,151
不在乎,152
不堪,153
不够,154
不大,155
不好意思,156
不如,136
不如说,157
不妨,158
不安,159
不定,160
