token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,3
一动不动,15
一半,16
一卡通,17
一口气,18
一句话,19
一同,20
一向,21
一味,22
一块儿,20
一塌糊涂,23
一声不吭,15
一大早,24
一天到晚,25
一头,26
一如既往,21
一定,27
一家人,28
一帆风顺,29
一带,30
一干二净,31
一年到头,25
一应俱全,32
一度,5
一律,2
一心,33
一心一意,33
一成不变,34
一手,35
一技之长,36
一把手,37
一揽子,38
一方面,39
一旁,15
一无所有,7
一无所知,7
一旦,40
一早,24
一时,3
一晃,41
一样,42
一概,2
一概而论,43
一模一样,44
一次性,45
一毛不拔,46
一流,47
一点儿,48
一生,49
一番,50
一目了然,51
一直,52
一眼,53
一瞬间,3
一筹莫展,54
一系列,14
一线,55
一经,56
一致,57
一般,58
一般来说,59
一行,60
一言一行,6
一言不发,15
一贯,21
一起,20
一路,61
一路上,62
一路平安,63
一路顺风,63
一身,64
一辈子,65
一边,35
一连,66
一连串,14
一道,20
一部分,58
一锅粥,67
一长一短,68
一阵,69
一面,35
一鼓作气,70
一齐,20
丁,71
七,1
七嘴八舌,72
万,73
万一,4
万万,74
万分,75
万古长青,76
万无一失,77
万能,78
丈夫,79
三,1
三明治,80
三番五次,13
三维,81
三角,82
上,83
上下,84
上个月,85
上任,86
上升,87
上午,24
上去,88
上台,89
上司,90
上周,85
上场,91
上头,83
上学,92
上岗,93
上市,94
上帝,95
上当,96
上报,97
上方,98
上旬,85
上映,99
上期,100
上来,88
上楼,101
上次,102
上流,103
上涨,87
上游,104
上演,105
上火,106
上班,107
上班族,108
上瘾,109
上空,110
上级,90
上网,111
上衣,64
上诉,112
上课,113
上调,87
上车,101
上边,114
上述,115
上门,116
上限,117
上面,83
下,118
下一代,9
下个月,85
下乡,119
下令,120
下决心,121
下功夫,122
下午,24
下去,88
下台,123
下场,124
下坠,125
下属,90
下山,101
下岗,126
下意识,127
下手,128
下旬,85
下期,100
下来,88
下棋,129
下楼,101
下次,130
下海,119
下游,104
下班,107
下级,90
下落,131
下课,113
下调,87
下跌,87
下车,101
下载,132
下边,114
下降,87
下雨,133
下雪,133
下面,114
不,134
不一会儿,135
不一定,27
不为人知,136
不久,137
不了了之,138
不予,139
不亚于,140
不亦乐乎,141
不仅,142
不仅仅,142
不以为然,143
不但,142
不便,144
不值,145
不假思索,127
不停,146
不像话,23
不光,142
不免,147
不再,148
不准,149
不利,150
不利于,151
不可思议,152
不可避免,27
不同,44
不同寻常,153
不在乎,154
不堪,155
不够,156
不大,156
不好意思,157
不如,158
不如说,159
不妨,160
不安,161
不定,162
