token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,3
一动不动,15
一半,16
一卡通,17
一口气,18
一句话,19
一同,20
一向,21
一味,22
一块儿,20
一塌糊涂,23
一声不吭,15
一大早,24
一天到晚,25
一头,26
一如既往,21
一定,27
一家人,28
一帆风顺,29
一带,30
一干二净,31
一年到头,25
一应俱全,32
一度,5
一律,2
一心,33
一心一意,33
一成不变,34
一手,35
一技之长,36
一把手,37
一揽子,38
一方面,39
一旁,15
一无所有,7
一无所知,7
一旦,40
一早,24
一时,3
一晃,41
一样,42
一概,2
一概而论,43
一模一样,44
一次性,45
一毛不拔,46
一流,47
一点儿,8
一生,48
一番,49
一目了然,50
一直,51
一眼,52
一瞬间,3
一筹莫展,53
一系列,14
一线,54
一经,55
一致,56
一般,57
一般来说,58
一行,59
一言一行,6
一言不发,15
一贯,21
一起,20
一路,60
一路上,61
一路平安,62
一路顺风,62
一身,63
一辈子,64
一边,35
一连,65
一连串,14
一道,20
一部分,57
一锅粥,66
一长一短,67
一阵,68
一面,35
一鼓作气,69
一齐,20
丁,70
七,1
七嘴八舌,71
万,72
万一,4
万万,73
万分,74
万古长青,75
万无一失,76
万能,77
丈夫,78
三,1
三明治,79
三番五次,13
三维,80
三角,81
上,82
上下,83
上个月,84
上任,85
上升,86
上午,24
上去,87
上台,88
上司,89
上周,84
上场,90
上头,82
上学,91
上岗,92
上市,93
上帝,94
上当,95
上报,96
上方,97
上旬,84
上映,98
上期,99
上来,87
上楼,100
上次,101
上流,102
上涨,86
上游,103
上演,104
上火,105
上班,106
上班族,107
上瘾,108
上空,109
上级,89
上网,110
上衣,63
上诉,111
上课,112
上调,86
上车,100
上边,113
上述,114
上门,115
上限,116
上面,82
下,117
下一代,9
下个月,84
下乡,118
下令,119
下决心,120
下功夫,121
下午,24
下去,87
下台,122
下场,123
下坠,124
下属,89
下山,100
下岗,125
下意识,126
下手,127
下旬,84
下期,99
下来,87
下棋,128
下楼,100
下次,129
下海,118
下游,103
下班,130
下级,89
下落,124
下课,130
下调,86
下跌,86
下车,100
下载,131
下边,113
下降,86
下雨,132
下雪,132
下面,113
不,133
不一会儿,134
不一定,27
不为人知,135
不久,136
不了了之,137
不予,138
不亚于,139
不亦乐乎,140
不仅,141
不仅仅,141
不以为然,142
不但,141
不便,143
不值,144
不假思索,126
不停,145
不像话,23
不光,141
不免,146
不再,147
不准,148
不利,149
不利于,150
不可思议,151
不可避免,27
不同,44
不同寻常,152
不在乎,153
不堪,154
不够,155
不大,155
不好意思,156
不如,157
不如说,158
不妨,159
不安,160
不定,161
