token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,3
一动不动,15
一半,16
一卡通,17
一口气,18
一句话,19
一同,20
一向,21
一味,22
一块儿,20
一塌糊涂,23
一声不吭,15
一大早,24
一天到晚,25
一头,26
一如既往,21
一定,27
一家人,28
一帆风顺,29
一带,30
一干二净,31
一年到头,25
一应俱全,32
一度,5
一律,2
一心,33
一心一意,33
一成不变,34
一手,35
一技之长,36
一把手,37
一揽子,38
一方面,39
一旁,40
一无所有,7
一无所知,7
一旦,41
一早,24
一时,3
一晃,42
一样,43
一概,2
一概而论,44
一模一样,45
一次性,46
一毛不拔,47
一流,48
一点儿,49
一生,50
一番,51
一目了然,31
一直,21
一眼,52
一瞬间,3
一筹莫展,53
一系列,14
一线,54
一经,55
一致,45
一般,56
一般来说,57
一行,58
一言一行,6
一言不发,15
一贯,21
一起,20
一路,30
一路上,59
一路平安,29
一路顺风,29
一身,60
一辈子,61
一边,40
一连,62
一连串,14
一道,20
一部分,63
一锅粥,64
一长一短,65
一阵,66
一面,40
一鼓作气,67
一齐,20
丁,68
七,69
七嘴八舌,70
万,71
万一,72
万万,73
万分,74
万古长青,75
万无一失,76
万能,77
丈夫,78
三,69
三明治,79
三番五次,13
三维,80
三角,81
上,82
上下,83
上个月,84
上任,85
上升,86
上午,24
上去,87
上台,88
上司,89
上周,90
上场,91
上头,82
上学,92
上岗,93
上市,94
上帝,95
上当,96
上报,97
上方,98
上旬,84
上映,99
上期,100
上来,87
上楼,101
上次,90
上流,102
上涨,86
上游,103
上演,104
上火,64
上班,105
上班族,105
上瘾,106
上空,107
上级,89
上网,108
上衣,109
上诉,110
上课,111
上调,112
上车,113
上边,82
上述,114
上门,115
上限,116
上面,82
下,117
下一代,9
下个月,118
下乡,119
下令,120
下决心,121
下功夫,122
下午,24
下去,87
下台,123
下场,124
下坠,125
下属,89
下山,126
下岗,127
下意识,128
下手,129
下旬,84
下期,100
下来,87
下棋,130
下楼,101
下次,131
下海,126
下游,103
下班,105
下级,89
下落,125
下课,132
下调,112
下跌,86
下车,113
下载,133
下边,82
下降,86
下雨,134
下雪,134
下面,82
不,135
不一会儿,10
不一定,27
不为人知,136
不久,137
不了了之,138
不予,139
不亚于,140
不亦乐乎,141
不仅,142
不仅仅,142
不以为然,143
不但,142
不便,144
不值,145
不假思索,146
不停,147
不像话,23
不光,142
不免,148
不再,149
不准,150
不利,151
不利于,152
不可思议,153
不可避免,148
不同,154
不同寻常,154
不在乎,155
不堪,156
不够,157
不大,158
不好意思,159
不如,140
不如说,160
不妨,161
不安,162
不定,163
