token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,3
一动不动,15
一半,16
一卡通,17
一口气,18
一句话,19
一同,2
一向,20
一味,21
一块儿,2
一塌糊涂,22
一声不吭,15
一大早,23
一天到晚,24
一头,25
一如既往,20
一定,26
一家人,27
一帆风顺,28
一带,29
一干二净,30
一年到头,24
一应俱全,31
一度,32
一律,33
一心,34
一心一意,34
一成不变,35
一手,36
一技之长,37
一把手,38
一揽子,39
一方面,40
一旁,41
一无所有,7
一无所知,7
一旦,42
一早,23
一时,3
一晃,43
一样,44
一概,33
一概而论,45
一模一样,46
一次性,47
一毛不拔,48
一流,49
一点儿,50
一生,51
一番,52
一目了然,30
一直,53
一眼,54
一瞬间,3
一筹莫展,55
一系列,14
一线,56
一经,33
一致,46
一般,57
一般来说,58
一行,59
一言一行,6
一言不发,15
一贯,20
一起,2
一路,29
一路上,60
一路平安,28
一路顺风,28
一身,61
一辈子,62
一边,41
一连,63
一连串,14
一道,2
一部分,64
一锅粥,30
一长一短,65
一阵,66
一面,41
一鼓作气,67
一齐,2
丁,68
七,69
七嘴八舌,70
万,71
万一,72
万万,73
万分,74
万古长青,75
万无一失,76
万能,77
丈夫,78
三,69
三明治,79
三番五次,13
三维,80
三角,81
上,82
上下,83
上个月,84
上任,85
上升,86
上午,23
上去,87
上台,88
上司,89
上周,90
上场,91
上头,82
上学,92
上岗,93
上市,94
上帝,95
上当,96
上报,97
上方,98
上旬,84
上映,99
上期,90
上来,87
上楼,100
上次,101
上流,102
上涨,103
上游,104
上演,105
上火,106
上班,107
上班族,107
上瘾,108
上空,109
上级,89
上网,110
上衣,111
上诉,112
上课,113
上调,114
上车,115
上边,82
上述,116
上门,117
上限,118
上面,82
下,119
下一代,9
下个月,120
下乡,121
下令,122
下决心,123
下功夫,124
下午,23
下去,87
下台,88
下场,125
下坠,126
下属,89
下山,100
下岗,127
下意识,128
下手,129
下旬,84
下期,120
下来,87
下棋,130
下楼,100
下次,120
下海,100
下游,104
下班,107
下级,89
下落,126
下课,131
下调,114
下跌,103
下车,115
下载,132
下边,82
下降,133
下雨,134
下雪,134
下面,82
不,135
不一会儿,10
不一定,26
不为人知,136
不久,137
不了了之,138
不予,139
不亚于,140
不亦乐乎,141
不仅,142
不仅仅,142
不以为然,143
不但,142
不便,144
不值,145
不假思索,146
不停,147
不像话,22
不光,142
不免,148
不再,149
不准,150
不利,151
不利于,151
不可思议,152
不可避免,153
不同,154
不同寻常,154
不在乎,155
不堪,156
不够,135
不大,135
不好意思,157
不如,140
不如说,142
不妨,158
不安,159
不定,160
