token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,15
一动不动,16
一半,17
一卡通,18
一口气,19
一句话,20
一同,21
一向,22
一味,23
一块儿,21
一塌糊涂,24
一声不吭,16
一大早,25
一天到晚,26
一头,27
一如既往,28
一定,29
一家人,30
一帆风顺,31
一带,32
一干二净,24
一年到头,33
一应俱全,34
一度,35
一律,36
一心,37
一心一意,37
一成不变,38
一手,39
一技之长,40
一把手,41
一揽子,42
一方面,43
一旁,44
一无所有,45
一无所知,45
一旦,46
一早,25
一时,47
一晃,48
一样,49
一概,36
一概而论,50
一模一样,49
一次性,51
一毛不拔,52
一流,53
一点儿,8
一生,54
一番,55
一目了然,56
一直,57
一眼,58
一瞬间,15
一筹莫展,59
一系列,60
一线,61
一经,62
一致,63
一般,64
一般来说,64
一行,65
一言一行,6
一言不发,16
一贯,22
一起,21
一路,32
一路上,66
一路平安,67
一路顺风,67
一身,68
一辈子,54
一边,44
一连,69
一连串,60
一道,70
一部分,71
一锅粥,72
一长一短,73
一阵,74
一面,43
一鼓作气,5
一齐,21
丁,75
七,76
七嘴八舌,77
万,78
万一,79
万万,80
万分,81
万古长青,82
万无一失,83
万能,84
丈夫,85
三,76
三明治,86
三番五次,13
三维,87
三角,88
上,89
上下,90
上个月,91
上任,92
上升,93
上午,25
上去,94
上台,95
上司,96
上周,91
上场,97
上头,98
上学,99
上岗,100
上市,101
上帝,102
上当,103
上报,104
上方,105
上旬,106
上映,107
上期,108
上来,94
上楼,109
上次,91
上流,110
上涨,111
上游,112
上演,113
上火,114
上班,115
上班族,116
上瘾,117
上空,118
上级,96
上网,119
上衣,120
上诉,121
上课,122
上调,123
上车,109
上边,124
上述,125
上门,126
上限,127
上面,124
下,128
下一代,129
下个月,130
下乡,131
下令,132
下决心,133
下功夫,134
下午,25
下去,135
下台,95
下场,136
下坠,137
下属,138
下山,139
下岗,140
下意识,141
下手,142
下旬,106
下期,143
下来,144
下棋,145
下楼,115
下次,130
下海,146
下游,112
下班,115
下级,96
下落,147
下课,148
下调,123
下跌,111
下车,109
下载,149
下边,124
下降,93
下雨,150
下雪,150
下面,124
不,151
不一会儿,10
不一定,152
不为人知,153
不久,154
不了了之,155
不予,156
不亚于,157
不亦乐乎,158
不仅,159
不仅仅,159
不以为然,160
不但,161
不便,162
不值,163
不假思索,164
不停,165
不像话,166
不光,159
不免,167
不再,168
不准,169
不利,170
不利于,171
不可思议,172
不可避免,173
不同,174
不同寻常,175
不在乎,176
不堪,177
不够,178
不大,179
不好意思,180
不如,181
不如说,182
不妨,181
不安,183
不定,184
