token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,15
一动不动,16
一半,17
一卡通,18
一口气,19
一句话,20
一同,21
一向,22
一味,23
一块儿,21
一塌糊涂,24
一声不吭,16
一大早,25
一天到晚,26
一头,27
一如既往,28
一定,29
一家人,30
一帆风顺,31
一带,32
一干二净,24
一年到头,33
一应俱全,34
一度,35
一律,36
一心,37
一心一意,38
一成不变,39
一手,40
一技之长,41
一把手,42
一揽子,43
一方面,44
一旁,45
一无所有,7
一无所知,46
一旦,47
一早,25
一时,48
一晃,49
一样,50
一概,36
一概而论,51
一模一样,50
一次性,52
一毛不拔,53
一流,54
一点儿,55
一生,56
一番,57
一目了然,58
一直,59
一眼,60
一瞬间,15
一筹莫展,61
一系列,62
一线,63
一经,64
一致,65
一般,66
一般来说,67
一行,68
一言一行,6
一言不发,16
一贯,22
一起,21
一路,32
一路上,69
一路平安,70
一路顺风,70
一身,71
一辈子,56
一边,72
一连,73
一连串,62
一道,74
一部分,75
一锅粥,76
一长一短,77
一阵,78
一面,72
一鼓作气,19
一齐,21
丁,79
七,80
七嘴八舌,81
万,82
万一,47
万万,83
万分,84
万古长青,85
万无一失,86
万能,87
丈夫,88
三,80
三明治,89
三番五次,13
三维,90
三角,91
上,92
上下,93
上个月,94
上任,95
上升,96
上午,25
上去,97
上台,98
上司,99
上周,100
上场,101
上头,102
上学,103
上岗,104
上市,105
上帝,106
上当,107
上报,108
上方,109
上旬,110
上映,111
上期,112
上来,97
上楼,113
上次,100
上流,114
上涨,96
上游,115
上演,116
上火,117
上班,118
上班族,119
上瘾,120
上空,121
上级,99
上网,122
上衣,123
上诉,124
上课,125
上调,126
上车,127
上边,128
上述,129
上门,130
上限,131
上面,128
下,132
下一代,133
下个月,134
下乡,135
下令,136
下决心,137
下功夫,138
下午,25
下去,139
下台,98
下场,140
下坠,141
下属,142
下山,143
下岗,144
下意识,145
下手,146
下旬,110
下期,147
下来,139
下棋,148
下楼,113
下次,134
下海,149
下游,115
下班,118
下级,99
下落,150
下课,151
下调,126
下跌,96
下车,127
下载,152
下边,128
下降,96
下雨,153
下雪,153
下面,128
不,154
不一会儿,10
不一定,155
不为人知,156
不久,157
不了了之,158
不予,159
不亚于,160
不亦乐乎,161
不仅,162
不仅仅,162
不以为然,163
不但,164
不便,165
不值,166
不假思索,167
不停,168
不像话,169
不光,162
不免,170
不再,171
不准,172
不利,173
不利于,174
不可思议,175
不可避免,176
不同,177
不同寻常,178
不在乎,179
不堪,180
不够,181
不大,182
不好意思,183
不如,184
不如说,185
不妨,186
不安,187
不定,188
