token,community
〇,0
一,0
一一,0
一下子,1
一不小心,1
一举,2
一举一动,3
一事无成,4
一些,0
一代,5
一会儿,6
一体,7
一共,8
一再,2
一切,0
一刹那,1
一动不动,3
一半,0
一卡通,9
一口气,3
一句话,3
一同,10
一向,11
一味,12
一块儿,6
一塌糊涂,6
一声不吭,3
一大早,13
一天到晚,2
一头,14
一如既往,12
一定,11
一家人,5
一帆风顺,15
一带,16
一干二净,17
一年到头,2
一应俱全,0
一度,2
一律,18
一心,12
一心一意,12
一成不变,19
一手,14
一技之长,20
一把手,21
一揽子,22
一方面,11
一旁,23
一无所有,4
一无所知,4
一旦,11
一早,13
一时,13
一晃,1
一样,7
一概,0
一概而论,7
一模一样,7
一次性,9
一毛不拔,4
一流,24
一点儿,6
一生,25
一番,26
一目了然,27
一直,11
一眼,3
一瞬间,1
一筹莫展,28
一系列,0
一线,29
一经,1
一致,7
一般,11
一般来说,11
一行,17
一言一行,3
一言不发,3
一贯,11
一起,10
一路,30
一路上,30
一路平安,31
一路顺风,31
一身,32
一辈子,25
一边,23
一连,1
一连串,0
一道,10
一部分,0
一锅粥,33
一长一短,32
一阵,34
一面,23
一鼓作气,12
一齐,1
丁,33
七,0
七嘴八舌,3
万,35
万一,11
万万,11
万分,28
万古长青,31
万无一失,36
万能,37
丈夫,5
三,0
三明治,33
三番五次,2
三维,38
三角,38
上,23
上下,23
上个月,13
上任,21
上升,39
上午,13
上去,17
上台,21
上司,5
上周,13
上场,40
上头,23
上学,41
上岗,21
上市,42
上帝,43
上当,44
上报,45
上方,23
上旬,13
上映,46
上期,13
上来,17
上楼,17
上次,13
上流,47
上涨,39
上游,42
上演,48
上火,33
上班,13
上班族,49
上瘾,50
上空,51
上级,52
上网,53
上衣,32
上诉,54
上课,41
上调,39
上车,30
上边,23
上述,0
上门,55
上限,56
上面,23
下,23
下一代,5
下个月,13
下乡,17
下令,1
下决心,12
下功夫,12
下午,13
下去,17
下台,21
下场,57
下坠,58
下属,52
下山,17
下岗,21
下意识,1
下手,59
下旬,13
下期,13
下来,17
下棋,60
下楼,13
下次,6
下海,17
下游,42
下班,13
下级,52
下落,61
下课,13
下调,39
下跌,39
下车,30
下载,53
下边,23
下降,39
下雨,62
下雪,62
下面,23
不,18
不一会儿,1
不一定,11
不为人知,63
不久,13
不了了之,6
不予,18
不亚于,8
不亦乐乎,64
不仅,11
不仅仅,11
不以为然,28
不但,11
不便,18
不值,65
不假思索,1
不停,2
不像话,6
不光,11
不免,18
不再,18
不准,18
不利,66
不利于,66
不可思议,28
不可避免,18
不同,7
不同寻常,63
不在乎,67
不堪,28
不够,68
不大,68
不好意思,28
不如,11
不如说,11
不妨,18
不安,28
不定,2
不宜,18
不容,18
不对,6
不少,0
不屑,28
不已,28
不平,28
不幸,28
不得不,1
不得了,6
不得已,1
