token,community
〇,0
一,0
一一,0
一下子,1
一不小心,1
一举,2
一举一动,3
一事无成,4
一些,0
一代,5
一会儿,6
一体,7
一共,8
一再,2
一切,0
一刹那,1
一动不动,3
一半,0
一卡通,9
一口气,3
一句话,3
一同,10
一向,11
一味,12
一块儿,6
一塌糊涂,6
一声不吭,3
一大早,13
一天到晚,2
一头,14
一如既往,12
一定,11
一家人,5
一帆风顺,15
一带,16
一干二净,17
一年到头,2
一应俱全,0
一度,2
一律,0
一心,12
一心一意,12
一成不变,18
一手,14
一技之长,19
一把手,20
一揽子,21
一方面,11
一旁,22
一无所有,4
一无所知,4
一旦,11
一早,13
一时,23
一晃,1
一样,7
一概,0
一概而论,7
一模一样,7
一次性,9
一毛不拔,4
一流,24
一点儿,6
一生,25
一番,17
一目了然,26
一直,11
一眼,3
一瞬间,1
一筹莫展,27
一系列,0
一线,28
一经,1
一致,7
一般,0
一般来说,11
一行,10
一言一行,3
一言不发,3
一贯,11
一起,10
一路,29
一路上,29
一路平安,30
一路顺风,30
一身,31
一辈子,25
一边,22
一连,1
一连串,0
一道,32
一部分,0
一锅粥,33
一长一短,31
一阵,34
一面,22
一鼓作气,12
一齐,1
丁,33
七,0
七嘴八舌,3
万,35
万一,11
万万,11
万分,27
万古长青,30
万无一失,26
万能,36
丈夫,5
三,0
三明治,33
三番五次,2
三维,37
三角,38
上,22
上下,22
上个月,23
上任,20
上升,39
上午,13
上去,17
上台,20
上司,5
上周,23
上场,40
上头,22
上学,41
上岗,20
上市,42
上帝,43
上当,44
上报,45
上方,22
上旬,23
上映,46
上期,23
上来,17
上楼,17
上次,23
上流,47
上涨,39
上游,42
上演,48
上火,33
上班,13
上班族,13
上瘾,49
上空,50
上级,51
上网,52
上衣,31
上诉,53
上课,41
上调,39
上车,29
上边,22
上述,0
上门,17
上限,54
上面,22
下,22
下一代,5
下个月,23
下乡,17
下令,1
下决心,12
下功夫,12
下午,13
下去,17
下台,20
下场,55
下坠,37
下属,20
下山,17
下岗,20
下意识,1
下手,28
下旬,23
下期,23
下来,17
下棋,56
下楼,13
下次,6
下海,17
下游,42
下班,13
下级,51
下落,37
下课,13
下调,39
下跌,39
下车,29
下载,52
下边,22
下降,39
下雨,13
下雪,13
下面,22
不,57
不一会儿,1
不一定,11
不为人知,58
不久,23
不了了之,6
不予,57
不亚于,8
不亦乐乎,59
不仅,11
不仅仅,11
不以为然,27
不但,11
不便,57
不值,60
不假思索,1
不停,2
不像话,6
不光,11
不免,57
不再,57
不准,57
不利,61
不利于,61
不可思议,58
不可避免,57
不同,7
不同寻常,58
不在乎,56
不堪,27
不够,62
不大,62
不好意思,27
不如,11
不如说,11
不妨,57
不安,27
不定,2
不宜,57
不容,57
不对,6
不少,0
不屑,27
不已,27
不平,27
不幸,27
不得不,1
不得了,6
不得已,1
