token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,8
一刹那,3
一动不动,14
一半,8
一卡通,15
一口气,6
一句话,16
一同,2
一向,17
一味,18
一块儿,2
一塌糊涂,19
一声不吭,14
一大早,20
一天到晚,21
一头,22
一如既往,17
一定,23
一家人,24
一帆风顺,25
一带,26
一干二净,19
一年到头,21
一应俱全,27
一度,13
一律,8
一心,28
一心一意,28
一成不变,29
一手,30
一技之长,31
一把手,32
一揽子,33
一方面,23
一旁,34
一无所有,7
一无所知,7
一旦,23
一早,20
一时,17
一晃,35
一样,36
一概,8
一概而论,37
一模一样,36
一次性,38
一毛不拔,39
一流,40
一点儿,41
一生,42
一番,43
一目了然,44
一直,23
一眼,45
一瞬间,3
一筹莫展,46
一系列,8
一线,47
一经,48
一致,49
一般,21
一般来说,23
一行,50
一言一行,6
一言不发,14
一贯,17
一起,2
一路,26
一路上,26
一路平安,51
一路顺风,25
一身,52
一辈子,42
一边,34
一连,13
一连串,8
一道,53
一部分,8
一锅粥,54
一长一短,55
一阵,43
一面,34
一鼓作气,5
一齐,2
丁,56
七,1
七嘴八舌,14
万,1
万一,23
万万,57
万分,58
万古长青,59
万无一失,60
万能,61
丈夫,24
三,1
三明治,62
三番五次,13
三维,63
三角,64
上,34
上下,65
上个月,66
上任,67
上升,68
上午,20
上去,69
上台,67
上司,70
上周,66
上场,71
上头,34
上学,72
上岗,67
上市,73
上帝,74
上当,75
上报,76
上方,34
上旬,66
上映,77
上期,66
上来,69
上楼,20
上次,66
上流,78
上涨,68
上游,79
上演,80
上火,81
上班,20
上班族,82
上瘾,31
上空,83
上级,70
上网,84
上衣,85
上诉,86
上课,72
上调,68
上车,87
上边,34
上述,88
上门,89
上限,90
上面,34
下,34
下一代,9
下个月,66
下乡,91
下令,92
下决心,5
下功夫,5
下午,20
下去,69
下台,67
下场,71
下坠,35
下属,93
下山,20
下岗,67
下意识,3
下手,94
下旬,66
下期,66
下来,69
下棋,95
下楼,20
下次,66
下海,96
下游,79
下班,20
下级,70
下落,35
下课,20
下调,68
下跌,68
下车,87
下载,97
下边,34
下降,68
下雨,98
下雪,98
下面,34
不,58
不一会儿,99
不一定,23
不为人知,100
不久,99
不了了之,101
不予,102
不亚于,103
不亦乐乎,104
不仅,23
不仅仅,23
不以为然,14
不但,23
不便,105
不值,106
不假思索,3
不停,21
不像话,107
不光,23
不免,3
不再,106
不准,106
不利,46
不利于,46
不可思议,108
不可避免,3
不同,36
不同寻常,36
不在乎,109
不堪,41
不够,58
不大,58
不好意思,107
不如,103
不如说,23
不妨,46
不安,14
不定,110
