token,community
〇,0
一,1
一一,1
一下子,2
一不小心,2
一举,3
一举一动,4
一事无成,5
一些,1
一代,6
一会儿,2
一体,7
一共,1
一再,8
一切,1
一刹那,2
一动不动,9
一半,1
一卡通,10
一口气,3
一句话,11
一同,1
一向,2
一味,2
一块儿,1
一塌糊涂,2
一声不吭,9
一大早,12
一天到晚,2
一头,13
一如既往,2
一定,2
一家人,6
一帆风顺,14
一带,14
一干二净,2
一年到头,2
一应俱全,15
一度,8
一律,1
一心,16
一心一意,16
一成不变,17
一手,18
一技之长,4
一把手,19
一揽子,20
一方面,2
一旁,21
一无所有,5
一无所知,5
一旦,2
一早,12
一时,22
一晃,23
一样,2
一概,1
一概而论,24
一模一样,25
一次性,26
一毛不拔,27
一流,28
一点儿,2
一生,29
一番,30
一目了然,31
一直,2
一眼,32
一瞬间,2
一筹莫展,9
一系列,1
一线,33
一经,34
一致,35
一般,2
一般来说,2
一行,36
一言一行,4
一言不发,9
一贯,2
一起,1
一路,14
一路上,37
一路平安,9
一路顺风,14
一身,18
一辈子,29
一边,21
一连,8
一连串,1
一道,38
一部分,1
一锅粥,12
一长一短,39
一阵,30
一面,21
一鼓作气,3
一齐,1
丁,40
七,1
七嘴八舌,9
万,1
万一,2
万万,41
万分,2
万古长青,9
万无一失,42
万能,43
丈夫,6
三,1
三明治,12
三番五次,8
三维,39
三角,44
上,21
上下,45
上个月,46
上任,19
上升,15
上午,12
上去,47
上台,19
上司,6
上周,46
上场,48
上头,21
上学,11
上岗,19
上市,49
上帝,6
上当,14
上报,50
上方,21
上旬,46
上映,30
上期,46
上来,47
上楼,18
上次,46
上流,51
上涨,15
上游,52
上演,53
上火,12
上班,12
上班族,12
上瘾,9
上空,54
上级,6
上网,52
上衣,18
上诉,55
上课,11
上调,15
上车,37
上边,21
上述,56
上门,57
上限,58
上面,21
下,21
下一代,6
下个月,46
下乡,59
下令,60
下决心,60
下功夫,16
下午,12
下去,47
下台,19
下场,48
下坠,23
下属,61
下山,37
下岗,19
下意识,2
下手,48
下旬,46
下期,46
下来,47
下棋,12
下楼,12
下次,46
下海,62
下游,52
下班,12
下级,6
下落,23
下课,12
下调,15
下跌,15
下车,37
下载,63
下边,21
下降,15
下雨,12
下雪,12
下面,21
不,2
不一会儿,2
不一定,2
不为人知,55
不久,2
不了了之,64
不予,65
不亚于,25
不亦乐乎,9
不仅,2
不仅仅,2
不以为然,9
不但,2
不便,14
不值,9
不假思索,2
不停,2
不像话,2
不光,2
不免,2
不再,2
不准,2
不利,2
不利于,2
不可思议,9
不可避免,2
不同,25
不同寻常,25
不在乎,9
不堪,9
不够,2
不大,2
不好意思,9
不如,25
不如说,2
不妨,2
不安,9
不定,66
