token,community
〇,0
一,1
一一,2
一下子,3
一不小心,3
一举,4
一举一动,5
一事无成,6
一些,1
一代,7
一会儿,3
一体,8
一共,9
一再,2
一切,1
一刹那,3
一动不动,10
一半,1
一卡通,11
一口气,4
一句话,12
一同,2
一向,3
一味,3
一块儿,2
一塌糊涂,3
一声不吭,10
一大早,13
一天到晚,3
一头,14
一如既往,3
一定,3
一家人,7
一帆风顺,15
一带,15
一干二净,13
一年到头,3
一应俱全,1
一度,2
一律,3
一心,16
一心一意,16
一成不变,17
一手,18
一技之长,19
一把手,20
一揽子,21
一方面,3
一旁,22
一无所有,6
一无所知,6
一旦,3
一早,13
一时,23
一晃,24
一样,3
一概,3
一概而论,25
一模一样,19
一次性,26
一毛不拔,27
一流,28
一点儿,3
一生,29
一番,30
一目了然,31
一直,3
一眼,10
一瞬间,3
一筹莫展,10
一系列,1
一线,32
一经,33
一致,34
一般,3
一般来说,3
一行,35
一言一行,5
一言不发,10
一贯,3
一起,2
一路,15
一路上,20
一路平安,10
一路顺风,15
一身,18
一辈子,29
一边,22
一连,2
一连串,1
一道,36
一部分,1
一锅粥,18
一长一短,37
一阵,30
一面,22
一鼓作气,4
一齐,2
丁,38
七,1
七嘴八舌,10
万,1
万一,3
万万,39
万分,3
万古长青,10
万无一失,40
万能,41
丈夫,7
三,1
三明治,13
三番五次,2
三维,37
三角,42
上,22
上下,43
上个月,44
上任,45
上升,46
上午,13
上去,9
上台,45
上司,7
上周,44
上场,47
上头,22
上学,12
上岗,45
上市,48
上帝,7
上当,49
上报,50
上方,22
上旬,44
上映,30
上期,44
上来,9
上楼,51
上次,44
上流,52
上涨,46
上游,53
上演,54
上火,13
上班,13
上班族,13
上瘾,10
上空,55
上级,7
上网,11
上衣,51
上诉,49
上课,12
上调,46
上车,20
上边,22
上述,56
上门,51
上限,57
上面,22
下,22
下一代,7
下个月,44
下乡,58
下令,59
下决心,59
下功夫,60
下午,13
下去,9
下台,45
下场,47
下坠,24
下属,61
下山,20
下岗,45
下意识,3
下手,16
下旬,44
下期,44
下来,9
下棋,17
下楼,13
下次,44
下海,62
下游,53
下班,13
下级,7
下落,24
下课,13
下调,46
下跌,46
下车,20
下载,11
下边,22
下降,46
下雨,13
下雪,13
下面,22
不,3
不一会儿,3
不一定,3
不为人知,49
不久,3
不了了之,63
不予,46
不亚于,19
不亦乐乎,10
不仅,3
不仅仅,3
不以为然,10
不但,3
不便,15
不值,10
不假思索,3
不停,3
不像话,3
不光,3
不免,3
不再,3
不准,3
不利,3
不利于,3
不可思议,10
不可避免,3
不同,19
不同寻常,19
不在乎,10
不堪,10
不够,3
不大,3
不好意思,10
不如,19
不如说,3
不妨,3
不安,10
不定,64
