token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,2
一代,8
一会儿,9
一体,10
一共,11
一再,12
一切,2
一刹那,3
一动不动,13
一半,2
一卡通,14
一口气,5
一句话,15
一同,16
一向,17
一味,18
一块儿,9
一塌糊涂,9
一声不吭,13
一大早,19
一天到晚,20
一头,21
一如既往,17
一定,22
一家人,23
一帆风顺,24
一带,25
一干二净,26
一年到头,20
一应俱全,27
一度,12
一律,2
一心,28
一心一意,28
一成不变,29
一手,30
一技之长,31
一把手,32
一揽子,33
一方面,4
一旁,34
一无所有,7
一无所知,7
一旦,4
一早,19
一时,35
一晃,3
一样,36
一概,2
一概而论,37
一模一样,36
一次性,38
一毛不拔,39
一流,40
一点儿,9
一生,41
一番,42
一目了然,43
一直,4
一眼,13
一瞬间,3
一筹莫展,13
一系列,2
一线,30
一经,44
一致,45
一般,2
一般来说,4
一行,46
一言一行,6
一言不发,13
一贯,17
一起,16
一路,24
一路上,47
一路平安,24
一路顺风,24
一身,10
一辈子,41
一边,34
一连,12
一连串,2
一道,48
一部分,2
一锅粥,29
一长一短,37
一阵,49
一面,50
一鼓作气,5
一齐,3
丁,51
七,1
七嘴八舌,13
万,1
万一,4
万万,1
万分,52
万古长青,53
万无一失,54
万能,55
丈夫,23
三,1
三明治,56
三番五次,12
三维,57
三角,58
上,34
上下,59
上个月,60
上任,61
上升,62
上午,19
上去,63
上台,61
上司,23
上周,60
上场,64
上头,34
上学,65
上岗,61
上市,66
上帝,67
上当,68
上报,69
上方,34
上旬,60
上映,70
上期,71
上来,63
上楼,19
上次,60
上流,72
上涨,62
上游,73
上演,74
上火,56
上班,19
上班族,75
上瘾,76
上空,77
上级,78
上网,79
上衣,80
上诉,81
上课,65
上调,62
上车,82
上边,34
上述,83
上门,84
上限,85
上面,34
下,34
下一代,8
下个月,60
下乡,86
下令,3
下决心,87
下功夫,88
下午,19
下去,63
下台,61
下场,64
下坠,89
下属,78
下山,19
下岗,90
下意识,3
下手,88
下旬,60
下期,71
下来,63
下棋,19
下楼,19
下次,60
下海,91
下游,73
下班,19
下级,78
下落,92
下课,19
下调,62
下跌,62
下车,82
下载,93
下边,34
下降,62
下雨,94
下雪,94
下面,34
不,95
不一会儿,3
不一定,4
不为人知,96
不久,97
不了了之,98
不予,99
不亚于,100
不亦乐乎,101
不仅,4
不仅仅,4
不以为然,13
不但,4
不便,102
不值,103
不假思索,3
不停,20
不像话,9
不光,4
不免,4
不再,95
不准,95
不利,104
不利于,105
不可思议,106
不可避免,107
不同,36
不同寻常,36
不在乎,108
不堪,29
不够,52
不大,52
不好意思,13
不如,100
不如说,4
不妨,109
不安,13
不定,110
