token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,8
一刹那,3
一动不动,14
一半,8
一卡通,15
一口气,5
一句话,16
一同,17
一向,18
一味,19
一块儿,20
一塌糊涂,21
一声不吭,14
一大早,22
一天到晚,23
一头,24
一如既往,18
一定,25
一家人,20
一帆风顺,26
一带,27
一干二净,28
一年到头,23
一应俱全,29
一度,13
一律,30
一心,19
一心一意,19
一成不变,31
一手,32
一技之长,33
一把手,34
一揽子,35
一方面,4
一旁,36
一无所有,7
一无所知,7
一旦,4
一早,22
一时,37
一晃,3
一样,38
一概,2
一概而论,2
一模一样,39
一次性,40
一毛不拔,41
一流,42
一点儿,43
一生,44
一番,10
一目了然,45
一直,18
一眼,14
一瞬间,3
一筹莫展,14
一系列,8
一线,32
一经,2
一致,46
一般,8
一般来说,4
一行,6
一言一行,6
一言不发,14
一贯,18
一起,17
一路,27
一路上,27
一路平安,47
一路顺风,47
一身,11
一辈子,44
一边,36
一连,13
一连串,8
一道,48
一部分,8
一锅粥,49
一长一短,50
一阵,51
一面,52
一鼓作气,5
一齐,3
丁,53
七,1
七嘴八舌,14
万,1
万一,4
万万,1
万分,54
万古长青,55
万无一失,56
万能,57
丈夫,20
三,1
三明治,58
三番五次,13
三维,59
三角,59
上,36
上下,60
上个月,61
上任,62
上升,63
上午,22
上去,64
上台,62
上司,20
上周,61
上场,65
上头,36
上学,66
上岗,67
上市,68
上帝,69
上当,70
上报,71
上方,36
上旬,61
上映,72
上期,73
上来,64
上楼,22
上次,61
上流,74
上涨,63
上游,75
上演,76
上火,58
上班,22
上班族,77
上瘾,78
上空,69
上级,79
上网,80
上衣,81
上诉,82
上课,66
上调,63
上车,83
上边,36
上述,84
上门,85
上限,86
上面,36
下,87
下一代,9
下个月,61
下乡,88
下令,3
下决心,89
下功夫,33
下午,22
下去,64
下台,62
下场,65
下坠,90
下属,79
下山,64
下岗,67
下意识,3
下手,91
下旬,61
下期,73
下来,64
下棋,92
下楼,22
下次,61
下海,64
下游,75
下班,22
下级,79
下落,93
下课,22
下调,63
下跌,63
下车,83
下载,94
下边,36
下降,63
下雨,95
下雪,95
下面,36
不,21
不一会儿,3
不一定,4
不为人知,96
不久,97
不了了之,98
不予,99
不亚于,100
不亦乐乎,101
不仅,4
不仅仅,4
不以为然,14
不但,4
不便,102
不值,103
不假思索,3
不停,23
不像话,21
不光,4
不免,4
不再,21
不准,30
不利,102
不利于,102
不可思议,104
不可避免,26
不同,39
不同寻常,39
不在乎,105
不堪,31
不够,54
不大,54
不好意思,14
不如,100
不如说,4
不妨,106
不安,14
不定,107
