token,community
〇,0
一,0
一一,0
一下子,0
一不小心,0
一举,0
一举一动,1
一事无成,2
一些,0
一代,3
一会儿,0
一体,4
一共,0
一再,0
一切,0
一刹那,0
一动不动,5
一半,0
一卡通,6
一口气,1
一句话,7
一同,4
一向,0
一味,0
一块儿,0
一塌糊涂,0
一声不吭,5
一大早,0
一天到晚,0
一头,1
一如既往,0
一定,0
一家人,3
一帆风顺,5
一带,8
一干二净,0
一年到头,0
一应俱全,2
一度,0
一律,0
一心,2
一心一意,2
一成不变,2
一手,1
一技之长,2
一把手,3
一揽子,4
一方面,0
一旁,8
一无所有,2
一无所知,2
一旦,0
一早,0
一时,0
一晃,0
一样,0
一概,0
一概而论,0
一模一样,4
一次性,6
一毛不拔,2
一流,2
一点儿,0
一生,3
一番,0
一目了然,2
一直,0
一眼,5
一瞬间,0
一筹莫展,5
一系列,0
一线,8
一经,0
一致,4
一般,0
一般来说,0
一行,9
一言一行,4
一言不发,5
一贯,0
一起,4
一路,9
一路上,9
一路平安,5
一路顺风,5
一身,10
一辈子,0
一边,8
一连,0
一连串,0
一道,4
一部分,0
一锅粥,10
一长一短,10
一阵,7
一面,8
一鼓作气,2
一齐,0
丁,10
七,0
七嘴八舌,5
万,0
万一,0
万万,0
万分,0
万古长青,5
万无一失,5
万能,9
丈夫,3
三,0
三明治,10
三番五次,0
三维,7
三角,10
上,8
上下,8
上个月,0
上任,3
上升,4
上午,0
上去,9
上台,3
上司,3
上周,0
上场,9
上头,8
上学,7
上岗,3
上市,6
上帝,2
上当,5
上报,6
上方,8
上旬,0
上映,7
上期,0
上来,9
上楼,9
上次,0
上流,3
上涨,4
上游,6
上演,5
上火,10
上班,0
上班族,3
上瘾,1
上空,10
上级,3
上网,7
上衣,10
上诉,5
上课,7
上调,4
上车,9
上边,8
上述,0
上门,9
上限,4
上面,8
下,8
下一代,3
下个月,0
下乡,9
下令,0
下决心,2
下功夫,2
下午,0
下去,9
下台,3
下场,9
下坠,1
下属,3
下山,9
下岗,3
下意识,0
下手,2
下旬,0
下期,0
下来,9
下棋,9
下楼,9
下次,0
下海,9
下游,6
下班,0
下级,3
下落,1
下课,0
下调,4
下跌,4
下车,9
下载,7
下边,8
下降,4
下雨,10
下雪,10
下面,8
不,0
不一会儿,0
不一定,0
不为人知,5
不久,0
不了了之,0
不予,5
不亚于,4
不亦乐乎,2
不仅,0
不仅仅,0
不以为然,5
不但,0
不便,2
不值,5
不假思索,0
不停,0
不像话,0
不光,0
不免,0
不再,0
不准,0
不利,2
不利于,0
不可思议,2
不可避免,0
不同,4
不同寻常,2
不在乎,5
不堪,5
不够,0
不大,0
不好意思,5
不如,0
不如说,0
不妨,0
不安,5
不定,5
不宜,0
不容,0
不对,0
不少,0
不屑,5
不已,5
不平,5
不幸,5
不得不,0
不得了,0
不得已,0
