token,community
〇,0
一,0
一一,0
一下子,0
一不小心,0
一举,0
一举一动,1
一事无成,1
一些,0
一代,2
一会儿,3
一体,4
一共,0
一再,0
一切,0
一刹那,3
一动不动,1
一半,0
一卡通,5
一口气,1
一句话,6
一同,4
一向,0
一味,0
一块儿,7
一塌糊涂,0
一声不吭,1
一大早,3
一天到晚,0
一头,8
一如既往,0
一定,0
一家人,2
一帆风顺,1
一带,7
一干二净,0
一年到头,0
一应俱全,9
一度,0
一律,0
一心,0
一心一意,0
一成不变,9
一手,8
一技之长,9
一把手,2
一揽子,10
一方面,0
一旁,7
一无所有,1
一无所知,1
一旦,0
一早,3
一时,3
一晃,3
一样,0
一概,0
一概而论,0
一模一样,0
一次性,5
一毛不拔,9
一流,9
一点儿,0
一生,2
一番,3
一目了然,9
一直,0
一眼,1
一瞬间,3
一筹莫展,1
一系列,0
一线,7
一经,0
一致,1
一般,0
一般来说,0
一行,4
一言一行,1
一言不发,1
一贯,0
一起,4
一路,7
一路上,7
一路平安,1
一路顺风,1
一身,8
一辈子,0
一边,7
一连,0
一连串,0
一道,4
一部分,0
一锅粥,8
一长一短,8
一阵,6
一面,7
一鼓作气,9
一齐,0
丁,8
七,0
七嘴八舌,1
万,0
万一,0
万万,0
万分,0
万古长青,1
万无一失,11
万能,12
丈夫,2
三,0
三明治,8
三番五次,0
三维,6
三角,8
上,7
上下,7
上个月,3
上任,2
上升,10
上午,3
上去,7
上台,2
上司,2
上周,3
上场,7
上头,7
上学,2
上岗,2
上市,5
上帝,2
上当,11
上报,1
上方,7
上旬,3
上映,6
上期,3
上来,7
上楼,7
上次,3
上流,2
上涨,10
上游,5
上演,1
上火,8
上班,3
上班族,2
上瘾,11
上空,7
上级,2
上网,6
上衣,8
上诉,11
上课,2
上调,10
上车,7
上边,7
上述,0
上门,7
上限,10
上面,7
下,7
下一代,2
下个月,3
下乡,7
下令,0
下决心,0
下功夫,9
下午,3
下去,7
下台,2
下场,10
下坠,8
下属,2
下山,7
下岗,2
下意识,0
下手,11
下旬,3
下期,3
下来,7
下棋,7
下楼,7
下次,0
下海,7
下游,5
下班,3
下级,2
下落,8
下课,3
下调,10
下跌,10
下车,7
下载,6
下边,7
下降,10
下雨,8
下雪,8
下面,7
不,0
不一会儿,3
不一定,0
不为人知,11
不久,3
不了了之,0
不予,4
不亚于,0
不亦乐乎,9
不仅,0
不仅仅,0
不以为然,1
不但,0
不便,9
不值,5
不假思索,0
不停,0
不像话,0
不光,0
不免,0
不再,0
不准,0
不利,0
不利于,0
不可思议,9
不可避免,0
不同,0
不同寻常,9
不在乎,1
不堪,1
不够,0
不大,0
不好意思,1
不如,0
不如说,0
不妨,0
不安,1
不定,1
不宜,0
不容,0
不对,0
不少,0
不屑,1
不已,1
不平,1
不幸,1
不得不,0
不得了,0
不得已,0
