token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,15
一动不动,16
一半,17
一卡通,18
一口气,19
一句话,20
一同,21
一向,22
一味,23
一块儿,21
一塌糊涂,24
一声不吭,16
一大早,25
一天到晚,26
一头,27
一如既往,28
一定,29
一家人,30
一帆风顺,31
一带,32
一干二净,24
一年到头,33
一应俱全,34
一度,35
一律,36
一心,37
一心一意,38
一成不变,39
一手,40
一技之长,41
一把手,42
一揽子,43
一方面,44
一旁,45
一无所有,7
一无所知,7
一旦,46
一早,25
一时,47
一晃,48
一样,49
一概,36
一概而论,50
一模一样,51
一次性,52
一毛不拔,53
一流,54
一点儿,55
一生,56
一番,57
一目了然,58
一直,59
一眼,60
一瞬间,15
一筹莫展,61
一系列,62
一线,63
一经,36
一致,64
一般,65
一般来说,66
一行,67
一言一行,6
一言不发,16
一贯,22
一起,21
一路,32
一路上,68
一路平安,31
一路顺风,31
一身,69
一辈子,56
一边,70
一连,71
一连串,72
一道,21
一部分,73
一锅粥,74
一长一短,75
一阵,76
一面,70
一鼓作气,77
一齐,2
丁,78
七,79
七嘴八舌,80
万,81
万一,82
万万,83
万分,83
万古长青,84
万无一失,85
万能,86
丈夫,87
三,79
三明治,88
三番五次,89
三维,90
三角,91
上,92
上下,93
上个月,94
上任,95
上升,96
上午,97
上去,92
上台,98
上司,99
上周,100
上场,101
上头,92
上学,102
上岗,103
上市,104
上帝,105
上当,106
上报,107
上方,108
上旬,109
上映,110
上期,111
上来,92
上楼,112
上次,113
上流,114
上涨,115
上游,116
上演,117
上火,118
上班,119
上班族,120
上瘾,121
上空,122
上级,99
上网,123
上衣,124
上诉,125
上课,126
上调,127
上车,112
上边,128
上述,129
上门,130
上限,131
上面,128
下,132
下一代,9
下个月,133
下乡,134
下令,135
下决心,136
下功夫,137
下午,97
下去,138
下台,98
下场,139
下坠,140
下属,141
下山,142
下岗,143
下意识,144
下手,145
下旬,109
下期,111
下来,138
下棋,146
下楼,112
下次,147
下海,142
下游,116
下班,119
下级,99
下落,140
下课,126
下调,127
下跌,115
下车,112
下载,148
下边,128
下降,96
下雨,149
下雪,149
下面,128
不,150
不一会儿,151
不一定,152
不为人知,153
不久,151
不了了之,154
不予,155
不亚于,156
不亦乐乎,157
不仅,158
不仅仅,158
不以为然,159
不但,158
不便,160
不值,161
不假思索,162
不停,163
不像话,164
不光,158
不免,165
不再,166
不准,167
不利,168
不利于,169
不可思议,170
不可避免,171
不同,172
不同寻常,173
不在乎,174
不堪,175
不够,176
不大,177
不好意思,178
不如,156
不如说,179
不妨,180
不安,181
不定,182
