token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,15
一动不动,16
一半,17
一卡通,18
一口气,19
一句话,20
一同,21
一向,22
一味,23
一块儿,21
一塌糊涂,24
一声不吭,16
一大早,25
一天到晚,26
一头,27
一如既往,28
一定,29
一家人,30
一帆风顺,31
一带,32
一干二净,24
一年到头,26
一应俱全,33
一度,34
一律,35
一心,36
一心一意,36
一成不变,37
一手,38
一技之长,39
一把手,40
一揽子,41
一方面,42
一旁,43
一无所有,7
一无所知,7
一旦,44
一早,25
一时,45
一晃,46
一样,47
一概,35
一概而论,48
一模一样,47
一次性,49
一毛不拔,50
一流,51
一点儿,52
一生,53
一番,54
一目了然,55
一直,22
一眼,56
一瞬间,15
一筹莫展,57
一系列,58
一线,59
一经,35
一致,60
一般,61
一般来说,62
一行,63
一言一行,6
一言不发,16
一贯,22
一起,21
一路,32
一路上,64
一路平安,31
一路顺风,31
一身,65
一辈子,53
一边,66
一连,67
一连串,58
一道,68
一部分,69
一锅粥,70
一长一短,71
一阵,72
一面,66
一鼓作气,73
一齐,21
丁,74
七,75
七嘴八舌,76
万,77
万一,44
万万,78
万分,79
万古长青,80
万无一失,81
万能,82
丈夫,83
三,75
三明治,84
三番五次,13
三维,85
三角,86
上,87
上下,88
上个月,89
上任,90
上升,91
上午,92
上去,87
上台,90
上司,93
上周,94
上场,95
上头,87
上学,96
上岗,97
上市,98
上帝,99
上当,100
上报,101
上方,102
上旬,103
上映,104
上期,105
上来,87
上楼,106
上次,107
上流,108
上涨,109
上游,110
上演,111
上火,112
上班,113
上班族,114
上瘾,115
上空,116
上级,93
上网,117
上衣,118
上诉,119
上课,120
上调,121
上车,106
上边,122
上述,123
上门,124
上限,125
上面,122
下,126
下一代,9
下个月,89
下乡,127
下令,128
下决心,129
下功夫,130
下午,92
下去,131
下台,132
下场,132
下坠,133
下属,134
下山,135
下岗,97
下意识,136
下手,137
下旬,103
下期,105
下来,131
下棋,138
下楼,106
下次,139
下海,135
下游,110
下班,113
下级,93
下落,133
下课,120
下调,121
下跌,109
下车,106
下载,140
下边,122
下降,141
下雨,142
下雪,142
下面,122
不,143
不一会儿,144
不一定,145
不为人知,146
不久,144
不了了之,147
不予,148
不亚于,149
不亦乐乎,150
不仅,151
不仅仅,151
不以为然,152
不但,151
不便,153
不值,154
不假思索,155
不停,156
不像话,157
不光,151
不免,158
不再,159
不准,160
不利,161
不利于,162
不可思议,163
不可避免,158
不同,164
不同寻常,165
不在乎,166
不堪,167
不够,168
不大,169
不好意思,170
不如,149
不如说,171
不妨,172
不安,173
不定,174
