token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,3
一动不动,15
一半,16
一卡通,17
一口气,18
一句话,19
一同,2
一向,20
一味,21
一块儿,2
一塌糊涂,22
一声不吭,15
一大早,23
一天到晚,24
一头,25
一如既往,20
一定,26
一家人,27
一帆风顺,28
一带,29
一干二净,22
一年到头,24
一应俱全,30
一度,5
一律,14
一心,31
一心一意,31
一成不变,21
一手,32
一技之长,33
一把手,34
一揽子,35
一方面,36
一旁,37
一无所有,7
一无所知,7
一旦,38
一早,23
一时,3
一晃,3
一样,39
一概,14
一概而论,40
一模一样,39
一次性,41
一毛不拔,42
一流,43
一点儿,44
一生,45
一番,46
一目了然,47
一直,48
一眼,49
一瞬间,3
一筹莫展,7
一系列,8
一线,50
一经,51
一致,39
一般,16
一般来说,36
一行,52
一言一行,6
一言不发,15
一贯,20
一起,2
一路,29
一路上,53
一路平安,54
一路顺风,54
一身,55
一辈子,56
一边,32
一连,18
一连串,8
一道,2
一部分,16
一锅粥,22
一长一短,57
一阵,58
一面,32
一鼓作气,18
一齐,2
丁,59
七,1
七嘴八舌,60
万,61
万一,38
万万,62
万分,63
万古长青,64
万无一失,65
万能,11
丈夫,66
三,1
三明治,67
三番五次,13
三维,68
三角,69
上,37
上下,70
上个月,71
上任,72
上升,73
上午,23
上去,74
上台,75
上司,66
上周,71
上场,76
上头,37
上学,77
上岗,78
上市,79
上帝,80
上当,81
上报,82
上方,83
上旬,71
上映,84
上期,71
上来,74
上楼,85
上次,71
上流,86
上涨,73
上游,87
上演,88
上火,89
上班,90
上班族,91
上瘾,92
上空,93
上级,94
上网,95
上衣,55
上诉,96
上课,97
上调,98
上车,99
上边,37
上述,100
上门,85
上限,101
上面,37
下,102
下一代,9
下个月,71
下乡,90
下令,103
下决心,104
下功夫,105
下午,23
下去,74
下台,106
下场,76
下坠,107
下属,108
下山,90
下岗,106
下意识,109
下手,105
下旬,71
下期,110
下来,74
下棋,111
下楼,90
下次,112
下海,90
下游,87
下班,90
下级,94
下落,107
下课,90
下调,98
下跌,73
下车,99
下载,95
下边,37
下降,73
下雨,113
下雪,113
下面,37
不,114
不一会儿,115
不一定,26
不为人知,116
不久,115
不了了之,117
不予,118
不亚于,119
不亦乐乎,120
不仅,121
不仅仅,121
不以为然,122
不但,121
不便,123
不值,124
不假思索,109
不停,32
不像话,22
不光,121
不免,109
不再,125
不准,126
不利,127
不利于,127
不可思议,128
不可避免,26
不同,39
不同寻常,129
不在乎,130
不堪,131
不够,132
不大,63
不好意思,133
不如,119
不如说,121
不妨,134
不安,135
不定,135
