token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,3
一举一动,5
一事无成,6
一些,7
一代,8
一会儿,9
一体,10
一共,11
一再,12
一切,2
一刹那,13
一动不动,14
一半,15
一卡通,16
一口气,3
一句话,17
一同,18
一向,19
一味,20
一块儿,18
一塌糊涂,21
一声不吭,14
一大早,22
一天到晚,23
一头,24
一如既往,19
一定,25
一家人,26
一帆风顺,27
一带,28
一干二净,21
一年到头,23
一应俱全,29
一度,12
一律,2
一心,30
一心一意,31
一成不变,32
一手,33
一技之长,34
一把手,35
一揽子,36
一方面,37
一旁,38
一无所有,6
一无所知,6
一旦,39
一早,22
一时,13
一晃,40
一样,41
一概,2
一概而论,42
一模一样,41
一次性,43
一毛不拔,44
一流,45
一点儿,9
一生,46
一番,47
一目了然,48
一直,19
一眼,14
一瞬间,13
一筹莫展,49
一系列,7
一线,50
一经,51
一致,52
一般,53
一般来说,54
一行,55
一言一行,5
一言不发,14
一贯,19
一起,18
一路,56
一路上,57
一路平安,27
一路顺风,27
一身,10
一辈子,58
一边,38
一连,59
一连串,7
一道,18
一部分,53
一锅粥,21
一长一短,60
一阵,61
一面,62
一鼓作气,3
一齐,63
丁,64
七,1
七嘴八舌,63
万,65
万一,66
万万,66
万分,66
万古长青,67
万无一失,68
万能,69
丈夫,26
三,1
三明治,70
三番五次,12
三维,71
三角,72
上,73
上下,74
上个月,75
上任,76
上升,77
上午,22
上去,78
上台,79
上司,80
上周,75
上场,81
上头,38
上学,82
上岗,83
上市,84
上帝,85
上当,86
上报,87
上方,88
上旬,89
上映,90
上期,91
上来,78
上楼,78
上次,92
上流,93
上涨,77
上游,94
上演,95
上火,96
上班,22
上班族,97
上瘾,98
上空,99
上级,80
上网,100
上衣,101
上诉,102
上课,82
上调,103
上车,104
上边,38
上述,105
上门,106
上限,107
上面,38
下,108
下一代,8
下个月,109
下乡,110
下令,111
下决心,30
下功夫,112
下午,22
下去,78
下台,76
下场,81
下坠,113
下属,114
下山,110
下岗,115
下意识,14
下手,116
下旬,89
下期,91
下来,78
下棋,117
下楼,22
下次,118
下海,110
下游,94
下班,22
下级,80
下落,119
下课,22
下调,103
下跌,77
下车,104
下载,120
下边,38
下降,77
下雨,121
下雪,121
下面,38
不,122
不一会儿,13
不一定,123
不为人知,124
不久,125
不了了之,126
不予,127
不亚于,128
不亦乐乎,129
不仅,130
不仅仅,131
不以为然,132
不但,130
不便,133
不值,134
不假思索,135
不停,23
不像话,9
不光,136
不免,4
不再,122
不准,111
不利,137
不利于,137
不可思议,138
不可避免,139
不同,41
不同寻常,138
不在乎,140
不堪,141
不够,142
不大,143
不好意思,9
不如,144
不如说,136
不妨,145
不安,132
不定,146
