token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,15
一动不动,16
一半,17
一卡通,18
一口气,5
一句话,19
一同,20
一向,21
一味,22
一块儿,20
一塌糊涂,23
一声不吭,16
一大早,24
一天到晚,25
一头,26
一如既往,27
一定,28
一家人,29
一帆风顺,30
一带,31
一干二净,23
一年到头,25
一应俱全,32
一度,33
一律,34
一心,35
一心一意,35
一成不变,36
一手,37
一技之长,38
一把手,39
一揽子,40
一方面,41
一旁,42
一无所有,7
一无所知,7
一旦,43
一早,24
一时,44
一晃,45
一样,46
一概,34
一概而论,47
一模一样,48
一次性,49
一毛不拔,50
一流,51
一点儿,52
一生,53
一番,54
一目了然,55
一直,56
一眼,57
一瞬间,15
一筹莫展,58
一系列,59
一线,60
一经,61
一致,62
一般,63
一般来说,64
一行,65
一言一行,6
一言不发,16
一贯,21
一起,20
一路,31
一路上,66
一路平安,67
一路顺风,30
一身,11
一辈子,53
一边,42
一连,68
一连串,69
一道,20
一部分,70
一锅粥,71
一长一短,72
一阵,73
一面,42
一鼓作气,5
一齐,74
丁,75
七,76
七嘴八舌,77
万,78
万一,79
万万,80
万分,80
万古长青,81
万无一失,82
万能,83
丈夫,84
三,76
三明治,85
三番五次,13
三维,86
三角,87
上,88
上下,89
上个月,90
上任,91
上升,92
上午,24
上去,93
上台,94
上司,95
上周,96
上场,97
上头,98
上学,99
上岗,100
上市,101
上帝,102
上当,103
上报,104
上方,105
上旬,90
上映,106
上期,107
上来,93
上楼,108
上次,109
上流,110
上涨,92
上游,111
上演,112
上火,113
上班,114
上班族,115
上瘾,116
上空,117
上级,95
上网,118
上衣,119
上诉,120
上课,121
上调,122
上车,108
上边,98
上述,123
上门,124
上限,125
上面,98
下,126
下一代,9
下个月,90
下乡,127
下令,128
下决心,129
下功夫,130
下午,24
下去,93
下台,94
下场,97
下坠,131
下属,132
下山,108
下岗,100
下意识,133
下手,134
下旬,90
下期,107
下来,93
下棋,135
下楼,108
下次,136
下海,137
下游,111
下班,108
下级,95
下落,131
下课,138
下调,122
下跌,92
下车,108
下载,139
下边,98
下降,92
下雨,140
下雪,140
下面,98
不,141
不一会儿,10
不一定,28
不为人知,142
不久,143
不了了之,144
不予,145
不亚于,146
不亦乐乎,147
不仅,148
不仅仅,148
不以为然,149
不但,150
不便,151
不值,152
不假思索,153
不停,154
不像话,155
不光,148
不免,156
不再,157
不准,158
不利,159
不利于,160
不可思议,161
不可避免,156
不同,48
不同寻常,162
不在乎,163
不堪,164
不够,141
不大,165
不好意思,166
不如,167
不如说,148
不妨,168
不安,169
不定,170
