token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,3
一动不动,15
一半,16
一卡通,17
一口气,5
一句话,18
一同,19
一向,20
一味,21
一块儿,19
一塌糊涂,22
一声不吭,15
一大早,23
一天到晚,24
一头,25
一如既往,26
一定,27
一家人,28
一帆风顺,29
一带,30
一干二净,22
一年到头,31
一应俱全,32
一度,33
一律,34
一心,35
一心一意,35
一成不变,36
一手,37
一技之长,38
一把手,39
一揽子,40
一方面,41
一旁,42
一无所有,7
一无所知,7
一旦,43
一早,23
一时,44
一晃,45
一样,46
一概,2
一概而论,47
一模一样,48
一次性,49
一毛不拔,50
一流,51
一点儿,52
一生,53
一番,54
一目了然,55
一直,56
一眼,57
一瞬间,3
一筹莫展,58
一系列,59
一线,60
一经,61
一致,62
一般,63
一般来说,63
一行,64
一言一行,6
一言不发,15
一贯,20
一起,19
一路,30
一路上,65
一路平安,29
一路顺风,29
一身,11
一辈子,53
一边,25
一连,66
一连串,67
一道,19
一部分,68
一锅粥,22
一长一短,69
一阵,70
一面,25
一鼓作气,5
一齐,71
丁,72
七,73
七嘴八舌,74
万,75
万一,76
万万,77
万分,77
万古长青,78
万无一失,79
万能,80
丈夫,81
三,73
三明治,82
三番五次,13
三维,83
三角,84
上,85
上下,86
上个月,87
上任,88
上升,89
上午,23
上去,90
上台,91
上司,92
上周,93
上场,94
上头,85
上学,95
上岗,38
上市,96
上帝,97
上当,98
上报,99
上方,100
上旬,87
上映,101
上期,102
上来,90
上楼,103
上次,104
上流,105
上涨,89
上游,106
上演,107
上火,108
上班,103
上班族,109
上瘾,110
上空,111
上级,92
上网,112
上衣,113
上诉,114
上课,115
上调,116
上车,117
上边,118
上述,119
上门,120
上限,121
上面,118
下,122
下一代,9
下个月,87
下乡,123
下令,124
下决心,125
下功夫,126
下午,23
下去,90
下台,91
下场,127
下坠,128
下属,129
下山,130
下岗,131
下意识,132
下手,133
下旬,87
下期,102
下来,90
下棋,134
下楼,103
下次,135
下海,130
下游,106
下班,103
下级,92
下落,128
下课,136
下调,116
下跌,137
下车,117
下载,138
下边,118
下降,89
下雨,139
下雪,139
下面,118
不,140
不一会儿,141
不一定,142
不为人知,143
不久,144
不了了之,145
不予,146
不亚于,147
不亦乐乎,148
不仅,149
不仅仅,149
不以为然,150
不但,149
不便,151
不值,152
不假思索,153
不停,24
不像话,154
不光,149
不免,155
不再,156
不准,157
不利,151
不利于,158
不可思议,159
不可避免,160
不同,48
不同寻常,161
不在乎,162
不堪,163
不够,140
不大,140
不好意思,164
不如,147
不如说,165
不妨,166
不安,167
不定,168
