token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,2
一刹那,14
一动不动,15
一半,16
一卡通,17
一口气,18
一句话,19
一同,20
一向,21
一味,22
一块儿,20
一塌糊涂,23
一声不吭,15
一大早,24
一天到晚,25
一头,26
一如既往,21
一定,27
一家人,28
一帆风顺,29
一带,30
一干二净,31
一年到头,25
一应俱全,32
一度,5
一律,2
一心,33
一心一意,33
一成不变,34
一手,35
一技之长,36
一把手,37
一揽子,38
一方面,39
一旁,40
一无所有,7
一无所知,7
一旦,41
一早,24
一时,14
一晃,10
一样,42
一概,2
一概而论,43
一模一样,42
一次性,44
一毛不拔,7
一流,45
一点儿,46
一生,47
一番,48
一目了然,49
一直,21
一眼,50
一瞬间,14
一筹莫展,51
一系列,8
一线,52
一经,53
一致,54
一般,16
一般来说,55
一行,56
一言一行,6
一言不发,15
一贯,21
一起,20
一路,57
一路上,58
一路平安,59
一路顺风,59
一身,60
一辈子,61
一边,62
一连,63
一连串,8
一道,20
一部分,16
一锅粥,31
一长一短,64
一阵,65
一面,66
一鼓作气,67
一齐,68
丁,69
七,1
七嘴八舌,70
万,71
万一,41
万万,72
万分,73
万古长青,59
万无一失,74
万能,75
丈夫,76
三,1
三明治,77
三番五次,13
三维,78
三角,79
上,40
上下,80
上个月,81
上任,82
上升,83
上午,24
上去,84
上台,85
上司,86
上周,87
上场,88
上头,89
上学,90
上岗,91
上市,92
上帝,93
上当,94
上报,95
上方,52
上旬,81
上映,96
上期,97
上来,84
上楼,98
上次,99
上流,100
上涨,83
上游,101
上演,102
上火,103
上班,98
上班族,104
上瘾,105
上空,106
上级,86
上网,107
上衣,60
上诉,108
上课,109
上调,83
上车,110
上边,89
上述,111
上门,112
上限,113
上面,89
下,114
下一代,9
下个月,81
下乡,115
下令,116
下决心,117
下功夫,118
下午,24
下去,84
下台,85
下场,119
下坠,120
下属,86
下山,98
下岗,121
下意识,122
下手,123
下旬,81
下期,124
下来,84
下棋,125
下楼,98
下次,124
下海,98
下游,101
下班,98
下级,86
下落,120
下课,98
下调,83
下跌,83
下车,110
下载,126
下边,89
下降,83
下雨,127
下雪,127
下面,89
不,128
不一会儿,10
不一定,27
不为人知,129
不久,130
不了了之,131
不予,132
不亚于,133
不亦乐乎,134
不仅,39
不仅仅,39
不以为然,135
不但,136
不便,137
不值,138
不假思索,122
不停,62
不像话,23
不光,39
不免,122
不再,139
不准,140
不利,141
不利于,142
不可思议,143
不可避免,27
不同,42
不同寻常,144
不在乎,145
不堪,146
不够,128
不大,128
不好意思,147
不如,148
不如说,149
不妨,150
不安,151
不定,152
