token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,2
一刹那,14
一动不动,15
一半,16
一卡通,17
一口气,5
一句话,18
一同,19
一向,20
一味,21
一块儿,19
一塌糊涂,22
一声不吭,15
一大早,23
一天到晚,24
一头,25
一如既往,20
一定,26
一家人,27
一帆风顺,28
一带,29
一干二净,30
一年到头,24
一应俱全,31
一度,32
一律,2
一心,33
一心一意,34
一成不变,35
一手,36
一技之长,37
一把手,38
一揽子,39
一方面,40
一旁,15
一无所有,7
一无所知,7
一旦,41
一早,23
一时,14
一晃,10
一样,42
一概,2
一概而论,43
一模一样,42
一次性,44
一毛不拔,7
一流,45
一点儿,46
一生,47
一番,48
一目了然,49
一直,20
一眼,50
一瞬间,14
一筹莫展,51
一系列,8
一线,52
一经,53
一致,54
一般,16
一般来说,55
一行,56
一言一行,6
一言不发,15
一贯,20
一起,19
一路,57
一路上,58
一路平安,28
一路顺风,28
一身,59
一辈子,60
一边,61
一连,62
一连串,8
一道,19
一部分,16
一锅粥,30
一长一短,63
一阵,64
一面,65
一鼓作气,5
一齐,66
丁,67
七,1
七嘴八舌,68
万,69
万一,41
万万,70
万分,71
万古长青,72
万无一失,73
万能,74
丈夫,75
三,1
三明治,76
三番五次,13
三维,77
三角,78
上,79
上下,80
上个月,81
上任,82
上升,83
上午,23
上去,84
上台,85
上司,86
上周,87
上场,88
上头,79
上学,89
上岗,90
上市,91
上帝,92
上当,93
上报,94
上方,52
上旬,81
上映,95
上期,96
上来,84
上楼,97
上次,98
上流,99
上涨,83
上游,100
上演,101
上火,102
上班,97
上班族,103
上瘾,104
上空,105
上级,86
上网,106
上衣,59
上诉,107
上课,108
上调,83
上车,109
上边,79
上述,110
上门,111
上限,112
上面,79
下,113
下一代,9
下个月,81
下乡,114
下令,115
下决心,116
下功夫,117
下午,23
下去,84
下台,85
下场,118
下坠,119
下属,86
下山,97
下岗,120
下意识,121
下手,122
下旬,81
下期,123
下来,84
下棋,124
下楼,97
下次,123
下海,97
下游,100
下班,97
下级,86
下落,119
下课,97
下调,83
下跌,83
下车,109
下载,125
下边,79
下降,83
下雨,126
下雪,126
下面,79
不,127
不一会儿,10
不一定,26
不为人知,128
不久,129
不了了之,130
不予,131
不亚于,132
不亦乐乎,133
不仅,40
不仅仅,40
不以为然,134
不但,135
不便,136
不值,137
不假思索,121
不停,61
不像话,22
不光,40
不免,121
不再,138
不准,139
不利,140
不利于,141
不可思议,142
不可避免,26
不同,42
不同寻常,143
不在乎,144
不堪,145
不够,146
不大,147
不好意思,148
不如,149
不如说,150
不妨,151
不安,152
不定,153
