token,community
〇,0
一,0
一一,1
一下子,2
一不小心,3
一举,4
一举一动,5
一事无成,6
一些,1
一代,7
一会儿,8
一体,9
一共,10
一再,11
一切,1
一刹那,2
一动不动,12
一半,1
一卡通,13
一口气,14
一句话,15
一同,16
一向,17
一味,18
一块儿,16
一塌糊涂,8
一声不吭,19
一大早,20
一天到晚,21
一头,22
一如既往,17
一定,23
一家人,24
一帆风顺,25
一带,26
一干二净,8
一年到头,21
一应俱全,27
一度,11
一律,1
一心,28
一心一意,28
一成不变,18
一手,22
一技之长,29
一把手,30
一揽子,31
一方面,32
一旁,33
一无所有,6
一无所知,6
一旦,3
一早,20
一时,2
一晃,2
一样,34
一概,1
一概而论,18
一模一样,34
一次性,35
一毛不拔,6
一流,36
一点儿,8
一生,37
一番,11
一目了然,27
一直,17
一眼,38
一瞬间,2
一筹莫展,39
一系列,1
一线,26
一经,2
一致,40
一般,1
一般来说,32
一行,41
一言一行,5
一言不发,19
一贯,17
一起,16
一路,25
一路上,25
一路平安,25
一路顺风,25
一身,42
一辈子,37
一边,33
一连,11
一连串,1
一道,16
一部分,1
一锅粥,43
一长一短,44
一阵,45
一面,33
一鼓作气,46
一齐,2
丁,47
七,0
七嘴八舌,19
万,48
万一,3
万万,17
万分,49
万古长青,25
万无一失,50
万能,51
丈夫,24
三,0
三明治,43
三番五次,11
三维,52
三角,53
上,33
上下,33
上个月,54
上任,55
上升,56
上午,20
上去,57
上台,55
上司,24
上周,54
上场,58
上头,33
上学,59
上岗,55
上市,60
上帝,61
上当,62
上报,63
上方,33
上旬,54
上映,64
上期,54
上来,57
上楼,57
上次,54
上流,65
上涨,56
上游,66
上演,67
上火,68
上班,20
上班族,20
上瘾,69
上空,70
上级,71
上网,72
上衣,42
上诉,73
上课,59
上调,56
上车,74
上边,33
上述,0
上门,57
上限,75
上面,33
下,33
下一代,7
下个月,54
下乡,57
下令,76
下决心,28
下功夫,28
下午,20
下去,57
下台,55
下场,77
下坠,78
下属,71
下山,57
下岗,55
下意识,2
下手,58
下旬,54
下期,54
下来,57
下棋,79
下楼,57
下次,80
下海,57
下游,66
下班,20
下级,71
下落,78
下课,20
下调,56
下跌,56
下车,74
下载,72
下边,33
下降,56
下雨,81
下雪,81
下面,33
不,82
不一会儿,2
不一定,17
不为人知,83
不久,54
不了了之,8
不予,82
不亚于,34
不亦乐乎,84
不仅,17
不仅仅,17
不以为然,39
不但,17
不便,85
不值,86
不假思索,2
不停,21
不像话,8
不光,17
不免,23
不再,82
不准,82
不利,87
不利于,88
不可思议,89
不可避免,23
不同,34
不同寻常,89
不在乎,90
不堪,39
不够,49
不大,49
不好意思,8
不如,34
不如说,3
不妨,23
不安,39
不定,91
不宜,82
不容,82
不对,8
不少,1
不屑,90
不已,40
不平,39
不幸,92
不得不,2
不得了,8
不得已,2
