token,community
〇,0
一,0
一一,1
一下子,2
一不小心,2
一举,3
一举一动,4
一事无成,5
一些,6
一代,7
一会儿,8
一体,9
一共,10
一再,3
一切,6
一刹那,11
一动不动,12
一半,6
一卡通,13
一口气,8
一句话,14
一同,1
一向,15
一味,16
一块儿,1
一塌糊涂,17
一声不吭,18
一大早,19
一天到晚,20
一头,21
一如既往,15
一定,22
一家人,23
一帆风顺,24
一带,25
一干二净,8
一年到头,20
一应俱全,26
一度,3
一律,27
一心,28
一心一意,28
一成不变,16
一手,21
一技之长,29
一把手,30
一揽子,31
一方面,22
一旁,32
一无所有,5
一无所知,5
一旦,33
一早,19
一时,11
一晃,2
一样,34
一概,6
一概而论,16
一模一样,34
一次性,35
一毛不拔,5
一流,36
一点儿,37
一生,38
一番,8
一目了然,39
一直,15
一眼,40
一瞬间,11
一筹莫展,41
一系列,6
一线,9
一经,42
一致,34
一般,6
一般来说,43
一行,44
一言一行,4
一言不发,18
一贯,15
一起,1
一路,45
一路上,45
一路平安,46
一路顺风,46
一身,47
一辈子,38
一边,32
一连,3
一连串,6
一道,1
一部分,6
一锅粥,48
一长一短,49
一阵,50
一面,31
一鼓作气,3
一齐,2
丁,51
七,0
七嘴八舌,18
万,52
万一,33
万万,0
万分,53
万古长青,54
万无一失,55
万能,56
丈夫,23
三,0
三明治,57
三番五次,3
三维,58
三角,59
上,32
上下,32
上个月,60
上任,61
上升,62
上午,19
上去,8
上台,61
上司,23
上周,60
上场,63
上头,32
上学,64
上岗,61
上市,65
上帝,66
上当,67
上报,68
上方,32
上旬,60
上映,69
上期,60
上来,8
上楼,70
上次,60
上流,71
上涨,62
上游,72
上演,73
上火,74
上班,70
上班族,75
上瘾,76
上空,77
上级,78
上网,79
上衣,47
上诉,80
上课,64
上调,62
上车,81
上边,32
上述,6
上门,70
上限,82
上面,32
下,32
下一代,7
下个月,60
下乡,70
下令,83
下决心,84
下功夫,85
下午,19
下去,8
下台,61
下场,86
下坠,87
下属,78
下山,70
下岗,88
下意识,2
下手,89
下旬,60
下期,90
下来,8
下棋,91
下楼,70
下次,90
下海,70
下游,72
下班,19
下级,78
下落,92
下课,70
下调,62
下跌,62
下车,81
下载,79
下边,32
下降,62
下雨,93
下雪,93
下面,32
不,15
不一会儿,2
不一定,22
不为人知,94
不久,90
不了了之,17
不予,95
不亚于,82
不亦乐乎,96
不仅,22
不仅仅,22
不以为然,53
不但,22
不便,97
不值,98
不假思索,2
不停,99
不像话,17
不光,22
不免,20
不再,15
不准,27
不利,100
不利于,101
不可思议,102
不可避免,103
不同,34
不同寻常,94
不在乎,104
不堪,100
不够,105
不大,105
不好意思,46
不如,82
不如说,22
不妨,106
不安,41
不定,20
不宜,106
不容,106
不对,17
不少,6
不屑,107
不已,53
不平,41
不幸,108
不得不,2
不得了,17
不得已,2
