token,community
〇,0
一,0
一一,0
一下子,1
一不小心,2
一举,1
一举一动,3
一事无成,4
一些,0
一代,5
一会儿,6
一体,7
一共,0
一再,1
一切,0
一刹那,6
一动不动,3
一半,0
一卡通,8
一口气,3
一句话,9
一同,7
一向,2
一味,1
一块儿,6
一塌糊涂,2
一声不吭,3
一大早,6
一天到晚,2
一头,3
一如既往,2
一定,2
一家人,5
一帆风顺,10
一带,11
一干二净,12
一年到头,2
一应俱全,0
一度,1
一律,0
一心,1
一心一意,1
一成不变,13
一手,3
一技之长,14
一把手,15
一揽子,16
一方面,2
一旁,11
一无所有,4
一无所知,4
一旦,2
一早,6
一时,6
一晃,6
一样,7
一概,0
一概而论,17
一模一样,7
一次性,8
一毛不拔,13
一流,14
一点儿,2
一生,5
一番,1
一目了然,13
一直,2
一眼,3
一瞬间,6
一筹莫展,4
一系列,0
一线,11
一经,1
一致,7
一般,0
一般来说,2
一行,18
一言一行,16
一言不发,3
一贯,2
一起,7
一路,19
一路上,19
一路平安,10
一路顺风,10
一身,20
一辈子,2
一边,11
一连,1
一连串,0
一道,7
一部分,0
一锅粥,21
一长一短,20
一阵,22
一面,11
一鼓作气,1
一齐,1
丁,21
七,0
七嘴八舌,3
万,0
万一,2
万万,2
万分,23
万古长青,4
万无一失,24
万能,25
丈夫,5
三,0
三明治,21
三番五次,1
三维,22
三角,26
上,11
上下,11
上个月,6
上任,15
上升,23
上午,6
上去,12
上台,15
上司,5
上周,6
上场,27
上头,11
上学,9
上岗,15
上市,28
上帝,5
上当,29
上报,8
上方,11
上旬,6
上映,22
上期,6
上来,12
上楼,12
上次,6
上流,5
上涨,23
上游,28
上演,17
上火,21
上班,6
上班族,5
上瘾,30
上空,19
上级,15
上网,8
上衣,20
上诉,29
上课,9
上调,23
上车,19
上边,11
上述,0
上门,12
上限,16
上面,11
下,11
下一代,5
下个月,6
下乡,12
下令,1
下决心,1
下功夫,14
下午,6
下去,12
下台,15
下场,31
下坠,26
下属,15
下山,12
下岗,15
下意识,1
下手,12
下旬,6
下期,6
下来,12
下棋,27
下楼,12
下次,2
下海,12
下游,28
下班,6
下级,15
下落,26
下课,6
下调,23
下跌,23
下车,19
下载,8
下边,11
下降,23
下雨,32
下雪,32
下面,11
不,2
不一会儿,6
不一定,2
不为人知,29
不久,6
不了了之,2
不予,16
不亚于,7
不亦乐乎,10
不仅,2
不仅仅,2
不以为然,4
不但,2
不便,28
不值,28
不假思索,1
不停,1
不像话,2
不光,2
不免,2
不再,2
不准,2
不利,31
不利于,2
不可思议,13
不可避免,2
不同,7
不同寻常,13
不在乎,4
不堪,4
不够,23
不大,23
不好意思,4
不如,7
不如说,2
不妨,2
不安,4
不定,4
不宜,2
不容,2
不对,2
不少,0
不屑,4
不已,4
不平,4
不幸,4
不得不,1
不得了,2
不得已,1
