token,community
〇,0
一,0
一一,0
一下子,1
一不小心,2
一举,1
一举一动,3
一事无成,3
一些,0
一代,4
一会儿,5
一体,6
一共,0
一再,1
一切,0
一刹那,5
一动不动,3
一半,0
一卡通,7
一口气,3
一句话,8
一同,6
一向,2
一味,1
一块儿,9
一塌糊涂,2
一声不吭,3
一大早,5
一天到晚,2
一头,10
一如既往,2
一定,2
一家人,4
一帆风顺,3
一带,11
一干二净,12
一年到头,2
一应俱全,0
一度,1
一律,0
一心,1
一心一意,1
一成不变,13
一手,10
一技之长,14
一把手,15
一揽子,16
一方面,2
一旁,11
一无所有,3
一无所知,3
一旦,2
一早,5
一时,5
一晃,5
一样,6
一概,0
一概而论,17
一模一样,6
一次性,7
一毛不拔,13
一流,14
一点儿,2
一生,4
一番,1
一目了然,13
一直,2
一眼,3
一瞬间,5
一筹莫展,3
一系列,0
一线,11
一经,1
一致,6
一般,0
一般来说,2
一行,12
一言一行,16
一言不发,3
一贯,2
一起,6
一路,18
一路上,18
一路平安,3
一路顺风,3
一身,19
一辈子,2
一边,11
一连,1
一连串,0
一道,6
一部分,0
一锅粥,20
一长一短,19
一阵,21
一面,11
一鼓作气,1
一齐,1
丁,20
七,0
七嘴八舌,3
万,0
万一,2
万万,2
万分,2
万古长青,3
万无一失,22
万能,23
丈夫,4
三,0
三明治,20
三番五次,1
三维,21
三角,24
上,11
上下,11
上个月,5
上任,15
上升,25
上午,5
上去,12
上台,15
上司,4
上周,5
上场,9
上头,11
上学,8
上岗,15
上市,26
上帝,22
上当,27
上报,7
上方,11
上旬,5
上映,21
上期,5
上来,12
上楼,12
上次,5
上流,4
上涨,25
上游,26
上演,17
上火,20
上班,5
上班族,4
上瘾,10
上空,28
上级,15
上网,29
上衣,19
上诉,27
上课,8
上调,25
上车,18
上边,11
上述,0
上门,12
上限,16
上面,11
下,11
下一代,4
下个月,5
下乡,12
下令,1
下决心,1
下功夫,14
下午,5
下去,12
下台,15
下场,30
下坠,24
下属,15
下山,12
下岗,15
下意识,1
下手,31
下旬,5
下期,5
下来,12
下棋,9
下楼,12
下次,2
下海,12
下游,26
下班,5
下级,15
下落,24
下课,5
下调,25
下跌,25
下车,18
下载,29
下边,11
下降,25
下雨,28
下雪,28
下面,11
不,2
不一会儿,5
不一定,2
不为人知,11
不久,5
不了了之,2
不予,32
不亚于,6
不亦乐乎,3
不仅,2
不仅仅,2
不以为然,3
不但,2
不便,26
不值,26
不假思索,1
不停,1
不像话,2
不光,2
不免,2
不再,2
不准,1
不利,30
不利于,2
不可思议,13
不可避免,2
不同,6
不同寻常,13
不在乎,3
不堪,3
不够,2
不大,2
不好意思,3
不如,6
不如说,2
不妨,2
不安,3
不定,3
不宜,2
不容,2
不对,2
不少,0
不屑,3
不已,3
不平,3
不幸,3
不得不,1
不得了,2
不得已,1
