token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,3
一体,10
一共,11
一再,5
一切,8
一刹那,3
一动不动,12
一半,2
一卡通,13
一口气,14
一句话,15
一同,16
一向,17
一味,18
一块儿,19
一塌糊涂,20
一声不吭,12
一大早,21
一天到晚,21
一头,22
一如既往,17
一定,23
一家人,19
一帆风顺,24
一带,25
一干二净,26
一年到头,21
一应俱全,10
一度,5
一律,2
一心,18
一心一意,27
一成不变,28
一手,29
一技之长,30
一把手,31
一揽子,32
一方面,4
一旁,33
一无所有,7
一无所知,7
一旦,4
一早,21
一时,3
一晃,3
一样,34
一概,2
一概而论,23
一模一样,34
一次性,35
一毛不拔,36
一流,37
一点儿,19
一生,38
一番,39
一目了然,40
一直,17
一眼,12
一瞬间,3
一筹莫展,12
一系列,8
一线,41
一经,42
一致,43
一般,2
一般来说,4
一行,44
一言一行,6
一言不发,12
一贯,17
一起,16
一路,45
一路上,45
一路平安,46
一路顺风,46
一身,47
一辈子,38
一边,33
一连,5
一连串,8
一道,16
一部分,2
一锅粥,20
一长一短,48
一阵,49
一面,50
一鼓作气,27
一齐,3
丁,51
七,1
七嘴八舌,12
万,52
万一,52
万万,52
万分,53
万古长青,46
万无一失,54
万能,55
丈夫,19
三,1
三明治,56
三番五次,5
三维,57
三角,58
上,33
上下,59
上个月,60
上任,61
上升,62
上午,21
上去,33
上台,61
上司,19
上周,60
上场,63
上头,33
上学,64
上岗,65
上市,66
上帝,67
上当,68
上报,69
上方,33
上旬,60
上映,70
上期,71
上来,72
上楼,47
上次,73
上流,74
上涨,62
上游,75
上演,76
上火,56
上班,21
上班族,65
上瘾,77
上空,33
上级,78
上网,79
上衣,47
上诉,80
上课,64
上调,62
上车,81
上边,33
上述,82
上门,83
上限,84
上面,33
下,85
下一代,9
下个月,60
下乡,83
下令,86
下决心,18
下功夫,87
下午,21
下去,72
下台,61
下场,88
下坠,89
下属,90
下山,83
下岗,65
下意识,12
下手,87
下旬,60
下期,71
下来,72
下棋,91
下楼,47
下次,92
下海,83
下游,75
下班,21
下级,78
下落,93
下课,21
下调,62
下跌,62
下车,81
下载,94
下边,33
下降,62
下雨,95
下雪,95
下面,33
不,92
不一会儿,3
不一定,4
不为人知,96
不久,97
不了了之,98
不予,99
不亚于,100
不亦乐乎,26
不仅,4
不仅仅,4
不以为然,12
不但,4
不便,101
不值,12
不假思索,3
不停,5
不像话,20
不光,4
不免,4
不再,92
不准,92
不利,102
不利于,103
不可思议,104
不可避免,105
不同,34
不同寻常,104
不在乎,92
不堪,28
不够,53
不大,53
不好意思,12
不如,92
不如说,4
不妨,92
不安,12
不定,106
