token,community
〇,0
一,0
一一,0
一下子,1
一不小心,2
一举,1
一举一动,3
一事无成,4
一些,0
一代,5
一会儿,6
一体,7
一共,8
一再,1
一切,0
一刹那,1
一动不动,3
一半,0
一卡通,9
一口气,3
一句话,3
一同,7
一向,10
一味,11
一块儿,6
一塌糊涂,6
一声不吭,3
一大早,12
一天到晚,10
一头,13
一如既往,11
一定,2
一家人,5
一帆风顺,14
一带,15
一干二净,6
一年到头,10
一应俱全,0
一度,1
一律,16
一心,11
一心一意,11
一成不变,17
一手,13
一技之长,18
一把手,19
一揽子,20
一方面,2
一旁,21
一无所有,4
一无所知,4
一旦,2
一早,12
一时,1
一晃,1
一样,7
一概,0
一概而论,22
一模一样,7
一次性,9
一毛不拔,23
一流,24
一点儿,6
一生,10
一番,25
一目了然,26
一直,10
一眼,3
一瞬间,1
一筹莫展,4
一系列,0
一线,27
一经,1
一致,7
一般,0
一般来说,2
一行,28
一言一行,3
一言不发,3
一贯,10
一起,7
一路,29
一路上,29
一路平安,30
一路顺风,14
一身,31
一辈子,10
一边,21
一连,1
一连串,0
一道,7
一部分,0
一锅粥,32
一长一短,31
一阵,33
一面,21
一鼓作气,11
一齐,1
丁,32
七,0
七嘴八舌,3
万,34
万一,2
万万,2
万分,4
万古长青,30
万无一失,26
万能,17
丈夫,5
三,0
三明治,32
三番五次,35
三维,36
三角,37
上,21
上下,21
上个月,38
上任,39
上升,40
上午,12
上去,6
上台,39
上司,5
上周,38
上场,41
上头,21
上学,42
上岗,39
上市,43
上帝,44
上当,45
上报,46
上方,21
上旬,38
上映,47
上期,38
上来,6
上楼,48
上次,38
上流,49
上涨,40
上游,43
上演,50
上火,32
上班,12
上班族,51
上瘾,52
上空,15
上级,19
上网,53
上衣,31
上诉,54
上课,42
上调,40
上车,29
上边,21
上述,0
上门,55
上限,56
上面,21
下,21
下一代,5
下个月,38
下乡,42
下令,35
下决心,11
下功夫,11
下午,12
下去,6
下台,39
下场,57
下坠,58
下属,19
下山,29
下岗,39
下意识,1
下手,59
下旬,38
下期,38
下来,6
下棋,60
下楼,12
下次,6
下海,39
下游,43
下班,12
下级,19
下落,58
下课,12
下调,40
下跌,40
下车,29
下载,53
下边,21
下降,40
下雨,61
下雪,61
下面,21
不,16
不一会儿,1
不一定,2
不为人知,62
不久,38
不了了之,6
不予,16
不亚于,8
不亦乐乎,14
不仅,2
不仅仅,2
不以为然,4
不但,2
不便,16
不值,4
不假思索,1
不停,10
不像话,6
不光,2
不免,2
不再,16
不准,16
不利,63
不利于,63
不可思议,4
不可避免,2
不同,7
不同寻常,62
不在乎,64
不堪,4
不够,65
不大,65
不好意思,6
不如,2
不如说,2
不妨,16
不安,4
不定,10
不宜,16
不容,16
不对,6
不少,0
不屑,4
不已,4
不平,4
不幸,4
不得不,1
不得了,6
不得已,1
