token,community
〇,0
一,0
一一,1
一下子,1
一不小心,1
一举,1
一举一动,2
一事无成,3
一些,0
一代,4
一会儿,5
一体,6
一共,7
一再,1
一切,0
一刹那,1
一动不动,2
一半,0
一卡通,8
一口气,2
一句话,9
一同,1
一向,10
一味,11
一块儿,5
一塌糊涂,5
一声不吭,2
一大早,12
一天到晚,12
一头,13
一如既往,11
一定,10
一家人,14
一帆风顺,15
一带,16
一干二净,5
一年到头,12
一应俱全,0
一度,1
一律,17
一心,11
一心一意,11
一成不变,3
一手,13
一技之长,18
一把手,19
一揽子,20
一方面,10
一旁,21
一无所有,3
一无所知,3
一旦,10
一早,12
一时,1
一晃,1
一样,22
一概,10
一概而论,22
一模一样,22
一次性,8
一毛不拔,3
一流,23
一点儿,5
一生,4
一番,0
一目了然,24
一直,10
一眼,2
一瞬间,1
一筹莫展,25
一系列,0
一线,23
一经,1
一致,22
一般,10
一般来说,10
一行,26
一言一行,27
一言不发,2
一贯,11
一起,6
一路,28
一路上,28
一路平安,15
一路顺风,15
一身,29
一辈子,4
一边,21
一连,1
一连串,0
一道,0
一部分,0
一锅粥,30
一长一短,29
一阵,31
一面,21
一鼓作气,11
一齐,1
丁,30
七,0
七嘴八舌,2
万,32
万一,10
万万,10
万分,25
万古长青,26
万无一失,24
万能,33
丈夫,14
三,0
三明治,30
三番五次,1
三维,34
三角,35
上,21
上下,21
上个月,36
上任,19
上升,37
上午,12
上去,38
上台,19
上司,14
上周,36
上场,39
上头,21
上学,40
上岗,19
上市,41
上帝,42
上当,43
上报,20
上方,21
上旬,36
上映,44
上期,36
上来,38
上楼,38
上次,36
上流,23
上涨,37
上游,41
上演,45
上火,30
上班,12
上班族,12
上瘾,46
上空,47
上级,48
上网,49
上衣,29
上诉,50
上课,40
上调,37
上车,28
上边,21
上述,0
上门,38
上限,51
上面,21
下,21
下一代,4
下个月,36
下乡,38
下令,48
下决心,11
下功夫,11
下午,12
下去,38
下台,19
下场,52
下坠,31
下属,19
下山,38
下岗,19
下意识,1
下手,53
下旬,36
下期,36
下来,38
下棋,54
下楼,38
下次,5
下海,38
下游,41
下班,12
下级,19
下落,31
下课,12
下调,37
下跌,37
下车,28
下载,49
下边,21
下降,37
下雨,55
下雪,55
下面,21
不,17
不一会儿,1
不一定,10
不为人知,56
不久,36
不了了之,5
不予,17
不亚于,22
不亦乐乎,15
不仅,10
不仅仅,10
不以为然,25
不但,10
不便,17
不值,57
不假思索,1
不停,1
不像话,5
不光,10
不免,10
不再,17
不准,17
不利,58
不利于,59
不可思议,56
不可避免,10
不同,22
不同寻常,56
不在乎,25
不堪,3
不够,60
不大,60
不好意思,5
不如,10
不如说,10
不妨,17
不安,25
不定,25
不宜,17
不容,17
不对,5
不少,0
不屑,25
不已,25
不平,25
不幸,25
不得不,1
不得了,5
不得已,1
