token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,3
一动不动,15
一半,16
一卡通,17
一口气,5
一句话,18
一同,2
一向,19
一味,20
一块儿,2
一塌糊涂,21
一声不吭,22
一大早,23
一天到晚,24
一头,25
一如既往,19
一定,26
一家人,27
一帆风顺,28
一带,29
一干二净,21
一年到头,24
一应俱全,30
一度,13
一律,31
一心,32
一心一意,32
一成不变,33
一手,34
一技之长,35
一把手,36
一揽子,37
一方面,38
一旁,39
一无所有,7
一无所知,7
一旦,40
一早,23
一时,41
一晃,42
一样,43
一概,14
一概而论,44
一模一样,45
一次性,46
一毛不拔,47
一流,48
一点儿,49
一生,50
一番,51
一目了然,52
一直,53
一眼,54
一瞬间,3
一筹莫展,55
一系列,8
一线,56
一经,57
一致,58
一般,59
一般来说,60
一行,61
一言一行,6
一言不发,22
一贯,19
一起,2
一路,29
一路上,29
一路平安,62
一路顺风,28
一身,63
一辈子,50
一边,38
一连,64
一连串,64
一道,65
一部分,16
一锅粥,66
一长一短,67
一阵,68
一面,38
一鼓作气,5
一齐,2
丁,69
七,1
七嘴八舌,70
万,71
万一,40
万万,72
万分,73
万古长青,74
万无一失,75
万能,76
丈夫,77
三,1
三明治,78
三番五次,13
三维,79
三角,80
上,81
上下,82
上个月,83
上任,84
上升,85
上午,23
上去,86
上台,87
上司,88
上周,83
上场,89
上头,39
上学,90
上岗,91
上市,92
上帝,93
上当,94
上报,95
上方,96
上旬,83
上映,97
上期,98
上来,86
上楼,99
上次,83
上流,100
上涨,85
上游,101
上演,102
上火,103
上班,99
上班族,104
上瘾,105
上空,106
上级,88
上网,107
上衣,108
上诉,109
上课,110
上调,111
上车,99
上边,39
上述,112
上门,113
上限,114
上面,39
下,115
下一代,9
下个月,83
下乡,116
下令,117
下决心,118
下功夫,119
下午,23
下去,86
下台,87
下场,120
下坠,121
下属,122
下山,123
下岗,124
下意识,3
下手,125
下旬,83
下期,98
下来,86
下棋,126
下楼,99
下次,127
下海,128
下游,101
下班,99
下级,88
下落,121
下课,129
下调,111
下跌,85
下车,99
下载,130
下边,39
下降,85
下雨,131
下雪,131
下面,39
不,132
不一会儿,133
不一定,26
不为人知,134
不久,133
不了了之,135
不予,136
不亚于,137
不亦乐乎,138
不仅,139
不仅仅,139
不以为然,140
不但,139
不便,141
不值,142
不假思索,143
不停,144
不像话,21
不光,139
不免,145
不再,146
不准,31
不利,147
不利于,147
不可思议,148
不可避免,145
不同,45
不同寻常,45
不在乎,149
不堪,150
不够,151
不大,152
不好意思,153
不如,154
不如说,154
不妨,154
不安,155
不定,156
