token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,3
一动不动,15
一半,16
一卡通,17
一口气,5
一句话,18
一同,2
一向,19
一味,20
一块儿,2
一塌糊涂,21
一声不吭,15
一大早,22
一天到晚,23
一头,24
一如既往,19
一定,25
一家人,26
一帆风顺,27
一带,27
一干二净,21
一年到头,23
一应俱全,28
一度,29
一律,30
一心,31
一心一意,31
一成不变,32
一手,33
一技之长,34
一把手,35
一揽子,36
一方面,37
一旁,38
一无所有,7
一无所知,7
一旦,39
一早,22
一时,40
一晃,41
一样,42
一概,14
一概而论,43
一模一样,44
一次性,45
一毛不拔,46
一流,47
一点儿,48
一生,49
一番,50
一目了然,51
一直,52
一眼,15
一瞬间,3
一筹莫展,53
一系列,54
一线,55
一经,56
一致,57
一般,58
一般来说,59
一行,60
一言一行,6
一言不发,15
一贯,19
一起,2
一路,27
一路上,61
一路平安,62
一路顺风,27
一身,63
一辈子,49
一边,37
一连,64
一连串,54
一道,65
一部分,16
一锅粥,66
一长一短,67
一阵,68
一面,37
一鼓作气,5
一齐,2
丁,69
七,1
七嘴八舌,70
万,71
万一,39
万万,72
万分,73
万古长青,74
万无一失,75
万能,76
丈夫,77
三,1
三明治,78
三番五次,13
三维,79
三角,80
上,81
上下,82
上个月,83
上任,84
上升,85
上午,22
上去,86
上台,87
上司,88
上周,83
上场,89
上头,38
上学,90
上岗,91
上市,92
上帝,93
上当,94
上报,95
上方,96
上旬,83
上映,97
上期,98
上来,86
上楼,99
上次,100
上流,101
上涨,85
上游,102
上演,103
上火,104
上班,22
上班族,105
上瘾,106
上空,107
上级,88
上网,108
上衣,109
上诉,110
上课,111
上调,112
上车,113
上边,38
上述,114
上门,115
上限,116
上面,38
下,117
下一代,9
下个月,83
下乡,118
下令,119
下决心,120
下功夫,121
下午,22
下去,86
下台,87
下场,122
下坠,123
下属,124
下山,99
下岗,125
下意识,3
下手,126
下旬,83
下期,98
下来,86
下棋,127
下楼,22
下次,100
下海,128
下游,102
下班,22
下级,88
下落,123
下课,129
下调,112
下跌,85
下车,113
下载,130
下边,38
下降,85
下雨,131
下雪,131
下面,38
不,132
不一会儿,133
不一定,25
不为人知,134
不久,133
不了了之,135
不予,136
不亚于,137
不亦乐乎,138
不仅,52
不仅仅,139
不以为然,140
不但,52
不便,141
不值,142
不假思索,143
不停,144
不像话,21
不光,139
不免,145
不再,146
不准,30
不利,147
不利于,147
不可思议,148
不可避免,145
不同,44
不同寻常,44
不在乎,149
不堪,150
不够,151
不大,152
不好意思,142
不如,153
不如说,139
不妨,153
不安,154
不定,155
