token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,2
一刹那,3
一动不动,14
一半,15
一卡通,16
一口气,5
一句话,17
一同,18
一向,19
一味,20
一块儿,18
一塌糊涂,21
一声不吭,22
一大早,23
一天到晚,24
一头,25
一如既往,26
一定,27
一家人,28
一帆风顺,29
一带,30
一干二净,31
一年到头,24
一应俱全,32
一度,33
一律,34
一心,35
一心一意,35
一成不变,36
一手,37
一技之长,38
一把手,39
一揽子,40
一方面,41
一旁,42
一无所有,7
一无所知,7
一旦,43
一早,23
一时,44
一晃,3
一样,45
一概,2
一概而论,46
一模一样,47
一次性,48
一毛不拔,7
一流,49
一点儿,50
一生,51
一番,52
一目了然,53
一直,54
一眼,55
一瞬间,3
一筹莫展,56
一系列,8
一线,57
一经,58
一致,59
一般,15
一般来说,60
一行,61
一言一行,6
一言不发,22
一贯,19
一起,18
一路,62
一路上,63
一路平安,64
一路顺风,64
一身,65
一辈子,51
一边,52
一连,5
一连串,8
一道,18
一部分,15
一锅粥,31
一长一短,66
一阵,10
一面,67
一鼓作气,5
一齐,18
丁,68
七,1
七嘴八舌,69
万,70
万一,43
万万,70
万分,71
万古长青,72
万无一失,73
万能,74
丈夫,75
三,1
三明治,76
三番五次,13
三维,77
三角,78
上,79
上下,80
上个月,81
上任,82
上升,83
上午,23
上去,84
上台,85
上司,86
上周,81
上场,87
上头,88
上学,89
上岗,90
上市,91
上帝,92
上当,93
上报,94
上方,95
上旬,96
上映,97
上期,98
上来,84
上楼,99
上次,81
上流,100
上涨,83
上游,101
上演,102
上火,103
上班,104
上班族,104
上瘾,105
上空,106
上级,86
上网,107
上衣,108
上诉,109
上课,110
上调,83
上车,111
上边,88
上述,112
上门,90
上限,113
上面,88
下,114
下一代,9
下个月,115
下乡,99
下令,116
下决心,117
下功夫,118
下午,23
下去,84
下台,119
下场,120
下坠,121
下属,86
下山,99
下岗,122
下意识,123
下手,124
下旬,96
下期,115
下来,84
下棋,125
下楼,99
下次,115
下海,99
下游,101
下班,104
下级,86
下落,121
下课,110
下调,83
下跌,83
下车,111
下载,126
下边,88
下降,83
下雨,127
下雪,127
下面,88
不,128
不一会儿,10
不一定,27
不为人知,129
不久,130
不了了之,131
不予,132
不亚于,133
不亦乐乎,134
不仅,135
不仅仅,136
不以为然,22
不但,135
不便,137
不值,138
不假思索,139
不停,24
不像话,21
不光,136
不免,140
不再,141
不准,34
不利,142
不利于,142
不可思议,143
不可避免,144
不同,47
不同寻常,145
不在乎,146
不堪,147
不够,128
不大,128
不好意思,148
不如,149
不如说,150
不妨,151
不安,152
不定,153
