token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,2
一刹那,3
一动不动,14
一半,15
一卡通,16
一口气,5
一句话,17
一同,18
一向,19
一味,20
一块儿,18
一塌糊涂,21
一声不吭,22
一大早,23
一天到晚,24
一头,25
一如既往,19
一定,26
一家人,27
一帆风顺,28
一带,29
一干二净,30
一年到头,24
一应俱全,31
一度,32
一律,2
一心,33
一心一意,33
一成不变,34
一手,35
一技之长,36
一把手,37
一揽子,38
一方面,39
一旁,40
一无所有,7
一无所知,7
一旦,41
一早,23
一时,42
一晃,3
一样,43
一概,2
一概而论,44
一模一样,45
一次性,46
一毛不拔,7
一流,47
一点儿,48
一生,49
一番,10
一目了然,50
一直,19
一眼,51
一瞬间,3
一筹莫展,52
一系列,8
一线,53
一经,54
一致,55
一般,15
一般来说,56
一行,57
一言一行,6
一言不发,22
一贯,19
一起,18
一路,29
一路上,58
一路平安,59
一路顺风,28
一身,60
一辈子,61
一边,10
一连,62
一连串,8
一道,18
一部分,15
一锅粥,30
一长一短,63
一阵,64
一面,10
一鼓作气,5
一齐,18
丁,65
七,1
七嘴八舌,66
万,67
万一,4
万万,68
万分,69
万古长青,70
万无一失,71
万能,72
丈夫,73
三,1
三明治,74
三番五次,13
三维,75
三角,76
上,77
上下,78
上个月,79
上任,80
上升,81
上午,23
上去,82
上台,83
上司,84
上周,85
上场,86
上头,77
上学,87
上岗,88
上市,89
上帝,90
上当,91
上报,92
上方,78
上旬,79
上映,93
上期,94
上来,82
上楼,95
上次,96
上流,97
上涨,81
上游,98
上演,99
上火,100
上班,101
上班族,102
上瘾,103
上空,104
上级,84
上网,105
上衣,106
上诉,107
上课,108
上调,81
上车,109
上边,77
上述,110
上门,88
上限,111
上面,77
下,112
下一代,9
下个月,79
下乡,88
下令,113
下决心,113
下功夫,114
下午,23
下去,82
下台,115
下场,86
下坠,116
下属,84
下山,95
下岗,117
下意识,118
下手,114
下旬,79
下期,94
下来,82
下棋,119
下楼,95
下次,4
下海,95
下游,98
下班,95
下级,84
下落,116
下课,95
下调,81
下跌,81
下车,109
下载,105
下边,77
下降,81
下雨,120
下雪,120
下面,77
不,121
不一会儿,3
不一定,26
不为人知,122
不久,123
不了了之,124
不予,125
不亚于,126
不亦乐乎,127
不仅,39
不仅仅,39
不以为然,128
不但,39
不便,129
不值,130
不假思索,131
不停,24
不像话,21
不光,39
不免,118
不再,132
不准,133
不利,134
不利于,135
不可思议,136
不可避免,137
不同,45
不同寻常,138
不在乎,139
不堪,140
不够,141
不大,142
不好意思,143
不如,144
不如说,145
不妨,146
不安,147
不定,148
