token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,3
一动不动,15
一半,16
一卡通,17
一口气,5
一句话,18
一同,2
一向,19
一味,20
一块儿,2
一塌糊涂,21
一声不吭,15
一大早,22
一天到晚,23
一头,24
一如既往,19
一定,25
一家人,26
一帆风顺,27
一带,28
一干二净,21
一年到头,23
一应俱全,29
一度,13
一律,30
一心,31
一心一意,32
一成不变,33
一手,34
一技之长,35
一把手,36
一揽子,37
一方面,38
一旁,39
一无所有,7
一无所知,7
一旦,40
一早,22
一时,41
一晃,42
一样,43
一概,14
一概而论,44
一模一样,45
一次性,46
一毛不拔,47
一流,48
一点儿,49
一生,50
一番,51
一目了然,52
一直,53
一眼,15
一瞬间,3
一筹莫展,54
一系列,8
一线,55
一经,56
一致,57
一般,58
一般来说,59
一行,60
一言一行,6
一言不发,15
一贯,19
一起,2
一路,28
一路上,28
一路平安,61
一路顺风,27
一身,62
一辈子,50
一边,39
一连,63
一连串,8
一道,64
一部分,16
一锅粥,65
一长一短,66
一阵,67
一面,38
一鼓作气,5
一齐,2
丁,68
七,1
七嘴八舌,15
万,69
万一,70
万万,71
万分,72
万古长青,73
万无一失,74
万能,75
丈夫,76
三,1
三明治,77
三番五次,13
三维,78
三角,79
上,80
上下,81
上个月,82
上任,83
上升,84
上午,22
上去,85
上台,86
上司,87
上周,82
上场,88
上头,39
上学,89
上岗,90
上市,91
上帝,92
上当,93
上报,94
上方,95
上旬,82
上映,96
上期,97
上来,85
上楼,85
上次,82
上流,98
上涨,84
上游,99
上演,100
上火,101
上班,22
上班族,102
上瘾,103
上空,104
上级,87
上网,105
上衣,106
上诉,107
上课,108
上调,109
上车,110
上边,39
上述,111
上门,112
上限,113
上面,39
下,114
下一代,9
下个月,82
下乡,115
下令,116
下决心,117
下功夫,118
下午,22
下去,85
下台,83
下场,119
下坠,120
下属,121
下山,122
下岗,123
下意识,124
下手,125
下旬,82
下期,97
下来,85
下棋,126
下楼,22
下次,127
下海,128
下游,99
下班,22
下级,87
下落,120
下课,129
下调,109
下跌,84
下车,110
下载,130
下边,39
下降,84
下雨,131
下雪,131
下面,39
不,132
不一会儿,133
不一定,25
不为人知,134
不久,133
不了了之,135
不予,136
不亚于,137
不亦乐乎,138
不仅,53
不仅仅,139
不以为然,140
不但,53
不便,141
不值,142
不假思索,143
不停,144
不像话,145
不光,139
不免,124
不再,146
不准,30
不利,147
不利于,147
不可思议,148
不可避免,124
不同,45
不同寻常,45
不在乎,149
不堪,150
不够,132
不大,151
不好意思,152
不如,153
不如说,139
不妨,153
不安,154
不定,155
