token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,3
一动不动,15
一半,16
一卡通,17
一口气,5
一句话,18
一同,2
一向,19
一味,20
一块儿,2
一塌糊涂,21
一声不吭,22
一大早,23
一天到晚,24
一头,25
一如既往,26
一定,27
一家人,28
一帆风顺,29
一带,29
一干二净,21
一年到头,24
一应俱全,30
一度,13
一律,14
一心,31
一心一意,32
一成不变,33
一手,34
一技之长,35
一把手,36
一揽子,37
一方面,38
一旁,39
一无所有,7
一无所知,7
一旦,40
一早,23
一时,41
一晃,42
一样,43
一概,14
一概而论,44
一模一样,45
一次性,46
一毛不拔,47
一流,48
一点儿,49
一生,50
一番,51
一目了然,52
一直,19
一眼,53
一瞬间,3
一筹莫展,54
一系列,55
一线,56
一经,57
一致,58
一般,24
一般来说,59
一行,60
一言一行,6
一言不发,22
一贯,19
一起,2
一路,29
一路上,61
一路平安,62
一路顺风,29
一身,63
一辈子,50
一边,39
一连,64
一连串,55
一道,65
一部分,8
一锅粥,66
一长一短,67
一阵,68
一面,69
一鼓作气,5
一齐,2
丁,70
七,1
七嘴八舌,71
万,72
万一,73
万万,74
万分,75
万古长青,76
万无一失,77
万能,78
丈夫,79
三,1
三明治,80
三番五次,13
三维,81
三角,82
上,83
上下,84
上个月,85
上任,86
上升,87
上午,23
上去,88
上台,89
上司,90
上周,85
上场,91
上头,39
上学,92
上岗,93
上市,94
上帝,95
上当,96
上报,97
上方,98
上旬,85
上映,99
上期,100
上来,88
上楼,101
上次,85
上流,102
上涨,87
上游,103
上演,104
上火,105
上班,23
上班族,106
上瘾,107
上空,108
上级,90
上网,109
上衣,110
上诉,111
上课,112
上调,113
上车,114
上边,39
上述,115
上门,101
上限,116
上面,39
下,117
下一代,9
下个月,85
下乡,118
下令,119
下决心,120
下功夫,121
下午,23
下去,88
下台,86
下场,122
下坠,123
下属,124
下山,101
下岗,125
下意识,3
下手,126
下旬,85
下期,100
下来,88
下棋,127
下楼,23
下次,128
下海,129
下游,103
下班,23
下级,90
下落,123
下课,130
下调,113
下跌,87
下车,114
下载,131
下边,39
下降,87
下雨,132
下雪,132
下面,39
不,133
不一会儿,134
不一定,27
不为人知,135
不久,134
不了了之,136
不予,137
不亚于,138
不亦乐乎,139
不仅,38
不仅仅,38
不以为然,140
不但,38
不便,141
不值,142
不假思索,143
不停,144
不像话,21
不光,38
不免,145
不再,146
不准,147
不利,148
不利于,148
不可思议,149
不可避免,145
不同,45
不同寻常,45
不在乎,150
不堪,151
不够,152
不大,153
不好意思,154
不如,155
不如说,38
不妨,155
不安,156
不定,157
