token,community
〇,0
一,0
一一,0
一下子,1
一不小心,2
一举,1
一举一动,3
一事无成,4
一些,0
一代,5
一会儿,6
一体,7
一共,8
一再,1
一切,0
一刹那,1
一动不动,3
一半,0
一卡通,9
一口气,3
一句话,10
一同,7
一向,11
一味,1
一块儿,7
一塌糊涂,12
一声不吭,3
一大早,6
一天到晚,13
一头,3
一如既往,11
一定,2
一家人,5
一帆风顺,14
一带,15
一干二净,12
一年到头,13
一应俱全,0
一度,1
一律,0
一心,1
一心一意,1
一成不变,4
一手,3
一技之长,16
一把手,17
一揽子,18
一方面,2
一旁,19
一无所有,4
一无所知,4
一旦,2
一早,6
一时,1
一晃,1
一样,7
一概,0
一概而论,7
一模一样,7
一次性,9
一毛不拔,4
一流,20
一点儿,12
一生,11
一番,13
一目了然,21
一直,11
一眼,3
一瞬间,1
一筹莫展,22
一系列,0
一线,15
一经,1
一致,7
一般,0
一般来说,2
一行,23
一言一行,3
一言不发,3
一贯,11
一起,7
一路,14
一路上,24
一路平安,14
一路顺风,14
一身,25
一辈子,11
一边,19
一连,1
一连串,0
一道,7
一部分,0
一锅粥,26
一长一短,27
一阵,28
一面,19
一鼓作气,29
一齐,1
丁,26
七,0
七嘴八舌,3
万,8
万一,2
万万,2
万分,22
万古长青,30
万无一失,31
万能,32
丈夫,5
三,0
三明治,26
三番五次,1
三维,33
三角,34
上,19
上下,19
上个月,6
上任,35
上升,36
上午,6
上去,37
上台,35
上司,5
上周,6
上场,38
上头,19
上学,39
上岗,35
上市,40
上帝,41
上当,42
上报,43
上方,19
上旬,6
上映,44
上期,6
上来,37
上楼,37
上次,6
上流,45
上涨,36
上游,32
上演,43
上火,26
上班,6
上班族,45
上瘾,22
上空,15
上级,17
上网,28
上衣,25
上诉,46
上课,39
上调,36
上车,24
上边,19
上述,0
上门,37
上限,47
上面,19
下,19
下一代,5
下个月,6
下乡,37
下令,48
下决心,1
下功夫,29
下午,6
下去,37
下台,35
下场,49
下坠,50
下属,17
下山,37
下岗,35
下意识,1
下手,42
下旬,6
下期,6
下来,37
下棋,51
下楼,37
下次,12
下海,37
下游,32
下班,6
下级,17
下落,49
下课,39
下调,36
下跌,36
下车,24
下载,10
下边,19
下降,36
下雨,52
下雪,52
下面,19
不,11
不一会儿,6
不一定,2
不为人知,53
不久,6
不了了之,12
不予,11
不亚于,7
不亦乐乎,14
不仅,2
不仅仅,2
不以为然,22
不但,2
不便,21
不值,40
不假思索,1
不停,13
不像话,12
不光,2
不免,2
不再,11
不准,11
不利,21
不利于,21
不可思议,53
不可避免,2
不同,7
不同寻常,53
不在乎,51
不堪,22
不够,54
不大,54
不好意思,22
不如,7
不如说,2
不妨,2
不安,22
不定,13
不宜,2
不容,11
不对,12
不少,0
不屑,51
不已,22
不平,22
不幸,22
不得不,1
不得了,12
不得已,1
