token,community
〇,0
一,0
一一,0
一下子,1
一不小心,2
一举,1
一举一动,3
一事无成,4
一些,0
一代,5
一会儿,6
一体,7
一共,8
一再,1
一切,0
一刹那,6
一动不动,9
一半,0
一卡通,10
一口气,1
一句话,11
一同,7
一向,2
一味,12
一块儿,7
一塌糊涂,13
一声不吭,9
一大早,6
一天到晚,14
一头,3
一如既往,12
一定,2
一家人,5
一帆风顺,15
一带,16
一干二净,13
一年到头,14
一应俱全,0
一度,1
一律,1
一心,12
一心一意,12
一成不变,4
一手,3
一技之长,17
一把手,18
一揽子,19
一方面,2
一旁,20
一无所有,4
一无所知,4
一旦,2
一早,6
一时,6
一晃,6
一样,7
一概,0
一概而论,21
一模一样,7
一次性,10
一毛不拔,4
一流,17
一点儿,13
一生,14
一番,22
一目了然,23
一直,2
一眼,24
一瞬间,6
一筹莫展,25
一系列,0
一线,16
一经,1
一致,7
一般,0
一般来说,2
一行,26
一言一行,19
一言不发,9
一贯,2
一起,7
一路,27
一路上,27
一路平安,28
一路顺风,28
一身,29
一辈子,14
一边,20
一连,1
一连串,0
一道,7
一部分,0
一锅粥,30
一长一短,31
一阵,32
一面,20
一鼓作气,12
一齐,1
丁,30
七,0
七嘴八舌,9
万,0
万一,2
万万,2
万分,25
万古长青,28
万无一失,12
万能,33
丈夫,5
三,0
三明治,30
三番五次,1
三维,21
三角,34
上,20
上下,20
上个月,6
上任,18
上升,35
上午,6
上去,36
上台,18
上司,5
上周,6
上场,37
上头,20
上学,38
上岗,18
上市,39
上帝,40
上当,41
上报,42
上方,20
上旬,6
上映,43
上期,6
上来,36
上楼,36
上次,6
上流,44
上涨,35
上游,39
上演,45
上火,30
上班,6
上班族,5
上瘾,46
上空,47
上级,18
上网,48
上衣,29
上诉,42
上课,38
上调,35
上车,27
上边,20
上述,0
上门,36
上限,21
上面,20
下,20
下一代,5
下个月,6
下乡,36
下令,49
下决心,12
下功夫,12
下午,6
下去,36
下台,18
下场,37
下坠,32
下属,18
下山,36
下岗,18
下意识,1
下手,41
下旬,6
下期,6
下来,36
下棋,9
下楼,36
下次,6
下海,36
下游,39
下班,6
下级,18
下落,32
下课,38
下调,35
下跌,35
下车,27
下载,48
下边,20
下降,35
下雨,50
下雪,50
下面,20
不,1
不一会儿,6
不一定,2
不为人知,33
不久,6
不了了之,13
不予,1
不亚于,7
不亦乐乎,15
不仅,2
不仅仅,2
不以为然,25
不但,2
不便,51
不值,51
不假思索,1
不停,14
不像话,13
不光,2
不免,2
不再,1
不准,1
不利,52
不利于,53
不可思议,33
不可避免,2
不同,7
不同寻常,33
不在乎,54
不堪,25
不够,55
不大,55
不好意思,25
不如,7
不如说,2
不妨,1
不安,25
不定,14
不宜,1
不容,1
不对,13
不少,0
不屑,54
不已,25
不平,25
不幸,25
不得不,1
不得了,13
不得已,1
