token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,8
一刹那,14
一动不动,15
一半,16
一卡通,17
一口气,5
一句话,18
一同,19
一向,20
一味,21
一块儿,19
一塌糊涂,22
一声不吭,23
一大早,24
一天到晚,21
一头,25
一如既往,26
一定,27
一家人,28
一帆风顺,29
一带,30
一干二净,22
一年到头,31
一应俱全,32
一度,13
一律,2
一心,21
一心一意,21
一成不变,33
一手,34
一技之长,35
一把手,36
一揽子,37
一方面,38
一旁,39
一无所有,7
一无所知,7
一旦,40
一早,24
一时,14
一晃,41
一样,42
一概,2
一概而论,43
一模一样,42
一次性,37
一毛不拔,44
一流,45
一点儿,46
一生,47
一番,48
一目了然,49
一直,50
一眼,51
一瞬间,14
一筹莫展,52
一系列,8
一线,53
一经,2
一致,54
一般,16
一般来说,55
一行,56
一言一行,6
一言不发,23
一贯,20
一起,19
一路,19
一路上,57
一路平安,58
一路顺风,58
一身,59
一辈子,47
一边,19
一连,60
一连串,8
一道,19
一部分,16
一锅粥,22
一长一短,61
一阵,62
一面,63
一鼓作气,5
一齐,3
丁,64
七,1
七嘴八舌,65
万,66
万一,4
万万,67
万分,68
万古长青,69
万无一失,29
万能,70
丈夫,71
三,1
三明治,72
三番五次,13
三维,73
三角,74
上,39
上下,75
上个月,76
上任,77
上升,78
上午,24
上去,79
上台,80
上司,81
上周,82
上场,83
上头,39
上学,84
上岗,35
上市,85
上帝,86
上当,87
上报,88
上方,89
上旬,76
上映,90
上期,91
上来,79
上楼,92
上次,93
上流,94
上涨,78
上游,95
上演,96
上火,97
上班,92
上班族,98
上瘾,99
上空,100
上级,101
上网,102
上衣,59
上诉,103
上课,104
上调,78
上车,105
上边,39
上述,106
上门,107
上限,108
上面,39
下,109
下一代,9
下个月,76
下乡,110
下令,111
下决心,112
下功夫,113
下午,24
下去,79
下台,77
下场,114
下坠,115
下属,116
下山,92
下岗,35
下意识,117
下手,118
下旬,76
下期,91
下来,79
下棋,119
下楼,92
下次,120
下海,121
下游,95
下班,24
下级,101
下落,122
下课,92
下调,78
下跌,78
下车,105
下载,102
下边,39
下降,78
下雨,123
下雪,123
下面,39
不,124
不一会儿,14
不一定,27
不为人知,125
不久,126
不了了之,127
不予,128
不亚于,129
不亦乐乎,130
不仅,38
不仅仅,38
不以为然,131
不但,38
不便,132
不值,133
不假思索,3
不停,21
不像话,22
不光,38
不免,134
不再,135
不准,136
不利,137
不利于,138
不可思议,139
不可避免,140
不同,42
不同寻常,141
不在乎,142
不堪,143
不够,144
不大,145
不好意思,146
不如,129
不如说,147
不妨,148
不安,149
不定,150
