token,community
〇,0
一,0
一一,0
一下子,1
一不小心,2
一举,3
一举一动,4
一事无成,5
一些,0
一代,6
一会儿,7
一体,8
一共,9
一再,3
一切,0
一刹那,7
一动不动,4
一半,0
一卡通,10
一口气,4
一句话,11
一同,8
一向,2
一味,12
一块儿,13
一塌糊涂,14
一声不吭,4
一大早,7
一天到晚,3
一头,4
一如既往,2
一定,15
一家人,16
一帆风顺,17
一带,18
一干二净,14
一年到头,3
一应俱全,0
一度,3
一律,0
一心,19
一心一意,19
一成不变,12
一手,4
一技之长,20
一把手,21
一揽子,22
一方面,2
一旁,18
一无所有,5
一无所知,5
一旦,2
一早,7
一时,7
一晃,7
一样,8
一概,0
一概而论,23
一模一样,8
一次性,10
一毛不拔,24
一流,25
一点儿,26
一生,27
一番,3
一目了然,28
一直,2
一眼,4
一瞬间,7
一筹莫展,5
一系列,0
一线,18
一经,1
一致,8
一般,0
一般来说,2
一行,29
一言一行,22
一言不发,4
一贯,2
一起,8
一路,30
一路上,30
一路平安,17
一路顺风,17
一身,31
一辈子,27
一边,18
一连,3
一连串,0
一道,8
一部分,0
一锅粥,32
一长一短,33
一阵,34
一面,18
一鼓作气,19
一齐,1
丁,32
七,0
七嘴八舌,4
万,0
万一,2
万万,2
万分,26
万古长青,35
万无一失,36
万能,37
丈夫,16
三,0
三明治,32
三番五次,3
三维,38
三角,38
上,18
上下,18
上个月,7
上任,39
上升,40
上午,7
上去,41
上台,39
上司,16
上周,7
上场,42
上头,18
上学,43
上岗,39
上市,44
上帝,45
上当,46
上报,47
上方,18
上旬,7
上映,48
上期,7
上来,41
上楼,41
上次,7
上流,49
上涨,40
上游,50
上演,51
上火,32
上班,41
上班族,49
上瘾,20
上空,52
上级,21
上网,53
上衣,31
上诉,54
上课,43
上调,40
上车,30
上边,18
上述,0
上门,41
上限,23
上面,18
下,18
下一代,6
下个月,7
下乡,41
下令,1
下决心,19
下功夫,19
下午,7
下去,41
下台,39
下场,55
下坠,56
下属,21
下山,41
下岗,39
下意识,1
下手,57
下旬,7
下期,7
下来,41
下棋,13
下楼,41
下次,7
下海,41
下游,50
下班,41
下级,21
下落,56
下课,41
下调,40
下跌,40
下车,30
下载,53
下边,18
下降,40
下雨,58
下雪,58
下面,18
不,15
不一会儿,7
不一定,2
不为人知,46
不久,7
不了了之,14
不予,59
不亚于,8
不亦乐乎,17
不仅,2
不仅仅,2
不以为然,5
不但,2
不便,44
不值,44
不假思索,1
不停,3
不像话,14
不光,2
不免,1
不再,15
不准,15
不利,60
不利于,60
不可思议,24
不可避免,15
不同,8
不同寻常,24
不在乎,61
不堪,5
不够,26
不大,26
不好意思,5
不如,8
不如说,2
不妨,15
不安,5
不定,5
不宜,15
不容,15
不对,14
不少,0
不屑,35
不已,5
不平,35
不幸,55
不得不,1
不得了,14
不得已,1
