token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,2
一代,8
一会儿,4
一体,9
一共,10
一再,11
一切,2
一刹那,3
一动不动,12
一半,2
一卡通,13
一口气,5
一句话,14
一同,15
一向,16
一味,17
一块儿,18
一塌糊涂,19
一声不吭,12
一大早,20
一天到晚,4
一头,21
一如既往,16
一定,22
一家人,23
一帆风顺,24
一带,25
一干二净,26
一年到头,4
一应俱全,27
一度,11
一律,2
一心,17
一心一意,17
一成不变,28
一手,29
一技之长,6
一把手,30
一揽子,2
一方面,4
一旁,18
一无所有,7
一无所知,7
一旦,4
一早,20
一时,31
一晃,3
一样,4
一概,2
一概而论,32
一模一样,33
一次性,34
一毛不拔,35
一流,36
一点儿,4
一生,37
一番,38
一目了然,39
一直,4
一眼,12
一瞬间,3
一筹莫展,12
一系列,2
一线,29
一经,2
一致,33
一般,4
一般来说,4
一行,40
一言一行,6
一言不发,12
一贯,16
一起,15
一路,24
一路上,41
一路平安,24
一路顺风,24
一身,42
一辈子,37
一边,18
一连,11
一连串,2
一道,15
一部分,2
一锅粥,43
一长一短,44
一阵,45
一面,46
一鼓作气,5
一齐,3
丁,47
七,1
七嘴八舌,12
万,1
万一,4
万万,1
万分,19
万古长青,48
万无一失,49
万能,50
丈夫,23
三,1
三明治,43
三番五次,11
三维,51
三角,51
上,18
上下,52
上个月,16
上任,53
上升,54
上午,20
上去,20
上台,53
上司,23
上周,16
上场,55
上头,18
上学,14
上岗,53
上市,56
上帝,57
上当,58
上报,59
上方,18
上旬,16
上映,60
上期,61
上来,20
上楼,20
上次,16
上流,62
上涨,54
上游,63
上演,64
上火,43
上班,20
上班族,20
上瘾,12
上空,57
上级,65
上网,66
上衣,42
上诉,67
上课,14
上调,54
上车,68
上边,18
上述,69
上门,70
上限,71
上面,18
下,18
下一代,8
下个月,16
下乡,25
下令,3
下决心,17
下功夫,15
下午,20
下去,20
下台,53
下场,55
下坠,51
下属,65
下山,20
下岗,53
下意识,3
下手,15
下旬,16
下期,61
下来,20
下棋,20
下楼,20
下次,4
下海,53
下游,63
下班,20
下级,65
下落,72
下课,20
下调,54
下跌,54
下车,68
下载,73
下边,18
下降,54
下雨,74
下雪,74
下面,18
不,75
不一会儿,3
不一定,4
不为人知,76
不久,16
不了了之,76
不予,77
不亚于,10
不亦乐乎,12
不仅,4
不仅仅,4
不以为然,12
不但,4
不便,78
不值,12
不假思索,3
不停,11
不像话,12
不光,4
不免,4
不再,75
不准,75
不利,79
不利于,79
不可思议,12
不可避免,4
不同,33
不同寻常,33
不在乎,12
不堪,12
不够,19
不大,19
不好意思,12
不如,10
不如说,4
不妨,75
不安,12
不定,80
