token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,2
一代,8
一会儿,4
一体,9
一共,10
一再,11
一切,2
一刹那,3
一动不动,12
一半,2
一卡通,13
一口气,5
一句话,14
一同,15
一向,16
一味,17
一块儿,18
一塌糊涂,19
一声不吭,12
一大早,20
一天到晚,4
一头,21
一如既往,16
一定,22
一家人,23
一帆风顺,24
一带,25
一干二净,19
一年到头,26
一应俱全,27
一度,11
一律,2
一心,17
一心一意,17
一成不变,28
一手,29
一技之长,30
一把手,31
一揽子,2
一方面,4
一旁,18
一无所有,7
一无所知,7
一旦,4
一早,20
一时,32
一晃,3
一样,4
一概,2
一概而论,33
一模一样,34
一次性,35
一毛不拔,36
一流,37
一点儿,4
一生,38
一番,39
一目了然,40
一直,4
一眼,12
一瞬间,3
一筹莫展,12
一系列,2
一线,41
一经,2
一致,34
一般,4
一般来说,4
一行,42
一言一行,6
一言不发,12
一贯,16
一起,15
一路,24
一路上,43
一路平安,24
一路顺风,24
一身,44
一辈子,38
一边,18
一连,11
一连串,2
一道,15
一部分,2
一锅粥,19
一长一短,45
一阵,46
一面,47
一鼓作气,5
一齐,3
丁,48
七,1
七嘴八舌,12
万,1
万一,4
万万,1
万分,49
万古长青,24
万无一失,50
万能,51
丈夫,23
三,1
三明治,52
三番五次,11
三维,53
三角,54
上,18
上下,55
上个月,16
上任,56
上升,57
上午,20
上去,58
上台,56
上司,23
上周,16
上场,59
上头,18
上学,14
上岗,56
上市,60
上帝,61
上当,62
上报,63
上方,18
上旬,16
上映,64
上期,65
上来,58
上楼,44
上次,16
上流,66
上涨,57
上游,67
上演,68
上火,52
上班,20
上班族,20
上瘾,69
上空,70
上级,71
上网,72
上衣,44
上诉,73
上课,14
上调,57
上车,74
上边,18
上述,55
上门,75
上限,76
上面,18
下,18
下一代,8
下个月,16
下乡,25
下令,3
下决心,77
下功夫,78
下午,20
下去,58
下台,56
下场,59
下坠,79
下属,71
下山,75
下岗,56
下意识,3
下手,78
下旬,16
下期,65
下来,58
下棋,75
下楼,44
下次,4
下海,56
下游,67
下班,20
下级,71
下落,80
下课,20
下调,57
下跌,57
下车,74
下载,81
下边,18
下降,57
下雨,82
下雪,82
下面,18
不,83
不一会儿,3
不一定,4
不为人知,7
不久,16
不了了之,84
不予,85
不亚于,86
不亦乐乎,26
不仅,4
不仅仅,4
不以为然,12
不但,4
不便,87
不值,12
不假思索,3
不停,11
不像话,12
不光,4
不免,4
不再,83
不准,83
不利,88
不利于,88
不可思议,12
不可避免,4
不同,34
不同寻常,34
不在乎,12
不堪,12
不够,49
不大,49
不好意思,12
不如,86
不如说,4
不妨,83
不安,12
不定,89
