token,community
〇,0
一,0
一一,0
一下子,0
一不小心,0
一举,0
一举一动,1
一事无成,1
一些,0
一代,2
一会儿,0
一体,3
一共,0
一再,0
一切,0
一刹那,0
一动不动,1
一半,0
一卡通,4
一口气,1
一句话,5
一同,0
一向,0
一味,0
一块儿,0
一塌糊涂,0
一声不吭,1
一大早,6
一天到晚,0
一头,7
一如既往,0
一定,0
一家人,2
一帆风顺,1
一带,8
一干二净,6
一年到头,0
一应俱全,1
一度,0
一律,0
一心,0
一心一意,0
一成不变,1
一手,7
一技之长,1
一把手,9
一揽子,3
一方面,0
一旁,8
一无所有,1
一无所知,1
一旦,0
一早,6
一时,0
一晃,0
一样,0
一概,0
一概而论,10
一模一样,3
一次性,4
一毛不拔,1
一流,1
一点儿,0
一生,2
一番,0
一目了然,1
一直,0
一眼,1
一瞬间,0
一筹莫展,1
一系列,0
一线,8
一经,0
一致,3
一般,0
一般来说,0
一行,9
一言一行,1
一言不发,1
一贯,0
一起,0
一路,8
一路上,8
一路平安,1
一路顺风,1
一身,7
一辈子,0
一边,8
一连,0
一连串,0
一道,0
一部分,0
一锅粥,7
一长一短,7
一阵,5
一面,0
一鼓作气,1
一齐,0
丁,7
七,0
七嘴八舌,1
万,4
万一,0
万万,0
万分,1
万古长青,1
万无一失,11
万能,12
丈夫,2
三,0
三明治,7
三番五次,0
三维,5
三角,7
上,8
上下,8
上个月,6
上任,9
上升,3
上午,6
上去,6
上台,9
上司,2
上周,6
上场,8
上头,8
上学,5
上岗,9
上市,4
上帝,1
上当,11
上报,4
上方,8
上旬,6
上映,5
上期,6
上来,6
上楼,6
上次,6
上流,2
上涨,3
上游,4
上演,10
上火,7
上班,6
上班族,2
上瘾,1
上空,8
上级,9
上网,5
上衣,7
上诉,11
上课,5
上调,3
上车,8
上边,8
上述,0
上门,8
上限,3
上面,8
下,8
下一代,2
下个月,6
下乡,8
下令,0
下决心,0
下功夫,1
下午,6
下去,6
下台,9
下场,1
下坠,7
下属,9
下山,8
下岗,9
下意识,0
下手,11
下旬,6
下期,6
下来,6
下棋,8
下楼,6
下次,0
下海,9
下游,4
下班,6
下级,9
下落,10
下课,6
下调,3
下跌,3
下车,8
下载,5
下边,8
下降,3
下雨,6
下雪,6
下面,8
不,0
不一会儿,0
不一定,0
不为人知,1
不久,0
不了了之,0
不予,11
不亚于,3
不亦乐乎,1
不仅,0
不仅仅,0
不以为然,1
不但,0
不便,0
不值,1
不假思索,0
不停,0
不像话,0
不光,0
不免,0
不再,0
不准,0
不利,11
不利于,0
不可思议,1
不可避免,0
不同,3
不同寻常,1
不在乎,1
不堪,1
不够,0
不大,0
不好意思,1
不如,0
不如说,0
不妨,0
不安,1
不定,1
不宜,0
不容,0
不对,0
不少,0
不屑,1
不已,1
不平,1
不幸,1
不得不,0
不得了,0
不得已,0
