token,community
〇,0
一,0
一一,1
一下子,1
一不小心,1
一举,1
一举一动,2
一事无成,3
一些,1
一代,4
一会儿,1
一体,5
一共,0
一再,1
一切,1
一刹那,1
一动不动,6
一半,1
一卡通,7
一口气,1
一句话,8
一同,5
一向,1
一味,1
一块儿,5
一塌糊涂,1
一声不吭,3
一大早,9
一天到晚,1
一头,6
一如既往,1
一定,1
一家人,4
一帆风顺,3
一带,10
一干二净,1
一年到头,9
一应俱全,11
一度,1
一律,1
一心,1
一心一意,1
一成不变,3
一手,6
一技之长,11
一把手,12
一揽子,2
一方面,1
一旁,10
一无所有,3
一无所知,3
一旦,1
一早,9
一时,1
一晃,1
一样,5
一概,1
一概而论,13
一模一样,5
一次性,7
一毛不拔,3
一流,11
一点儿,1
一生,11
一番,1
一目了然,13
一直,1
一眼,13
一瞬间,1
一筹莫展,3
一系列,1
一线,10
一经,1
一致,5
一般,1
一般来说,1
一行,14
一言一行,2
一言不发,3
一贯,1
一起,5
一路,10
一路上,15
一路平安,3
一路顺风,3
一身,16
一辈子,1
一边,1
一连,1
一连串,1
一道,5
一部分,1
一锅粥,17
一长一短,16
一阵,1
一面,10
一鼓作气,11
一齐,1
丁,17
七,0
七嘴八舌,3
万,0
万一,1
万万,1
万分,3
万古长青,11
万无一失,11
万能,11
丈夫,4
三,0
三明治,17
三番五次,1
三维,8
三角,6
上,10
上下,10
上个月,9
上任,12
上升,18
上午,9
上去,19
上台,12
上司,4
上周,9
上场,15
上头,10
上学,12
上岗,12
上市,7
上帝,11
上当,20
上报,13
上方,10
上旬,9
上映,8
上期,9
上来,19
上楼,15
上次,9
上流,4
上涨,18
上游,7
上演,18
上火,17
上班,9
上班族,4
上瘾,3
上空,21
上级,12
上网,8
上衣,16
上诉,20
上课,12
上调,18
上车,15
上边,10
上述,1
上门,15
上限,18
上面,10
下,10
下一代,4
下个月,9
下乡,15
下令,13
下决心,1
下功夫,11
下午,9
下去,19
下台,12
下场,2
下坠,6
下属,12
下山,15
下岗,12
下意识,1
下手,20
下旬,9
下期,9
下来,19
下棋,15
下楼,15
下次,1
下海,15
下游,7
下班,9
下级,12
下落,2
下课,9
下调,18
下跌,18
下车,15
下载,8
下边,10
下降,18
下雨,21
下雪,21
下面,10
不,1
不一会儿,1
不一定,1
不为人知,11
不久,9
不了了之,1
不予,20
不亚于,5
不亦乐乎,3
不仅,1
不仅仅,1
不以为然,3
不但,1
不便,3
不值,3
不假思索,1
不停,1
不像话,1
不光,1
不免,1
不再,1
不准,1
不利,2
不利于,1
不可思议,3
不可避免,1
不同,5
不同寻常,11
不在乎,3
不堪,3
不够,1
不大,1
不好意思,3
不如,1
不如说,1
不妨,1
不安,3
不定,1
不宜,1
不容,1
不对,1
不少,1
不屑,3
不已,3
不平,3
不幸,3
不得不,1
不得了,1
不得已,1
