token,community
〇,0
一,0
一一,1
一下子,1
一不小心,1
一举,1
一举一动,2
一事无成,3
一些,0
一代,4
一会儿,1
一体,5
一共,0
一再,1
一切,0
一刹那,1
一动不动,6
一半,0
一卡通,7
一口气,1
一句话,8
一同,5
一向,1
一味,1
一块儿,5
一塌糊涂,1
一声不吭,3
一大早,9
一天到晚,1
一头,6
一如既往,1
一定,1
一家人,4
一帆风顺,10
一带,11
一干二净,1
一年到头,1
一应俱全,10
一度,1
一律,1
一心,1
一心一意,10
一成不变,3
一手,6
一技之长,10
一把手,4
一揽子,0
一方面,1
一旁,11
一无所有,3
一无所知,3
一旦,1
一早,9
一时,1
一晃,1
一样,5
一概,1
一概而论,1
一模一样,5
一次性,7
一毛不拔,3
一流,10
一点儿,1
一生,10
一番,1
一目了然,10
一直,1
一眼,3
一瞬间,1
一筹莫展,3
一系列,0
一线,11
一经,1
一致,5
一般,1
一般来说,1
一行,12
一言一行,2
一言不发,3
一贯,1
一起,5
一路,13
一路上,13
一路平安,12
一路顺风,12
一身,14
一辈子,1
一边,1
一连,1
一连串,0
一道,5
一部分,0
一锅粥,15
一长一短,14
一阵,1
一面,11
一鼓作气,10
一齐,1
丁,15
七,0
七嘴八舌,3
万,0
万一,1
万万,1
万分,3
万古长青,10
万无一失,10
万能,7
丈夫,4
三,0
三明治,15
三番五次,1
三维,8
三角,6
上,11
上下,11
上个月,9
上任,4
上升,16
上午,9
上去,12
上台,4
上司,4
上周,9
上场,17
上头,11
上学,4
上岗,4
上市,7
上帝,10
上当,3
上报,18
上方,11
上旬,9
上映,8
上期,9
上来,12
上楼,12
上次,9
上流,4
上涨,16
上游,7
上演,18
上火,15
上班,9
上班族,4
上瘾,3
上空,15
上级,4
上网,8
上衣,14
上诉,19
上课,4
上调,16
上车,13
上边,11
上述,0
上门,12
上限,2
上面,11
下,11
下一代,4
下个月,9
下乡,12
下令,1
下决心,1
下功夫,10
下午,9
下去,12
下台,4
下场,2
下坠,6
下属,4
下山,12
下岗,4
下意识,1
下手,19
下旬,9
下期,9
下来,12
下棋,17
下楼,12
下次,1
下海,12
下游,7
下班,9
下级,4
下落,6
下课,9
下调,16
下跌,16
下车,13
下载,8
下边,11
下降,16
下雨,15
下雪,15
下面,11
不,1
不一会儿,1
不一定,1
不为人知,3
不久,1
不了了之,1
不予,1
不亚于,5
不亦乐乎,3
不仅,1
不仅仅,1
不以为然,3
不但,1
不便,1
不值,3
不假思索,3
不停,1
不像话,1
不光,1
不免,1
不再,1
不准,1
不利,2
不利于,2
不可思议,3
不可避免,1
不同,5
不同寻常,3
不在乎,3
不堪,3
不够,1
不大,1
不好意思,3
不如,1
不如说,1
不妨,1
不安,3
不定,16
不宜,1
不容,1
不对,1
不少,0
不屑,3
不已,3
不平,3
不幸,3
不得不,1
不得了,1
不得已,1
